# m_Zbb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
            150      0.7991466   0.0074369742      0.7991466   0.0074369742      0.7991466   0.0074369742
            200      1.1100492   0.0085768721      1.1100492   0.0085768721      1.1100492   0.0085768721
            250     0.88477062   0.0076310665     0.88477062   0.0076310665     0.88477062   0.0076310665
            300     0.65451527   0.0065504909     0.65451527   0.0065504909     0.65451527   0.0065504909
            350      0.4604758   0.0054826438      0.4604758   0.0054826438      0.4604758   0.0054826438
            400     0.33155935   0.0047021313     0.33155935   0.0047021313     0.33155935   0.0047021313
            450     0.23886144   0.0039228637     0.23886144   0.0039228637     0.23886144   0.0039228637
            500     0.14880763   0.0022951161     0.14880763   0.0022951161     0.14880763   0.0022951161
            600     0.14880763   0.0022951161     0.14880763   0.0022951161     0.14880763   0.0022951161
