#    pt_ep-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      10.855812     0.21291891      10.855812     0.21291891      10.855812     0.21291891
              1      31.048035     0.37139289      31.048035     0.37139289      31.048035     0.37139289
              2      51.501315     0.47681531      51.501315     0.47681531      51.501315     0.47681531
              3      72.320538     0.55780729      72.320538     0.55780729      72.320538     0.55780729
              4      92.771573     0.64040532      92.771573     0.64040532      92.771573     0.64040532
              5      114.10171     0.71878631      114.10171     0.71878631      114.10171     0.71878631
              6      135.12273     0.75653546      135.12273     0.75653546      135.12273     0.75653546
              7      156.76257     0.81261825      156.76257     0.81261825      156.76257     0.81261825
              8      179.37112     0.87058293      179.37112     0.87058293      179.37112     0.87058293
              9      201.47717      0.9247468      201.47717      0.9247468      201.47717      0.9247468
             10      222.78477     0.96603797      222.78477     0.96603797      222.78477     0.96603797
             11      246.18349      1.0191402      246.18349      1.0191402      246.18349      1.0191402
             12      270.32642      1.0666401      270.32642      1.0666401      270.32642      1.0666401
             13      292.18891      1.1246814      292.18891      1.1246814      292.18891      1.1246814
             14      316.72007      1.1602762      316.72007      1.1602762      316.72007      1.1602762
             15      344.25042      1.1993525      344.25042      1.1993525      344.25042      1.1993525
             16      364.71702      1.2316277      364.71702      1.2316277      364.71702      1.2316277
             17      391.30915      1.2860805      391.30915      1.2860805      391.30915      1.2860805
             18      414.99539      1.3253599      414.99539      1.3253599      414.99539      1.3253599
             19      438.65642      1.3572429      438.65642      1.3572429      438.65642      1.3572429
             20      462.74901      1.3914467      462.74901      1.3914467      462.74901      1.3914467
             21      487.94984      1.4267177      487.94984      1.4267177      487.94984      1.4267177
             22      509.79948      1.4583944      509.79948      1.4583944      509.79948      1.4583944
             23      534.31639      1.4962153      534.31639      1.4962153      534.31639      1.4962153
             24      555.06591      1.5349234      555.06591      1.5349234      555.06591      1.5349234
             25       575.7753      1.6152096       575.7753      1.6152096       575.7753      1.6152096
             26      594.85285      1.5860078      594.85285      1.5860078      594.85285      1.5860078
             27      614.24234      1.6125661      614.24234      1.6125661      614.24234      1.6125661
             28       629.9489         1.6404       629.9489         1.6404       629.9489         1.6404
             29      648.33313      1.6559214      648.33313      1.6559214      648.33313      1.6559214
             30      661.01553      1.6788411      661.01553      1.6788411      661.01553      1.6788411
             31      671.25667      1.6922687      671.25667      1.6922687      671.25667      1.6922687
             32       680.6533      1.7154607       680.6533      1.7154607       680.6533      1.7154607
             33      684.59079      1.7192996      684.59079      1.7192996      684.59079      1.7192996
