#    m_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
            100      339.40877      0.5561192      339.40877      0.5561192      339.40877      0.5561192
            105      345.78643     0.55114063      345.78643     0.55114063      345.78643     0.55114063
            110      327.37059     0.52754692      327.37059     0.52754692      327.37059     0.52754692
            115      298.89091      0.5003952      298.89091      0.5003952      298.89091      0.5003952
            120      270.68411     0.47177427      270.68411     0.47177427      270.68411     0.47177427
            125      243.77038     0.44651706      243.77038     0.44651706      243.77038     0.44651706
            130      217.99423     0.41962935      217.99423     0.41962935      217.99423     0.41962935
            135      196.88367     0.39874377      196.88367     0.39874377      196.88367     0.39874377
            140      178.42671     0.37892207      178.42671     0.37892207      178.42671     0.37892207
            145      162.11749     0.35904892      162.11749     0.35904892      162.11749     0.35904892
            150      148.13348      0.3429744      148.13348      0.3429744      148.13348      0.3429744
            155      135.91173     0.32905314      135.91173     0.32905314      135.91173     0.32905314
            160      124.46708     0.31589768      124.46708     0.31589768      124.46708     0.31589768
            165      114.49562     0.30071527      114.49562     0.30071527      114.49562     0.30071527
            170      105.82921     0.28885411      105.82921     0.28885411      105.82921     0.28885411
            175       98.55989     0.28237702       98.55989     0.28237702       98.55989     0.28237702
            180      90.752688     0.26685164      90.752688     0.26685164      90.752688     0.26685164
            185      84.877732     0.25764604      84.877732     0.25764604      84.877732     0.25764604
            190      79.470741     0.25039795      79.470741     0.25039795      79.470741     0.25039795
            195      74.026057     0.24158133      74.026057     0.24158133      74.026057     0.24158133
            200      69.353073     0.23275353      69.353073     0.23275353      69.353073     0.23275353
            205      65.747525       0.225572      65.747525       0.225572      65.747525       0.225572
            210      61.718407     0.21951752      61.718407     0.21951752      61.718407     0.21951752
            215      58.017529     0.21335781      58.017529     0.21335781      58.017529     0.21335781
            220      55.066201     0.20774291      55.066201     0.20774291      55.066201     0.20774291
            225      51.787682     0.20055568      51.787682     0.20055568      51.787682     0.20055568
            230      48.825841     0.19470933      48.825841     0.19470933      48.825841     0.19470933
            235      46.722322     0.19859277      46.722322     0.19859277      46.722322     0.19859277
            240      44.107421     0.19184316      44.107421     0.19184316      44.107421     0.19184316
            245      41.753623     0.18026874      41.753623     0.18026874      41.753623     0.18026874
            250      41.753623     0.18026874      41.753623     0.18026874      41.753623     0.18026874
