#         pt_em        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      59.701616     0.22595387      59.701616     0.22595387      59.701616     0.22595387
              5      185.24442     0.39247021      185.24442     0.39247021      185.24442     0.39247021
             10      320.23551     0.50820558      320.23551     0.50820558      320.23551     0.50820558
             15      459.61567     0.60441472      459.61567     0.60441472      459.61567     0.60441472
             20      587.90188     0.68440868      587.90188     0.68440868      587.90188     0.68440868
             25      683.63596     0.73608936      683.63596     0.73608936      683.63596     0.73608936
             30      725.34174     0.76972022      725.34174     0.76972022      725.34174     0.76972022
             35      673.42132     0.74546962      673.42132     0.74546962      673.42132     0.74546962
             40      526.39915     0.65434211      526.39915     0.65434211      526.39915     0.65434211
             45      371.55187     0.54186681      371.55187     0.54186681      371.55187     0.54186681
             50      261.63547     0.44944018      261.63547     0.44944018      261.63547     0.44944018
             55      187.66298     0.38035252      187.66298     0.38035252      187.66298     0.38035252
             60       137.7677     0.32398687       137.7677     0.32398687       137.7677     0.32398687
             65      103.51993     0.28391796      103.51993     0.28391796      103.51993     0.28391796
             70      79.932283     0.25217042      79.932283     0.25217042      79.932283     0.25217042
             75      61.477372     0.21545162      61.477372     0.21545162      61.477372     0.21545162
             80      48.420284     0.19201483      48.420284     0.19201483      48.420284     0.19201483
             85      38.754225     0.16949425      38.754225     0.16949425      38.754225     0.16949425
             90      31.316466     0.15249127      31.316466     0.15249127      31.316466     0.15249127
             95       25.74702     0.14867064       25.74702     0.14867064       25.74702     0.14867064
            100       21.00306     0.12815412       21.00306     0.12815412       21.00306     0.12815412
            105      17.274864     0.11531087      17.274864     0.11531087      17.274864     0.11531087
            110      14.462322      0.1062238      14.462322      0.1062238      14.462322      0.1062238
            115      11.995216     0.09543335      11.995216     0.09543335      11.995216     0.09543335
            120      10.064259    0.087140482      10.064259    0.087140482      10.064259    0.087140482
            125      8.6569513    0.080362634      8.6569513    0.080362634      8.6569513    0.080362634
            130      7.3465283    0.074771283      7.3465283    0.074771283      7.3465283    0.074771283
            135      6.3085626    0.072311115      6.3085626    0.072311115      6.3085626    0.072311115
            140      5.4720819    0.063546181      5.4720819    0.063546181      5.4720819    0.063546181
            145      4.7297305     0.06024297      4.7297305     0.06024297      4.7297305     0.06024297
            150      4.0941673    0.057421557      4.0941673    0.057421557      4.0941673    0.057421557
            155      3.4609498    0.050641899      3.4609498    0.050641899      3.4609498    0.050641899
            160      3.1001354    0.048099466      3.1001354    0.048099466      3.1001354    0.048099466
            165      2.6677961    0.044515183      2.6677961    0.044515183      2.6677961    0.044515183
            170      2.3309003    0.044849355      2.3309003    0.044849355      2.3309003    0.044849355
            175      2.1341899     0.03998552      2.1341899     0.03998552      2.1341899     0.03998552
            180      1.8834847    0.040463637      1.8834847    0.040463637      1.8834847    0.040463637
            185      1.6451585    0.035378636      1.6451585    0.035378636      1.6451585    0.035378636
            190      1.5228647    0.034423658      1.5228647    0.034423658      1.5228647    0.034423658
            195      1.2911433    0.031043923      1.2911433    0.031043923      1.2911433    0.031043923
            200      1.2059481    0.030411521      1.2059481    0.030411521      1.2059481    0.030411521
            205      1.0465061    0.028703976      1.0465061    0.028703976      1.0465061    0.028703976
            210      1.0092317    0.029066608      1.0092317    0.029066608      1.0092317    0.029066608
            215     0.82809378    0.025113772     0.82809378    0.025113772     0.82809378    0.025113772
            220     0.72455295    0.023267184     0.72455295    0.023267184     0.72455295    0.023267184
            225     0.66104258    0.022305169     0.66104258    0.022305169     0.66104258    0.022305169
            230      0.6037938    0.021545938      0.6037938    0.021545938      0.6037938    0.021545938
            235     0.54920844    0.020186314     0.54920844    0.020186314     0.54920844    0.020186314
            240     0.50717668     0.01953173     0.50717668     0.01953173     0.50717668     0.01953173
            245     0.48702772    0.019486693     0.48702772    0.019486693     0.48702772    0.019486693
            250     0.40712366    0.017671411     0.40712366    0.017671411     0.40712366    0.017671411
            255     0.39883247    0.017744322     0.39883247    0.017744322     0.39883247    0.017744322
            260     0.32228437    0.015799548     0.32228437    0.015799548     0.32228437    0.015799548
            265     0.30454687     0.01556236     0.30454687     0.01556236     0.30454687     0.01556236
            270     0.30030204    0.015182988     0.30030204    0.015182988     0.30030204    0.015182988
            275     0.25458323    0.014436606     0.25458323    0.014436606     0.25458323    0.014436606
            280     0.23321492    0.013295443     0.23321492    0.013295443     0.23321492    0.013295443
            285     0.22553335    0.013119903     0.22553335    0.013119903     0.22553335    0.013119903
            290      0.1993726    0.012324572      0.1993726    0.012324572      0.1993726    0.012324572
            295     0.18332709    0.011761555     0.18332709    0.011761555     0.18332709    0.011761555
            300     0.18111423    0.011719397     0.18111423    0.011719397     0.18111423    0.011719397
            305     0.16812665    0.011161792     0.16812665    0.011161792     0.16812665    0.011161792
            310     0.13317728    0.010432494     0.13317728    0.010432494     0.13317728    0.010432494
            315     0.12258811   0.0097038438     0.12258811   0.0097038438     0.12258811   0.0097038438
            320     0.13194431    0.010250259     0.13194431    0.010250259     0.13194431    0.010250259
            325     0.11521953   0.0094042006     0.11521953   0.0094042006     0.11521953   0.0094042006
            330     0.10577644    0.008986381     0.10577644    0.008986381     0.10577644    0.008986381
            335     0.10518398   0.0088761017     0.10518398   0.0088761017     0.10518398   0.0088761017
            340    0.094162264   0.0085478353    0.094162264   0.0085478353    0.094162264   0.0085478353
            345    0.076303523   0.0076694518    0.076303523   0.0076694518    0.076303523   0.0076694518
            350    0.096890078   0.0084205416    0.096890078   0.0084205416    0.096890078   0.0084205416
            355    0.072507736   0.0075731552    0.072507736   0.0075731552    0.072507736   0.0075731552
            360    0.065357381   0.0072892324    0.065357381   0.0072892324    0.065357381   0.0072892324
            365    0.073050571   0.0075912377    0.073050571   0.0075912377    0.073050571   0.0075912377
            370    0.051633779   0.0065565982    0.051633779   0.0065565982    0.051633779   0.0065565982
            375    0.059392578   0.0066831921    0.059392578   0.0066831921    0.059392578   0.0066831921
            380     0.05272185   0.0067022598     0.05272185   0.0067022598     0.05272185   0.0067022598
            385    0.046126693   0.0063845644    0.046126693   0.0063845644    0.046126693   0.0063845644
            390    0.040352579   0.0059605567    0.040352579   0.0059605567    0.040352579   0.0059605567
            395    0.050460354    0.006350063    0.050460354    0.006350063    0.050460354    0.006350063
            400     0.03785189   0.0054681971     0.03785189   0.0054681971     0.03785189   0.0054681971
            405    0.034846201   0.0054381256    0.034846201   0.0054381256    0.034846201   0.0054381256
            410    0.040747264   0.0063081891    0.040747264   0.0063081891    0.040747264   0.0063081891
            415    0.040292834   0.0055777853    0.040292834   0.0055777853    0.040292834   0.0055777853
            420    0.031655354   0.0051838227    0.031655354   0.0051838227    0.031655354   0.0051838227
            425    0.032356771   0.0048400756    0.032356771   0.0048400756    0.032356771   0.0048400756
            430    0.022816516    0.004515542    0.022816516    0.004515542    0.022816516    0.004515542
            435     0.03108376   0.0055224751     0.03108376   0.0055224751     0.03108376   0.0055224751
