#         eta_b        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      482.33744      4.9503564      482.33744      4.9503564      482.33744      4.9503564
           -4.9      551.60242      5.2850302      551.60242      5.2850302      551.60242      5.2850302
           -4.8      621.77823      5.8390046      621.77823      5.8390046      621.77823      5.8390046
           -4.7      688.52817      5.9583971      688.52817      5.9583971      688.52817      5.9583971
           -4.6      772.72547      6.1802071      772.72547      6.1802071      772.72547      6.1802071
           -4.5      845.79533      6.4846625      845.79533      6.4846625      845.79533      6.4846625
           -4.4      946.37938      6.8142445      946.37938      6.8142445      946.37938      6.8142445
           -4.3      1025.7869       6.989842      1025.7869       6.989842      1025.7869       6.989842
           -4.2      1125.3879      7.5813492      1125.3879      7.5813492      1125.3879      7.5813492
           -4.1      1229.6909      7.5876519      1229.6909      7.5876519      1229.6909      7.5876519
             -4      1340.4849      7.9151234      1340.4849      7.9151234      1340.4849      7.9151234
           -3.9        1455.22      8.3774124        1455.22      8.3774124        1455.22      8.3774124
           -3.8      1548.3098      8.4327805      1548.3098      8.4327805      1548.3098      8.4327805
           -3.7      1676.2054      8.7584758      1676.2054      8.7584758      1676.2054      8.7584758
           -3.6      1775.6534      8.9484717      1775.6534      8.9484717      1775.6534      8.9484717
           -3.5      1920.8918      9.3540245      1920.8918      9.3540245      1920.8918      9.3540245
           -3.4      2043.1264       9.520689      2043.1264       9.520689      2043.1264       9.520689
           -3.3      2169.3645      9.8896193      2169.3645      9.8896193      2169.3645      9.8896193
           -3.2        2309.17      10.017936        2309.17      10.017936        2309.17      10.017936
           -3.1      2422.2694      10.206861      2422.2694      10.206861      2422.2694      10.206861
             -3      2559.5333      10.448161      2559.5333      10.448161      2559.5333      10.448161
           -2.9      2693.0944      10.715179      2693.0944      10.715179      2693.0944      10.715179
           -2.8      2780.0396      10.895062      2780.0396      10.895062      2780.0396      10.895062
           -2.7      2912.2067      11.067983      2912.2067      11.067983      2912.2067      11.067983
           -2.6      3044.5019      11.314819      3044.5019      11.314819      3044.5019      11.314819
           -2.5      3162.7532       11.47103      3162.7532       11.47103      3162.7532       11.47103
           -2.4      3283.0207      11.678941      3283.0207      11.678941      3283.0207      11.678941
           -2.3      3388.3046      11.810802      3388.3046      11.810802      3388.3046      11.810802
           -2.2      3505.6458      11.962179      3505.6458      11.962179      3505.6458      11.962179
           -2.1      3567.8557      12.128075      3567.8557      12.128075      3567.8557      12.128075
             -2      3692.3569      12.237809      3692.3569      12.237809      3692.3569      12.237809
           -1.9      3784.9807      12.356331      3784.9807      12.356331      3784.9807      12.356331
           -1.8      3853.5025      12.493748      3853.5025      12.493748      3853.5025      12.493748
           -1.7      3924.6654      12.594473      3924.6654      12.594473      3924.6654      12.594473
           -1.6      3985.0883      12.633634      3985.0883      12.633634      3985.0883      12.633634
           -1.5      4034.6596      12.718778      4034.6596      12.718778      4034.6596      12.718778
           -1.4      4086.7323      12.822823      4086.7323      12.822823      4086.7323      12.822823
           -1.3      4128.1414      12.774927      4128.1414      12.774927      4128.1414      12.774927
           -1.2       4164.604      12.838716       4164.604      12.838716       4164.604      12.838716
           -1.1      4185.9343      13.533278      4185.9343      13.533278      4185.9343      13.533278
             -1      4190.2005      12.886091      4190.2005      12.886091      4190.2005      12.886091
           -0.9      4212.4288      12.841781      4212.4288      12.841781      4212.4288      12.841781
           -0.8      4203.3856      12.904557      4203.3856      12.904557      4203.3856      12.904557
           -0.7      4211.7906      12.834953      4211.7906      12.834953      4211.7906      12.834953
           -0.6      4213.6686      12.847114      4213.6686      12.847114      4213.6686      12.847114
           -0.5        4192.13       12.82957        4192.13       12.82957        4192.13       12.82957
           -0.4      4206.4897      12.783279      4206.4897      12.783279      4206.4897      12.783279
           -0.3      4176.6073      12.772788      4176.6073      12.772788      4176.6073      12.772788
           -0.2      4169.3031      12.752478      4169.3031      12.752478      4169.3031      12.752478
           -0.1      4186.2211      12.741371      4186.2211      12.741371      4186.2211      12.741371
              0      4185.3767      12.820722      4185.3767      12.820722      4185.3767      12.820722
            0.1      4199.7411       12.83373      4199.7411       12.83373      4199.7411       12.83373
            0.2      4208.9697      12.765611      4208.9697      12.765611      4208.9697      12.765611
            0.3      4214.6001      12.799959      4214.6001      12.799959      4214.6001      12.799959
            0.4      4206.8746      12.817995      4206.8746      12.817995      4206.8746      12.817995
            0.5       4202.003      12.814131       4202.003      12.814131       4202.003      12.814131
            0.6      4213.0944      12.891677      4213.0944      12.891677      4213.0944      12.891677
            0.7      4211.2114      13.317244      4211.2114      13.317244      4211.2114      13.317244
            0.8      4221.6918      12.860419      4221.6918      12.860419      4221.6918      12.860419
            0.9      4208.1972      12.837278      4208.1972      12.837278      4208.1972      12.837278
              1      4181.8515      12.921067      4181.8515      12.921067      4181.8515      12.921067
            1.1      4178.3022      12.863349      4178.3022      12.863349      4178.3022      12.863349
            1.2      4134.8463      12.854841      4134.8463      12.854841      4134.8463      12.854841
            1.3        4081.39      12.751014        4081.39      12.751014        4081.39      12.751014
            1.4      4027.2948      12.684374      4027.2948      12.684374      4027.2948      12.684374
            1.5      3993.4778       12.68249      3993.4778       12.68249      3993.4778       12.68249
            1.6      3894.0262      12.586579      3894.0262      12.586579      3894.0262      12.586579
            1.7      3834.3276       12.47662      3834.3276       12.47662      3834.3276       12.47662
            1.8      3766.2121      12.386422      3766.2121      12.386422      3766.2121      12.386422
            1.9      3682.4615      12.271648      3682.4615      12.271648      3682.4615      12.271648
              2      3584.3989      12.238063      3584.3989      12.238063      3584.3989      12.238063
            2.1      3478.3649      11.946165      3478.3649      11.946165      3478.3649      11.946165
            2.2      3397.5026      11.932046      3397.5026      11.932046      3397.5026      11.932046
            2.3      3280.3241      11.838936      3280.3241      11.838936      3280.3241      11.838936
            2.4      3163.7192      11.778649      3163.7192      11.778649      3163.7192      11.778649
            2.5      3043.9469      11.320347      3043.9469      11.320347      3043.9469      11.320347
            2.6      2904.8071      11.146054      2904.8071      11.146054      2904.8071      11.146054
            2.7      2800.3702      10.974633      2800.3702      10.974633      2800.3702      10.974633
            2.8       2684.833      10.778343       2684.833      10.778343       2684.833      10.778343
            2.9       2560.453      10.572895       2560.453      10.572895       2560.453      10.572895
              3      2411.2815      10.268939      2411.2815      10.268939      2411.2815      10.268939
            3.1       2308.855      10.054094       2308.855      10.054094       2308.855      10.054094
            3.2       2173.111      9.9080745       2173.111      9.9080745       2173.111      9.9080745
            3.3      2040.6764       9.634321      2040.6764       9.634321      2040.6764       9.634321
            3.4       1929.762      9.3735562       1929.762      9.3735562       1929.762      9.3735562
            3.5       1794.091      9.1759219       1794.091      9.1759219       1794.091      9.1759219
            3.6      1677.9268      8.8801281      1677.9268      8.8801281      1677.9268      8.8801281
            3.7      1564.4442      8.8071906      1564.4442      8.8071906      1564.4442      8.8071906
            3.8      1455.4917      8.3074912      1455.4917      8.3074912      1455.4917      8.3074912
            3.9      1324.1339      7.9521831      1324.1339      7.9521831      1324.1339      7.9521831
              4      1210.0377      7.6354576      1210.0377      7.6354576      1210.0377      7.6354576
            4.1      1120.7562      7.4690101      1120.7562      7.4690101      1120.7562      7.4690101
            4.2      1030.1517      7.1231497      1030.1517      7.1231497      1030.1517      7.1231497
            4.3      947.93233      6.8735114      947.93233      6.8735114      947.93233      6.8735114
            4.4      841.71149      6.5308021      841.71149      6.5308021      841.71149      6.5308021
            4.5      772.55255      6.2903519      772.55255      6.2903519      772.55255      6.2903519
            4.6      686.71191      5.9409887      686.71191      5.9409887      686.71191      5.9409887
            4.7      610.25812      5.6132056      610.25812      5.6132056      610.25812      5.6132056
            4.8      546.62964       5.365008      546.62964       5.365008      546.62964       5.365008
