#     pt_b-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       343.7691      1.2977649       343.7691      1.2977649       343.7691      1.2977649
              1      962.72012      2.1510717      962.72012      2.1510717      962.72012      2.1510717
              2       1399.484      2.5679281       1399.484      2.5679281       1399.484      2.5679281
              3      1633.2264      2.7191707      1633.2264      2.7191707      1633.2264      2.7191707
              4      1712.8611      2.7710748      1712.8611      2.7710748      1712.8611      2.7710748
              5      1684.8771       2.705583      1684.8771       2.705583      1684.8771       2.705583
              6      1602.7376      2.6185503      1602.7376      2.6185503      1602.7376      2.6185503
              7       1488.371      2.5021399       1488.371      2.5021399       1488.371      2.5021399
              8      1367.7768      2.3825512      1367.7768      2.3825512      1367.7768      2.3825512
              9       1250.616      2.2761736       1250.616      2.2761736       1250.616      2.2761736
             10      1136.3384      2.1578994      1136.3384      2.1578994      1136.3384      2.1578994
             11      1030.5377      2.0408956      1030.5377      2.0408956      1030.5377      2.0408956
             12      931.62346      1.9304021      931.62346      1.9304021      931.62346      1.9304021
             13      848.65343      1.8392634      848.65343      1.8392634      848.65343      1.8392634
             14      772.39516      1.7499233      772.39516      1.7499233      772.39516      1.7499233
             15      700.42113      1.6635039      700.42113      1.6635039      700.42113      1.6635039
             16      635.68341      1.5964869      635.68341      1.5964869      635.68341      1.5964869
             17      583.65762      1.5056204      583.65762      1.5056204      583.65762      1.5056204
             18      531.04149      1.4959535      531.04149      1.4959535      531.04149      1.4959535
             19      490.11518      1.3757827      490.11518      1.3757827      490.11518      1.3757827
             20      447.26434      1.3150436      447.26434      1.3150436      447.26434      1.3150436
             21      411.54952      1.2573432      411.54952      1.2573432      411.54952      1.2573432
             22       378.9315      1.2135811       378.9315      1.2135811       378.9315      1.2135811
             23      352.42458      1.1627044      352.42458      1.1627044      352.42458      1.1627044
             24       326.5222      1.1284844       326.5222      1.1284844       326.5222      1.1284844
             25      299.67411      1.0691728      299.67411      1.0691728      299.67411      1.0691728
             26      277.88819      1.0257756      277.88819      1.0257756      277.88819      1.0257756
             27      258.01257     0.98603457      258.01257     0.98603457      258.01257     0.98603457
             28      242.08674     0.95366376      242.08674     0.95366376      242.08674     0.95366376
             29         223.55     0.91417339         223.55     0.91417339         223.55     0.91417339
             30       208.6155     0.88431373       208.6155     0.88431373       208.6155     0.88431373
             31      194.22347     0.85957674      194.22347     0.85957674      194.22347     0.85957674
             32       181.2987     0.83055749       181.2987     0.83055749       181.2987     0.83055749
             33      171.03484     0.79689093      171.03484     0.79689093      171.03484     0.79689093
             34      159.94588      0.7781007      159.94588      0.7781007      159.94588      0.7781007
             35      150.46909     0.74812683      150.46909     0.74812683      150.46909     0.74812683
             36      141.25784     0.72478291      141.25784     0.72478291      141.25784     0.72478291
             37      133.32523     0.73379677      133.32523     0.73379677      133.32523     0.73379677
             38      124.51253      0.6794881      124.51253      0.6794881      124.51253      0.6794881
             39      118.35153     0.66168881      118.35153     0.66168881      118.35153     0.66168881
             40      111.25172     0.64405601      111.25172     0.64405601      111.25172     0.64405601
             41      106.86811      0.6304675      106.86811      0.6304675      106.86811      0.6304675
             42      100.29536     0.61045073      100.29536     0.61045073      100.29536     0.61045073
             43       94.52368     0.59858762       94.52368     0.59858762       94.52368     0.59858762
             44      88.675977     0.56990086      88.675977     0.56990086      88.675977     0.56990086
             45      85.299242     0.56122252      85.299242     0.56122252      85.299242     0.56122252
             46      79.980446     0.54671352      79.980446     0.54671352      79.980446     0.54671352
             47      76.514162     0.52985448      76.514162     0.52985448      76.514162     0.52985448
             48      72.390928     0.51488509      72.390928     0.51488509      72.390928     0.51488509
             49      68.907377     0.50398099      68.907377     0.50398099      68.907377     0.50398099
             50      68.907377     0.50398099      68.907377     0.50398099      68.907377     0.50398099
