#       pt_lep2        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      109.37238     0.30565273      109.37238     0.30565273      109.37238     0.30565273
              5      320.87643     0.50934304      320.87643     0.50934304      320.87643     0.50934304
             10      521.52264     0.63722119      521.52264     0.63722119      521.52264     0.63722119
             15       714.1296       0.735281       714.1296       0.735281       714.1296       0.735281
             20      878.19485     0.81181537      878.19485     0.81181537      878.19485     0.81181537
             25      979.32613     0.86144999      979.32613     0.86144999      979.32613     0.86144999
             30      964.32297      0.8640143      964.32297      0.8640143      964.32297      0.8640143
             35      711.44927     0.76243852      711.44927     0.76243852      711.44927     0.76243852
             40      232.87862     0.43073327      232.87862     0.43073327      232.87862     0.43073327
             45      96.317359      0.2731684      96.317359      0.2731684      96.317359      0.2731684
             50      55.314128      0.2038737      55.314128      0.2038737      55.314128      0.2038737
             55      34.987842     0.16385182      34.987842     0.16385182      34.987842     0.16385182
             60      23.483749     0.13465838      23.483749     0.13465838      23.483749     0.13465838
             65      16.457088     0.11250451      16.457088     0.11250451      16.457088     0.11250451
             70      12.149402    0.095946172      12.149402    0.095946172      12.149402    0.095946172
             75       8.915837    0.082439148       8.915837    0.082439148       8.915837    0.082439148
             80      6.6992294    0.071151722      6.6992294    0.071151722      6.6992294    0.071151722
             85      5.0182277    0.061682179      5.0182277    0.061682179      5.0182277    0.061682179
             90      3.9148166    0.054185213      3.9148166    0.054185213      3.9148166    0.054185213
             95      3.2396154    0.073136458      3.2396154    0.073136458      3.2396154    0.073136458
            100      2.5713387     0.04423102      2.5713387     0.04423102      2.5713387     0.04423102
            105      2.0947212    0.040142963      2.0947212    0.040142963      2.0947212    0.040142963
            110      1.6591981    0.037376266      1.6591981    0.037376266      1.6591981    0.037376266
            115      1.3271934    0.035531838      1.3271934    0.035531838      1.3271934    0.035531838
            120       1.097243    0.030449216       1.097243    0.030449216       1.097243    0.030449216
            125     0.92045596    0.027023529     0.92045596    0.027023529     0.92045596    0.027023529
            130     0.76466094    0.027655317     0.76466094    0.027655317     0.76466094    0.027655317
            135     0.63617272    0.022237243     0.63617272    0.022237243     0.63617272    0.022237243
            140     0.58019911    0.021087112     0.58019911    0.021087112     0.58019911    0.021087112
            145     0.48670711     0.02367774     0.48670711     0.02367774     0.48670711     0.02367774
            150      0.3769023    0.017040654      0.3769023    0.017040654      0.3769023    0.017040654
            155     0.32628482    0.017138367     0.32628482    0.017138367     0.32628482    0.017138367
            160     0.28870701    0.015319431     0.28870701    0.015319431     0.28870701    0.015319431
            165     0.23513667     0.01336915     0.23513667     0.01336915     0.23513667     0.01336915
            170     0.20550488    0.019448283     0.20550488    0.019448283     0.20550488    0.019448283
            175     0.18219457    0.011955882     0.18219457    0.011955882     0.18219457    0.011955882
            180     0.14677648    0.010898292     0.14677648    0.010898292     0.14677648    0.010898292
            185     0.14487888     0.01116531     0.14487888     0.01116531     0.14487888     0.01116531
            190     0.14454142    0.010702206     0.14454142    0.010702206     0.14454142    0.010702206
            195     0.10288955    0.009227207     0.10288955    0.009227207     0.10288955    0.009227207
            200    0.091365964   0.0084617577    0.091365964   0.0084617577    0.091365964   0.0084617577
            205    0.083623641    0.008039892    0.083623641    0.008039892    0.083623641    0.008039892
            210    0.066292874   0.0074164496    0.066292874   0.0074164496    0.066292874   0.0074164496
            215    0.068945138   0.0075140017    0.068945138   0.0075140017    0.068945138   0.0075140017
            220    0.061814823   0.0069014698    0.061814823   0.0069014698    0.061814823   0.0069014698
            225    0.029428189     0.00543659    0.029428189     0.00543659    0.029428189     0.00543659
            230    0.044207303   0.0058384365    0.044207303   0.0058384365    0.044207303   0.0058384365
            235      0.0488325   0.0060265195      0.0488325   0.0060265195      0.0488325   0.0060265195
            240    0.038258976    0.005462454    0.038258976    0.005462454    0.038258976    0.005462454
            245    0.043028523   0.0065812941    0.043028523   0.0065812941    0.043028523   0.0065812941
            250    0.029855709   0.0050735301    0.029855709   0.0050735301    0.029855709   0.0050735301
            255    0.025765098   0.0044921731    0.025765098   0.0044921731    0.025765098   0.0044921731
            260    0.017043228   0.0036999457    0.017043228   0.0036999457    0.017043228   0.0036999457
            265     0.01566563   0.0036746017     0.01566563   0.0036746017     0.01566563   0.0036746017
            270    0.017292165   0.0035138444    0.017292165   0.0035138444    0.017292165   0.0035138444
            275    0.017142165   0.0042621642    0.017142165   0.0042621642    0.017142165   0.0042621642
            280    0.019247658   0.0043535944    0.019247658   0.0043535944    0.019247658   0.0043535944
            285    0.018614626   0.0036804727    0.018614626   0.0036804727    0.018614626   0.0036804727
            290    0.016089606   0.0037300483    0.016089606   0.0037300483    0.016089606   0.0037300483
            295    0.010249331   0.0028954645    0.010249331   0.0028954645    0.010249331   0.0028954645
            300   0.0098876575   0.0030071628   0.0098876575   0.0030071628   0.0098876575   0.0030071628
