# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj30
              0      2477.2445      5.4879055      2477.2445      5.4879055      2477.2445      5.4879055
     0.31415927      2658.8866      5.6543939      2658.8866      5.6543939      2658.8866      5.6543939
     0.62831853      2794.3362       5.796673      2794.3362       5.796673      2794.3362       5.796673
      0.9424778      3002.1792      6.0044932      3002.1792      6.0044932      3002.1792      6.0044932
      1.2566371      3348.6094      6.4083378      3348.6094      6.4083378      3348.6094      6.4083378
      1.5707963      3921.7512      6.9199848      3921.7512      6.9199848      3921.7512      6.9199848
      1.8849556      4753.3835      7.6745706      4753.3835      7.6745706      4753.3835      7.6745706
      2.1991149       5904.308      8.5490401       5904.308      8.5490401       5904.308      8.5490401
      2.5132741      7324.0556      9.4371073      7324.0556      9.4371073      7324.0556      9.4371073
      2.8274334       8556.772      10.203941       8556.772      10.203941       8556.772      10.203941
      3.1415927       8556.772      10.203941       8556.772      10.203941       8556.772      10.203941
