# eta_bjet1-CMS        central        num_err    min (scale)        num_err    max (scale)        num_err
# -1bjet
              0      1194.4119      3.2895219      1194.4119      3.2895219      1194.4119      3.2895219
            0.4      1143.0347      3.2173999      1143.0347      3.2173999      1143.0347      3.2173999
            0.8      1035.2525      3.0589589      1035.2525      3.0589589      1035.2525      3.0589589
            1.2      885.17565      2.8363966      885.17565      2.8363966      885.17565      2.8363966
            1.6       714.0963      2.5658349       714.0963      2.5658349       714.0963      2.5658349
              2      541.52814      2.2534625      541.52814      2.2534625      541.52814      2.2534625
            2.4      541.52814      2.2534625      541.52814      2.2534625      541.52814      2.2534625
