# dR_bb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
            0.4      157.74046     0.81787924      157.74046     0.81787924      157.74046     0.81787924
            1.2      63.415732     0.51421027      63.415732     0.51421027      63.415732     0.51421027
              2       55.90837     0.68006247       55.90837     0.68006247       55.90837     0.68006247
            2.4      64.055962     0.58629595      64.055962     0.58629595      64.055962     0.58629595
              3      48.205712     0.63816037      48.205712     0.63816037      48.205712     0.63816037
            3.4      7.0380743     0.19951252      7.0380743     0.19951252      7.0380743     0.19951252
              4      1.0056697    0.085746131      1.0056697    0.085746131      1.0056697    0.085746131
            4.5     0.18642933    0.035034142     0.18642933    0.035034142     0.18642933    0.035034142
              5     0.18642933    0.035034142     0.18642933    0.035034142     0.18642933    0.035034142
