#    pt_j1-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      440.04301      3.6228581      326.42341      2.6410031       2053.484      44.156374
              1      2514.2699      9.4881123       1906.055       7.127167      10889.437      69.510312
              2      3076.8562      10.740563      2485.7201      8.7094902      6216.2912      29.588243
              3      2974.2949      10.262585      2465.5978      8.6622313      4555.7635      18.363435
              4      2755.8383       9.334845      2309.9608      7.9781575      3803.1886      14.182949
              5      2559.8935      9.0210163      2162.5359      7.8506091      3340.1994      12.499393
              6       2358.004      8.2795628      1999.7164      7.2163461      2984.5474      10.946025
              7      2174.5729      7.6651579      1848.9874      6.7054024      2697.5391      9.6202457
              8      2005.2261      7.1254658      1707.7943      6.2667252      2458.6809      8.8310951
              9        1882.17      7.0120319       1605.662      6.1980182      2284.8127      8.6326106
             10        1743.91      6.3283602      1488.7657      5.6283724      2104.0813      7.5021945
             11      1641.8399       6.117268      1402.9579      5.4083256      1968.9965       7.380751
             12      1553.8881      6.1122818      1328.0012      5.4446597       1854.622      7.1366509
             13      1467.2908      5.7633608      1254.6501      5.1480609      1748.7105      6.7402644
             14      1388.9388      5.3405461      1186.8377      4.7664783      1652.3126      6.1234972
             15      1308.0914      5.2028112      1118.2705      4.6541459      1553.1094      5.9527076
             16      1251.6576      4.9991748      1070.3764      4.4718568      1482.6301       5.702961
             17      1186.8015      4.7060494      1014.0688      4.1890398      1406.2968      5.4438669
             18      1124.0239      4.6057508       960.5763      4.1127806      1331.6545      5.4203292
             19      1075.0604      4.5404702      917.77156       4.130641       1273.529      5.1146817
             20      1022.3628      4.3390313      871.65677       3.894089      1212.3662      4.9656952
             21       971.7496      4.3646855      827.61169      3.9194543       1152.437      4.9265644
             22      925.44448      4.2851206      787.00118      3.8341372       1098.795      4.8970244
             23      873.85259      3.5505339      740.28574      3.1664737      1042.7895      4.0415776
             24      831.98169      4.0029502      703.79855      3.6134814      994.97653      4.5066639
             25      781.68131      3.4792238      658.94292      3.0647423      938.29123      4.0214051
             26       747.9815      3.4608712      630.15585      3.1118833      898.51696      3.9125753
             27      708.77696      3.2795965      595.18029      2.9480485      854.85645      3.7142613
             28      671.53178      3.1138541      562.60272      2.7528069       812.1014      3.6246468
             29       633.3925      3.0841796      528.67169      2.6191099      769.52225       3.794786
             30      605.09987      2.8662476      504.48439      2.5544172      735.48535      3.2722598
             31      578.24612      2.9413912      481.23254      2.5900427      704.28855      3.4268844
             32      555.62215      2.6920231      461.07992      2.3241641      679.57756       3.246334
             33      532.10777      2.8984085      441.81322      2.5806764      649.37543       3.365421
             34      502.94883      2.2385907      416.12849      1.9453781      616.55157      2.6809575
             35      484.94768      2.5963337      400.68922      2.2876235      595.69276       3.012407
             36      467.72397      2.4964525       385.8319      2.1809487      575.26871      2.9421297
             37      447.28706      2.1017214      367.90665      1.7862471      552.02571      2.5589648
             38       432.9504      2.2228395      356.39297      1.9374203       533.8726      2.6324807
             39      415.94606      2.2493001      341.39569      1.9321565      514.61753      2.6915665
             40      404.09027       2.374646      331.75612      2.0581475      499.63756      2.8398679
             41      384.92679        2.00121      315.30901      1.7095773      477.51107      2.4207169
             42      377.75792      2.3288049      308.76048      1.9602849      469.87033       2.861335
             43      360.62272      1.9626626      295.01338      1.6561555      447.83715      2.4128746
             44      346.25827      1.9124639      282.92088      1.6297434      430.57828      2.3125611
             45      335.09534      1.9134868       273.8177      1.6576766      416.50028       2.274946
             46      321.52111      1.7500615      262.51491      1.5020661      399.82153      2.1391211
             47      312.24134      1.9863885      254.76138      1.7292615      388.64538      2.3990174
             48      302.85695      1.6831591      246.73636      1.4374068      377.85841      2.0399329
             49      290.95744      1.5354144      236.92401      1.2979306      363.43379      1.9484271
             50      290.95744      1.5354144      236.92401      1.2979306      363.43379      1.9484271
