#         pt_bb        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      997.25458      2.3189385      805.46129      1.8397644      1691.1786      7.7183913
              5      2097.3111      3.0518384       1709.595       2.547468      3402.7073      10.155285
             10      2085.7404      3.0014174      1715.7446      2.5553312       3194.192       9.163932
             15      1701.6527      2.6761876      1409.8625      2.3089513      2506.6185      7.5947006
             20      1312.2724      2.4023845      1095.0799      2.0989343      1840.8898      6.0619794
             25       994.2956      2.0015063       833.5044      1.7539742      1360.3638       4.909448
             30      751.46993      1.6827275      632.47859      1.4867979      1003.1057      3.8936822
             35      576.10184      1.4260465       486.4956      1.2571915      751.79419        3.20405
             40       450.1982      1.3120304      381.42328      1.1691294      577.70774      2.6846309
             45      352.54476      1.0846182      299.09854     0.97040586      446.78254      2.1342569
             50      279.72155     0.95672148       237.5958     0.85427894      351.96231      1.9378474
             55      224.82437      0.8609704      191.31096      0.7738232      279.07058       1.591919
             60      180.43324     0.70653145      153.69034     0.63210942      220.42418      1.2987097
             65      148.58797     0.67761879      126.57402     0.60887227      180.76695      1.1676484
             70      122.87983     0.65168646      104.84222     0.60320203      150.01316       1.012675
             75      103.75165     0.57070342      88.652764     0.52648525      124.07474     0.92378168
             80      86.363905     0.50325946      73.692998      0.4571958      104.66376     0.87526077
             85      72.990621     0.44503544      62.389575     0.40437513      88.511413     0.76270782
             90      61.766982     0.38215453      52.780029     0.34421548      73.790547     0.61631578
             95      52.234016     0.33954511      44.473465     0.29965084      62.995812     0.55491831
            100      44.996823     0.34614822      38.256549     0.31030229      54.025448     0.43427266
            105      38.951103     0.28636224      32.987542     0.25729722      46.813942     0.34896875
            110      34.065225     0.26098058      28.883843     0.23408059       40.95374     0.32734991
            115      30.115477     0.33048437      25.598529     0.32574791      36.058609      0.3547382
            120      25.944758     0.22944831      22.001831     0.20573994      31.050723     0.29427466
            125      22.720851     0.23485486       19.26696     0.21249682      27.111941     0.29087584
            130      20.064846     0.18923243      16.898534     0.16721902      24.182792     0.22903943
            135      17.914812     0.22772282       15.10252     0.19935507      21.583878     0.27459689
            140      15.578396     0.17285442      13.082291     0.15356594      18.795538     0.21035935
            145      13.911989     0.16332295      11.713953     0.14345571       16.77198     0.21054005
            150      12.290847     0.16067524       10.38465     0.14178252      14.704622     0.19993056
            155      11.171946     0.14539361      9.3846828     0.12724741      13.499877     0.17988324
            160      9.8375613     0.13583751      8.2806715     0.12001995      11.864723     0.18482108
            165      8.8432873     0.13705698      7.4282118      0.1215584      10.628963     0.18511654
            170      8.1526326     0.11956598      6.8133197      0.1030942      9.9359789     0.16071026
            175      7.3275184     0.11044692      6.1635016    0.099092199       8.794994      0.1451809
            180      6.5627507     0.10718269      5.4744726    0.093301787       7.962794     0.13208867
            185       5.871615     0.12489958      4.9231995     0.11109236      7.0661134     0.14692414
            190      5.4304922     0.10214196      4.5697773     0.08881398      6.5087424     0.12676739
            195      5.0329902    0.092603515      4.1951596    0.080659364      6.0943458     0.11336492
            200       4.499911    0.091507704      3.7482872    0.078217963      5.4744517     0.11442255
            205      4.1677855     0.08824466      3.4984688    0.079367756      5.0383986     0.10750132
