#     m_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
             10      4817.2763      4.3250761      3985.6986      3.7110639      7257.6071      13.590542
             15      2869.6518      3.3805848      2375.7548      2.8930964      4233.4322      9.9119757
             20      1591.7958      2.5892159      1321.0731      2.2319215      2282.3141      6.9660476
             25      967.15955      1.9783257       804.8683      1.7054634       1364.719      5.2078819
             30      628.15132      1.5941266      524.20571      1.3747366      869.23633      3.9634854
             35      436.31639      1.3286994       364.5388      1.1377987      599.41113      3.1808473
             40      314.98041      1.1111034      263.95975     0.95751705      427.51081      2.5511965
             45      232.88545     0.91632527      195.36826     0.79196239      309.38926      1.9842715
             50      179.24813     0.82518803      150.75889     0.71741411      235.64686      1.7580369
             55      141.73983     0.74084681       119.3401     0.64280237      188.59566      1.6409643
             60       112.6541     0.64164279      95.032711     0.55470932      146.78621      1.4139704
             65      91.572385     0.56909924      77.316325     0.49692044      118.43638      1.1615403
             70      76.336557     0.53938222      64.426495     0.46273619      97.736068      1.0323433
             75      62.470296     0.47154272      52.880261     0.41260487      80.579975     0.97416355
             80      52.222883     0.38965864      44.184624     0.33704295      66.854616     0.81831512
             85      45.591813     0.40721581      38.611242      0.3563632      57.457894     0.69584147
             90      39.466142     0.40282468      33.547852     0.36569686       49.60428     0.69183017
             95      33.386378     0.34560054      28.303359     0.29570591      42.699057     0.63559399
            100      33.386378     0.34560054      28.303359     0.29570591      42.699057     0.63559399
