# dR_Zbb-CMS-2b        central        num_err    min (scale)        num_err    max (scale)        num_err
# jet
              0      23.473734      0.7122176      20.255215     0.61069854      27.798323     0.88917776
            0.6      81.143161      1.5358879      70.099786      1.4218241      97.045771       2.053354
            1.2      157.30427      1.9497538      137.22434      1.7572081      186.85336      3.6071239
            1.8      240.95879      2.5903551      208.74124      2.2914113      291.02006      4.6425341
            2.4      299.61654       4.055209      258.28198      3.7366801      360.84625      6.3522911
            2.7      335.84546      4.0719678      289.14147      3.6973069      403.26287      7.4640503
              3      212.32243      3.1037057      181.47617      2.7365056      262.07199      7.6646691
            3.3      75.290857      1.4631711      63.132704      1.3075242      93.995236      2.1115245
              4      16.449126     0.51199801      13.467398     0.43629563      21.143491     0.82760211
              5      16.449126     0.51199801      13.467398     0.43629563      21.143491     0.82760211
