#     pt_Z-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      124.44668      2.0888829      99.840085      1.6170148      252.43815      8.2249812
              1      387.38999      3.8423244      311.19468      3.0308715      778.12776      14.014725
              2      621.94751      4.5927305      500.62574      3.6103238      1225.8306      17.046399
              3      834.64764      5.4800737      673.79898      4.3395057       1631.701       19.84276
              4      1033.0121      5.8693892      835.57067      4.7455644       2007.833      21.578685
              5      1202.7487      6.2852243      975.45622      5.0542803      2294.3434      22.471147
              6      1326.6866      6.4469629      1080.5193      5.3223043      2432.1252      22.369131
              7      1429.6658      6.6058608      1166.7438      5.4510534      2556.7289      22.816264
              8      1519.4385      6.7653447      1243.7531      5.6302119      2661.1229       22.55507
              9      1573.6586      6.8133304       1292.792      5.7125436      2679.9453       22.37078
             10      1622.3802      6.6874587      1334.7513      5.5989219      2695.1432      21.472095
             11      1635.0947      6.6058722      1346.7502      5.5687871      2708.6424      21.375474
             12      1633.1539      6.6032465      1349.8415      5.6323981      2613.2629       20.52986
             13       1621.775      6.3755816      1342.0819      5.4330234      2564.2456      19.624881
             14      1614.7632      6.5192171      1338.8212      5.5796004      2534.3141       19.46473
             15      1597.7986      6.6349512      1326.7828      5.6917116      2452.5688      18.698805
             16      1559.9887      6.2273333      1296.5919      5.3543919         2348.5       17.88573
             17      1531.7976      6.4410696      1276.0388      5.5650529      2305.3119      17.275629
             18      1493.3622      6.1599393      1244.6635      5.3291213      2213.0842      16.346997
             19       1432.098      5.5724513      1193.7093      4.7838642      2091.2123      15.036739
             20       1395.409      5.8328288      1165.6873      5.0863986      1998.0572       15.19484
             21      1363.8369      5.8945107      1140.8316      5.1391103      1940.8132      14.895125
             22      1301.2512      5.5182573      1088.6533      4.7907102      1825.6308       13.46753
             23      1257.0038      5.0749728      1051.2054      4.4262861      1747.8893      12.811186
             24      1212.3177      5.1768904      1013.9144      4.5250282      1667.1368       12.39454
             25      1162.1047      4.8142781      972.57922      4.2085623      1603.1206      12.076081
             26      1130.0981      4.8693051      947.14107      4.2917285      1551.9025      11.695383
             27      1089.9505       4.859432      913.54586      4.3029688      1487.9366      11.134664
             28      1041.6296       4.557419      872.72445      3.9962351      1412.1789      10.873299
             29      1007.3748      4.5412426      845.13559      4.0043556      1336.1472      9.7867265
             30      957.80639      4.2746108      803.43437      3.7703414      1271.9464      9.8906805
             31      925.99004       3.942044       775.7566      3.4408118      1232.9393      9.2213782
             32      882.81412        3.91668      740.29044      3.4570026      1172.6455      9.1913833
             33      848.07257      3.8019637      710.58609      3.3532515      1127.3701      8.4667987
             34      823.63885      4.0034282      691.45438      3.5551731      1074.9422      8.2300597
             35      794.95985      3.9141703       665.5655      3.4283454      1052.4628      8.5327433
             36      755.75394      3.7046953      633.61532      3.3358987       974.7759      7.5987208
             37      724.49581      3.4705468      607.48699      3.0697257      933.41805      7.0139291
             38      700.88227        3.59721      587.64338       3.199114      900.49996      7.1236752
             39       667.3845      3.3413671      558.40417      2.9194521      863.52336      7.0718063
             40      646.31296      3.2892188      541.64209      2.9030999      832.22002      6.7605767
             41      616.96422      3.2897452      516.99366      2.9105876      789.31153      6.5493068
             42      590.51015      2.9124339      494.69089      2.5569673      750.70054      5.9071525
             43      569.40434      2.9588856      476.93486      2.6431018      728.77174       6.176667
             44      550.74732      2.8033506      461.12422      2.4782883       698.2589      5.2435907
             45      534.49562       2.844814      447.39968      2.5095041      685.28988      5.4701434
             46      510.45768      2.6937243      427.51081      2.4435743      652.47538      5.4548994
             47      486.81394      2.7003325      407.20278      2.3783325      614.63204      4.8179372
             48      472.19914      2.4894372      394.71734      2.1712274      598.06609      4.9471982
             49      453.78026      2.4449876      379.59883      2.1596471        571.594      4.4842143
             50      453.78026      2.4449876      379.59883      2.1596471        571.594      4.4842143
