# eta_bjet1-CMS        central        num_err    min (scale)        num_err    max (scale)        num_err
# -2bjet
              0      355.32484      3.4505346        304.358      3.0489846      430.11269      7.1436347
            0.4      342.62293      3.3917696      294.47399      3.0652623      416.40068      5.5678755
            0.8      303.25211      3.2971919      261.15647      2.9913002      360.69335      5.8403132
            1.2      252.55977      3.5230029      217.47506      3.1321895      311.44465      6.6203984
            1.6      189.24615      3.1518634      164.14488      2.8542329      228.42445      4.5606128
              2      125.17611      2.4034658      108.59307      2.1761414      150.25692      3.7187361
            2.4      125.17611      2.4034658      108.59307      2.1761414      150.25692      3.7187361
