#pt_Z-CMS-1bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      21.141453      0.1243684      17.858801     0.10729537      26.247097     0.23068849
             20      51.216733      0.2826978      43.657512     0.24945894      64.859309     0.57874872
             30      61.304575     0.31929834      52.450856     0.28528577      80.480093     0.76735178
             40      52.621305     0.27196749      45.160115     0.24280108      67.295265     0.64931957
             50      40.951928     0.19793659      35.200795     0.17888472      50.629171     0.40651683
             65      30.281391     0.15272575      25.921369     0.13802371      36.781089     0.29472659
             80      21.946249     0.14111162       18.73379     0.12882139       26.51777     0.26659142
             95      15.894966     0.11301291      13.497161     0.10016129      19.041188     0.17256745
            110      11.168454    0.071916291      9.4683474    0.064080186       13.36781    0.090207606
            130      6.7044827    0.041193423      5.6477483    0.036379785      8.0939561     0.05141296
            165      3.6056141    0.029262769      3.0162015     0.02554608       4.363896      0.0377928
            200       2.024737    0.021140706        1.68185    0.018633391      2.4710884    0.025447668
            240     0.99707912    0.012322673     0.82563963    0.010869499      1.2240494    0.015071999
            300     0.17937561   0.0024305523     0.14795067   0.0020991933     0.21982764   0.0031431207
            600     0.17937561   0.0024305523     0.14795067   0.0020991933     0.21982764   0.0031431207
