#          pt_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      600.28879      2.0400282      484.20603      1.6218408      1179.1861      7.5139269
              5      1410.4396      2.9188304      1151.8529       2.410926      2524.8532      10.045008
             10      1625.4334      2.8976505      1342.4492      2.4591475      2623.1216       9.143048
             15       1523.009      2.7475252      1267.5573      2.3677672      2282.1354       7.618587
             20      1305.9637      2.4365498      1092.0584       2.125607      1835.9054      6.1489841
             25      1086.2315      2.0935537      910.22524       1.844147      1478.2572      4.9651141
             30      887.66439      1.7673206      744.30437      1.5594856      1175.9687      4.0201652
             35      728.69528      1.6018818      610.54307      1.4188665      944.93601      3.3391307
             40       594.7878      1.3570805      498.27714      1.2012868      759.85255       2.742281
             45      491.54933      1.1720208      411.28589      1.0386642      624.41148      2.2512868
             50      408.68138      1.0551275      341.82573     0.93667358      514.71088      2.0308507
             55      338.30405     0.93540958      282.77964     0.83385602      421.09303      1.6672754
             60      283.80072     0.77864474      236.89913     0.68658633      351.93348      1.3446725
             65       238.2026     0.71145161      198.82052     0.64233471      293.20701      1.2220937
             70      199.84361     0.63907521      166.61734     0.56531999      247.69123      1.0435798
             75      170.92664     0.59857833      142.42519     0.52790869      210.10282       1.005981
             80      146.61648     0.56271908      122.13058     0.49696196      180.22583     0.88483576
             85      123.82843     0.51879975      103.14466     0.46010291      153.10837     0.87941273
             90      107.05899     0.42945916      89.092123     0.37434952      131.26018     0.68754791
             95      92.528209     0.41981631      76.824236     0.35874819      114.31686     0.64463367
            100      79.849448     0.36612671      66.426839     0.32086399      97.872849     0.62008002
            105      68.521137     0.36721816      56.853868     0.33803179      84.124967     0.43611268
            110      59.541974     0.29955158      49.367089     0.25750326       73.17716     0.48092634
            115      52.499779     0.28917732      43.666333     0.26340655      64.274886     0.36458218
            120      45.486487     0.26509366      37.702266     0.23114567      55.833252     0.33603783
            125      40.305053     0.26315414      33.369664     0.22759464       49.33819     0.33466124
            130      35.121471     0.25123553      29.069668     0.22781816      43.110371     0.29784849
            135      30.972919     0.22016994      25.611819     0.19110355      38.080468      0.2759496
            140      27.238303     0.19557377      22.467889     0.16707462      33.509185     0.24865025
            145      24.464395     0.19561373      20.142193       0.169902      30.218654     0.24871082
            150      21.506419     0.18441148      17.719205     0.15904195      26.500115     0.23261234
            155      19.425571     0.18334432      15.989642     0.16000097      23.983123     0.23343283
            160      16.915072      0.1517591       13.91169     0.12920597      20.915336     0.19571187
            165      15.400512     0.14937427      12.659901     0.12733668      18.991781     0.20543088
