#         eta_b        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      1319.1629      18.646621      1073.7676      14.444631      2230.4273      62.761791
           -4.9      1521.0425      18.912577      1242.5529      15.106594      2485.9129      61.306964
           -4.8      1715.8986      20.807431      1404.6992      16.886962      2783.1414      62.274038
           -4.7      1848.2352      19.609564      1514.3891      15.469435      2980.3817      66.752136
           -4.6      2131.8188      22.629799      1744.3781      18.081337      3481.0152      76.444951
           -4.5      2335.1961      23.027026       1918.489      18.826193       3802.048      75.484661
           -4.4      2571.8305      23.854164      2114.4289      19.521147      4154.9135      78.149385
           -4.3      2764.7084       24.75002      2278.7734      20.243068      4352.5485      80.327551
           -4.2      3016.2072      25.483453      2492.0313      21.190864       4628.832      74.693288
           -4.1      3278.1733      28.012196      2709.8112      23.314315      5110.9293      82.239091
             -4      3537.8479       28.91373      2929.0588      23.889417      5480.9196      86.794137
           -3.9      3816.3402      27.964379      3159.9619      23.457086       5814.401      83.543446
           -3.8      4055.2871      28.786794      3359.5112      23.986191      6216.7855      94.123699
           -3.7      4370.5835      30.409803      3623.3289      25.372703      6668.6061      98.030666
           -3.6      4542.4452      29.505534      3771.2073      24.759772      6871.8942      94.857816
           -3.5      4926.0006      32.915938      4089.9889      27.498206      7489.9106      99.821236
           -3.4      5184.7848      34.899804      4313.9605      29.967528      7716.9992      99.795037
           -3.3      5478.9932      35.337439      4555.9618      30.383726      8146.5244        101.621
           -3.2      5699.4889      33.604969      4739.7516      28.470215      8557.2123      103.88721
           -3.1      5990.4921      38.015442      4984.0481       32.59575      8945.1524      105.42419
             -3      6264.6221      35.785246      5212.6603      30.309972      9276.3403      106.76616
           -2.9      6492.3215      37.224242      5408.5959      31.628174      9537.0161      106.62182
           -2.8      6670.5311      37.444551      5557.6513       31.87678      9748.8179      108.24737
           -2.7      6872.7839      37.247408      5720.0571       31.78469      10014.497      104.90395
           -2.6      7205.5899      41.821205      6008.4343       36.03712      10475.629      106.46991
           -2.5      7347.5987       39.09473      6112.9369      33.570807      10768.923      112.67131
           -2.4      7551.2601      37.381007      6287.7058      31.963961      11027.199      112.21945
           -2.3      7816.3511      40.710531      6510.1047      34.781254      11401.762       116.5409
           -2.2      7962.0908      40.392303      6635.6822      34.765425      11273.009      111.21133
           -2.1      8015.2764       40.43982      6674.8979      34.572994       11504.15      112.25096
             -2      8234.6298      42.135198      6859.0723      36.693528      11698.382      109.97636
           -1.9      8469.7267      43.136864      7053.2537      37.321906       11958.28      113.80699
           -1.8      8574.8625      44.629341      7146.7335        39.4436      12177.918      112.84628
           -1.7       8632.407      41.664277      7196.5983      36.208467      12102.702      106.87496
           -1.6      8671.8596      41.948631      7216.8831      36.171333      12181.288       108.4176
           -1.5      8790.6664      41.673405       7325.352      36.211157       12344.17      110.97673
           -1.4      8884.8335       44.47938      7399.8238      38.697545      12419.084      106.13682
           -1.3      8908.5836      42.846359       7421.851      37.162649      12478.194      111.41523
           -1.2      9007.6683      43.957093      7496.3894      38.175018       12641.64      113.99429
           -1.1      8882.5948      41.216221      7395.7606      35.441611      12298.218      108.77156
             -1      8979.7634      44.299471      7480.2925      38.767037      12502.048      105.81188
           -0.9      8947.2721      43.146337      7456.8656      37.907924      12313.407      107.18357
           -0.8      8936.9238      41.223902      7442.8537      35.988778      12429.806      106.31756
           -0.7       8957.607      44.061685      7465.2838      38.962434       12508.91      108.46036
           -0.6      8901.0842      40.937985      7410.9668      35.623923      12333.196      103.82019
           -0.5      8813.5213      40.431474       7344.358      35.153349      12136.353      105.18059
           -0.4       8824.178      41.396649      7351.3365       36.16189       11972.57      101.14374
           -0.3      8811.2412      42.500374      7351.8446      37.670466      11997.333      102.28719
           -0.2      8781.5862      41.760045      7322.7906       36.74212      12009.692      102.17814
           -0.1      8746.6879      40.236628      7281.4012      35.088355      12044.617      102.24432
              0      8720.0153      40.153466      7256.8159      34.691051      11999.584      101.78557
            0.1      8864.0971      44.597613      7381.2639      39.614974      12173.652      106.31464
            0.2      8796.3323       39.25354      7321.1656        34.0936      12111.292       101.4086
            0.3      8837.6366      40.129724      7350.6228      34.960836      12253.025      103.26987
            0.4      8912.0591      42.889203      7417.7658      37.461122      12333.745      108.81882
