#         m_bbZ        central        num_err    min (scale)        num_err    max (scale)        num_err
            100      853.95844      1.3901492      703.57124      1.1867664      1380.9581      4.7379592
            110      774.56204      1.3044687      642.89526       1.126535      1187.0362      4.1033318
            120      625.86843      1.1472366      521.73065     0.99596812       922.5948       3.365577
            130      496.54099      1.0004081      415.10108     0.87336051       717.2876      2.8177478
            140      399.88803     0.89123859      334.69014     0.77774208      563.61096      2.3694141
            150      327.02541     0.78718039       273.8043     0.68810386      454.52938      2.0073862
            160      270.87018     0.72323626      226.86159     0.63154174      371.11308      1.7647129
            170      228.92914     0.64992438      191.73007     0.56736016      306.17127      1.5152363
            180      194.79867     0.61234957      163.11809     0.53408477      261.15622      1.3588201
            190      167.53229     0.54237045      140.05431     0.47340885      222.77452      1.2146359
            200      146.51457     0.52523075      122.49945     0.45361649      192.92197      1.0898686
            210      128.33201      0.4859378      107.10206     0.41967655      169.25989      1.0040582
            220      113.19747     0.45448164      94.446223     0.39426006      148.23542     0.89925272
            230      100.96984     0.45246557      84.180616     0.38921474      132.94514     0.89156975
            240      90.151652     0.42659032       75.06967     0.36413057      118.19986     0.79950417
            250      80.365976     0.36641508       66.89559     0.31207875      105.33758     0.76323161
            260      72.294918     0.37401314      60.158438     0.32243869      94.081539     0.75476333
            270      65.644253     0.35690879      54.593692     0.30854565      85.672836      0.6721183
            280      59.232482     0.32877082      49.165767     0.28136815      76.364663     0.57373378
            290      54.169637     0.33224755      44.979534     0.28181071      69.189631     0.56297128
            300      49.776003     0.32065896      41.291737     0.27531493      64.572362     0.53005486
            310      45.063916     0.28940084       37.41694      0.2416319      58.200965     0.51903306
            320      41.295188     0.27665503      34.210715     0.23475576      53.834212     0.54429647
            330      38.735483     0.29738314      32.132889     0.25127811      50.023635     0.47441662
            340      35.294175     0.24907269      29.222344       0.207747      45.337476     0.44029706
            350      32.651789      0.2596108      27.036959     0.21732688      41.729552     0.43932428
            360      30.188889     0.24527101      25.013145     0.20710711      38.452299     0.37376441
            370      27.570801     0.22242178      22.823663     0.18744703      35.285139     0.38171932
            380       25.80735     0.22041625      21.331101     0.18294356      33.146802      0.3843475
            390      24.187266     0.19697525      19.986998     0.16732086      30.722126     0.31717766
            400      22.668046      0.2065357      18.739524     0.17491897      28.668366     0.32803046
            410      21.117536      0.2099856       17.37092     0.17805234      27.223485     0.33287637
            420       19.27104     0.16944457      15.825218     0.14117517      24.733007     0.27159996
            430       18.26852     0.19989966       15.04583     0.16856208       22.93116     0.25899333
            440      17.059064     0.19003031      14.010981     0.15549033      21.637613     0.31177182
            450      15.940275     0.17007307      13.072312     0.13993846      20.394098     0.26634108
            460      15.062362     0.16450942       12.32707     0.13649032      19.130451     0.21712802
            470      13.896533      0.1803297      11.371064     0.14409536       17.94775      0.3168191
            480      13.255718     0.19114023      10.841607     0.15744914      16.876281      0.2589117
            490      12.367215     0.15290212      10.121514     0.12674148      15.734815      0.2563863
            500      11.606533     0.14985072      9.4647986     0.12343213      14.948619     0.24163633
            510      11.015197     0.14975767      8.9807628     0.12281758      14.121228     0.20770535
            520      10.110025     0.13569588      8.2400128     0.10988273      12.961293     0.22465267
            530      9.8409472     0.13371966      7.9944763     0.11079868      12.842407      0.2446363
            540      9.1255431     0.14635702      7.4214154     0.12109952      11.684096     0.19205651
            550      8.6304446     0.13200986      7.0260912     0.10894914      11.024575     0.17863118
            560      8.1793688     0.12656884      6.6407059     0.10341469       10.50838     0.18259843
            570      7.5531039     0.12449485      6.1719761     0.10474686      9.5920857     0.17039238
            580      7.5967342     0.12696569      6.1664803     0.10529424      9.7531277     0.16976534
            590      6.9560219     0.12363033      5.6309138    0.099671837      9.0165398     0.19448156
            600      6.6135628     0.13101079      5.3565015     0.10603786       8.447202      0.1722903
            610      6.1309793     0.10549547      4.9691543    0.083681514      7.8783924     0.15222024
            620      5.7622608     0.11696771      4.7105838     0.10026432      7.3239275     0.16466994
            630      5.5380749    0.093991408      4.4705516    0.076949647      7.2108509     0.14068694
            640      5.3492689     0.11623001      4.3364203    0.093898968      6.9084001     0.16966168
            650      4.9746843    0.094488799      4.0066514    0.074759637      6.4311201     0.13394557
            660      4.7109688    0.080074536      3.7856522     0.06450183      6.0804425     0.10856378
            670        4.69288     0.11047081      3.7875397    0.087936981      6.0483381     0.14967667
            680      4.3119132    0.092540038      3.4556544    0.071269787      5.7076242      0.1438049
            690      4.2117602     0.10415989      3.3836239     0.08412996      5.4241713     0.14223814
            700      4.0219721    0.089292438      3.2363932    0.071135032      5.2067034     0.12639831
            710      3.7282596    0.083129944      3.0026848    0.068460634      4.8088699     0.10825319
            720      3.4999073    0.065608678      2.8148893    0.054059014      4.5122178    0.087242864
            730      3.4712346    0.072343524      2.8076545     0.05983244      4.4444906    0.094314119
            740      3.3629291    0.090456373       2.701894     0.07374867      4.3704862     0.12128521
            750      3.1555952    0.075090379      2.5376675    0.059215857      4.0911813     0.11579208
            760      2.8778105    0.080844229      2.3209014    0.061863758      3.7238671     0.12379986
            770      2.8192389     0.06829169       2.270822    0.056384692      3.6354949     0.08799669
            780      2.7603744     0.07434461      2.2108652    0.058493035      3.6004953     0.10544458
            790      2.5715042    0.054618118      2.0650602    0.045311129      3.3251076    0.070207042
            800      2.4145393    0.061968943       1.934979    0.048907554      3.1398313    0.095105408
            810      2.4683859    0.080404221      1.9838547    0.067695698      3.1885899     0.10179312
            820      2.1477985    0.048527495      1.7153552    0.039754161      2.8101636    0.067151266
            830      2.0928577     0.08107805       1.683199    0.066661893      2.7174791     0.10644668
            840      2.1292216    0.073810561      1.7101072    0.060478695      2.7931959     0.11528262
            850      2.0025763    0.053530612      1.6036258    0.045246812      2.5938129    0.067516333
            860      1.8079909    0.053241804      1.4371463    0.041999148       2.368134    0.073539844
            870      1.8689127    0.087377018      1.4893365    0.065969999      2.4795892     0.13743707
            880      1.6764058    0.049193742      1.3387983    0.040917794       2.176623     0.06319227
            890      1.5953772    0.042858137      1.2805304    0.035982543      2.0740024    0.059387445
            900       1.625498    0.052844425      1.2959357    0.043877373      2.1197781    0.068288007
            910       1.545692    0.047963464      1.2358956    0.039455433      2.0077563    0.062060496
            920      1.5401059     0.06793733      1.2277439    0.052295845      2.0109109    0.095147349
            930      1.4582233    0.076483801       1.165678    0.057145643      1.9190619      0.1296201
            940      1.4872756    0.071210653      1.1875018    0.058450899      1.9377874    0.090773085
            950      1.3857372    0.047593765      1.1110304    0.039075149      1.7939146    0.061676093
            960      1.2593041    0.041844393      1.0030573    0.033843513      1.6662797    0.066163209
            970      1.1720875     0.04075035     0.93323166    0.031398583      1.5812142    0.079254014
            980      1.0824895     0.03896715     0.85538953    0.030911775      1.4240502    0.052792686
            990      1.1274144    0.054763111     0.89396993    0.041696051       1.498682     0.11517913
           1000      1.1274144    0.054763111     0.89396993    0.041696051       1.498682     0.11517913
