#  n_b_jets-CMS        central        num_err    min (scale)        num_err    max (scale)        num_err
           -0.5      14390.213      15.282731      11934.708      12.803763      21285.457      49.441068
            0.5      3865.4713      6.9967253      3292.1932      6.2329266      4824.2925      14.765435
            1.5      627.27276       3.154841      540.08058      2.8336872       758.9331      5.5758127
            2.5              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
