#   pt_bb-ptj30        central        num_err    min (scale)        num_err    max (scale)        num_err
            415     0.22668614    0.019133402     0.18554087    0.016038373     0.27777661    0.025636623
            420     0.21740341    0.016340403     0.17643693     0.01370794     0.26952806    0.020443533
            425     0.21657283    0.039946973      0.1826887    0.036807498     0.25406356    0.044590263
            430     0.16397031    0.019409325     0.13468626    0.017376714     0.20075726    0.022404402
            435     0.15131545    0.015397852      0.1243769    0.012172106     0.18444152    0.021258347
            440     0.14351199    0.014355624     0.11720998    0.011447315     0.17633991    0.019357038
            445     0.15683545    0.013354256     0.12656535    0.010756137     0.19559024    0.017360636
            450     0.13984913    0.014971765     0.11671359     0.01361791     0.16749982    0.018254404
            455     0.14050685    0.012751642     0.11403132     0.01024578     0.17387461     0.01691232
            460     0.12569522     0.01326573     0.10115119    0.010287539     0.15709137    0.018469501
            465     0.12911894    0.013053824     0.10332317    0.010326279     0.16298459    0.017746006
            470     0.12617319    0.030559931     0.10600976    0.028472945      0.1510428    0.033121525
            475     0.16609736    0.039028565     0.13945398    0.035668213     0.19958366     0.04374123
            480     0.11534695    0.016956841    0.095882559    0.015019283     0.14068736    0.019988122
            485    0.098270669    0.014629201    0.082594685    0.013074639     0.11599395    0.016898979
            490     0.08087252    0.010879347    0.067730784   0.0093137481    0.095831437    0.014076819
            495    0.080483327     0.01048152    0.066056063   0.0087753702    0.097768854    0.014063567
            500    0.070990079    0.009644075    0.057991445   0.0074791327    0.086950196    0.013287268
            505    0.094979685    0.011732163    0.075992374   0.0096081344     0.11976356    0.015187169
            510    0.058445354   0.0096609946    0.049468327    0.008051031    0.068223701    0.012032796
            515    0.083976024    0.024571049      0.0728926    0.020310676    0.095623565    0.032438759
            520    0.066887775    0.008737926    0.053600821   0.0066449532    0.083880019    0.012218163
            525    0.082483937    0.015619365    0.067426693    0.012513635     0.10178998    0.020678701
            530    0.053285905   0.0071053297    0.041734783    0.005526449    0.068501417   0.0095696394
            535     0.10056718    0.032435785    0.077305099    0.022739751     0.13505445    0.049415322
            540    0.055875393    0.012009372    0.046621661   0.0093018473    0.066433405     0.01644618
            545    0.071966653    0.011752626    0.061043811    0.010559861    0.084073839    0.013968239
            550    0.044517913    0.006918612    0.035787687   0.0052903608    0.055518045   0.0096175779
            555    0.033453051   0.0064222998    0.026332264   0.0046306516    0.042769965   0.0094729583
            560    0.054982007   0.0093622341    0.045162754    0.007825117    0.067193129    0.011952842
            565    0.060235019   0.0087875346    0.050056642   0.0074159494    0.071897594    0.011124331
            570    0.079289665    0.041570891    0.057980139    0.028314861     0.11109283    0.062841367
            575    0.067839153    0.025211212    0.057760334    0.022939541    0.079571949     0.02722676
            580    0.036587913   0.0099759118    0.033062795   0.0086564303    0.038173858    0.011899284
            585    0.049054094    0.011603999    0.042024528    0.010800342     0.05669626    0.012407506
            590    0.032861949     0.00608398    0.026472913   0.0046352557    0.040693681   0.0087426943
            595    0.030652244   0.0060240519    0.026867108   0.0048079158    0.032992264    0.008197621
            600    0.027446634   0.0057941774    0.022638681   0.0045044713    0.032861319   0.0077729941
            605    0.032374665   0.0069608222    0.028850157    0.011540457    0.032817913   0.0069888331
            610    0.031267638   0.0070392141     0.02591437   0.0060530837     0.03789435   0.0089927141
            615    0.025541181   0.0053518763     0.02172439   0.0041171869    0.028861181    0.007490056
            620    0.024567106   0.0051038112    0.019379252   0.0038949297    0.031296378   0.0072227036
            625    0.017671339   0.0047004533    0.015253122   0.0035054826    0.019620591    0.006851795
            630    0.027833405   0.0084224063    0.021617658   0.0069820373    0.036929606    0.010914409
            635    0.022449075   0.0065826363    0.018394055   0.0058157791    0.027751437   0.0076748404
            640    0.024219764   0.0051659426    0.019887441   0.0041157932    0.029106658   0.0068341993
            645    0.019912775   0.0051974725    0.017317343   0.0038441147    0.021605847   0.0080047522
            650     0.03332276    0.010751046    0.029190246    0.010213953    0.038103917    0.011595609
            655    0.020430413   0.0048225057     0.01571685   0.0035418748    0.027015906   0.0068831815
