#         pt_ep        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       119.8016     0.77981905      99.211956      0.6989438      178.43728      2.0741041
              5      362.59555      1.4350064      300.58867      1.2496956      533.67918      3.7424907
             10      627.40882      1.9016655       520.8715      1.6703448      920.95761      4.8397812
             15      925.36951      2.3542142      769.27797      2.0509424       1353.375      5.8220209
             20      1238.5484      2.6028762      1030.6247      2.2619759      1811.2815      6.7525256
             25      1541.9466      2.7510997      1282.0666       2.358634      2283.3129      7.5602896
             30      1769.8218      2.7539643       1469.072      2.3205784      2689.1629      8.4090287
             35      1755.4957      2.6423755      1453.4303      2.2030882       2723.132      8.7184556
             40      1362.2052      2.2228235       1131.316       1.891153      2042.9323      7.0233648
             45      895.22239      1.6092428      746.95077      1.3846835      1236.6103      4.5198369
             50      595.35064      1.2410827      497.17126      1.0725902      785.70469      3.0571538
             55      411.75519      1.0141958      343.73001     0.88844869      530.30024      2.3220088
             60      295.63781     0.81296712       246.3714     0.70399764      372.48621      1.6257046
             65      220.23388     0.70750342      183.39752     0.62875296       275.4285      1.2956731
             70      167.69318     0.55429642      139.35184     0.47847072       208.8949     0.98309457
             75      130.73126      0.4877444      108.45667     0.42329017      162.19591     0.91378151
             80      103.21045     0.42277116      85.654504     0.36971602      127.73184     0.71273973
             85      83.339657     0.36682958      69.122628     0.31396366      102.62428     0.57811829
             90      67.403227     0.37016197      55.859282     0.32453449      83.122579     0.51702535
             95        55.0734     0.29287545      45.592336     0.25156866      67.960549     0.41925531
            100      45.627203     0.27099795      37.738585     0.23640621      56.376584     0.37915302
            105      37.973516     0.26556494      31.371095     0.23327289      47.043726     0.45201475
            110      31.733226     0.21122518      26.106197     0.18041535        39.4428     0.31481889
            115      26.660226     0.19586133      21.978318     0.17734797      32.917656     0.26316193
            120       22.95254     0.19042788      18.867806      0.1642218      28.373073     0.24125255
            125      19.789227     0.18232791      16.277602     0.16264433       24.48709     0.22582885
            130      16.528797     0.14952616      13.536796     0.12777445      20.500514     0.19614285
            135      14.555125     0.15057881       11.99016     0.13278989      17.980764     0.19065519
            140      12.478243     0.12846893      10.235346     0.11090157      15.442167     0.16137445
            145      10.898234     0.13362499      8.8968425     0.11069796       13.60819     0.17836759
            150      9.5924899     0.11074038      7.8174717    0.093099572      11.938305     0.14252529
            155      8.3643548      0.1145084      6.8135209    0.098015926      10.457028     0.14577877
            160      7.3031679     0.11484375      5.9605336    0.099001383      9.0961631     0.14591155
            165      6.2181458    0.089617255      5.0640023    0.075233806      7.7900732     0.12029282
            170      5.6790935    0.092680199      4.6330367    0.078485593      7.0475663     0.11767112
            175       4.944216    0.080629862      4.0383232    0.067949278      6.1418525     0.10223643
            180      4.4412265     0.12351175      3.6390793     0.11257478       5.459072     0.14808661
            185      4.0604609    0.076916023      3.3537799    0.071585489      4.9548612      0.1042981
            190      3.6035832    0.077948055      2.9633452    0.067577216      4.4389022     0.10490262
            195      3.2066117    0.063776748      2.6070188    0.053395396       3.999628    0.080292192
            200      2.8911126    0.060801536      2.3515596    0.051040267      3.6133082    0.078036121
            205      2.5384014    0.072496703      2.0683478    0.063040824      3.1573854    0.087393732
            210      2.2914184    0.062774898      1.8656697    0.055788454      2.8841445      0.1328448
            215      2.0345425    0.051521885      1.6561812    0.041710753      2.5296485     0.06877065
            220       1.896719     0.05594044      1.5348917    0.047981011      2.3877338    0.070627329
            225      1.6387891    0.044907645      1.3315296    0.038756022      2.0440355     0.05673532
            230      1.5901644    0.045551707      1.2832499     0.03808123      2.0082879    0.059851781
            235      1.3917982    0.040862651      1.1271011    0.034312852      1.7408259    0.051566067
            240      1.2871111     0.04055526      1.0369894    0.033210412      1.6208849    0.052389937
            245      1.2031033    0.041228681     0.97717839    0.035073802      1.5026919    0.052124466
            250       1.022003    0.038472709     0.82891694    0.032101128      1.2753239    0.049055715
            255      1.0053249    0.051864908     0.82975934    0.048948134      1.2298535    0.058696636
            260     0.92194502    0.034767568     0.74709982    0.029480386      1.1517279    0.045728557
            265     0.82271311      0.0322148     0.66713982    0.026818181      1.0264584      0.0414361
            270     0.80039464    0.036088829     0.64572868    0.029381552      1.0086401    0.047220503
            275     0.67474468    0.031352862     0.54148105    0.024644317     0.85214222    0.043112077
            280     0.68084547    0.029554926     0.55317079    0.025301485     0.84596188    0.036517993
            285     0.60171362    0.036587946      0.4889781    0.033045846     0.75188676    0.043064397
            290     0.53228457    0.045656358     0.43236572    0.037695901     0.66038185    0.055603165
            295      0.4994944    0.047619545     0.39494552    0.034283749     0.64392346    0.069502166
            300     0.43350435    0.023088097     0.34664815    0.018895986     0.55103213    0.030068919
            305     0.38620055    0.020163188     0.30646994    0.016078915     0.49498582    0.026847841
