#    pt_j2-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2856.6962      9.9342185      2327.2012      8.2020228      6697.1092      48.215802
              1      4486.3563      12.239195      3691.5223      10.207179      8961.7483      42.741187
              2      4381.8457        11.4283        3682.85       9.809044      6101.7789      18.522098
              3      3931.0568      9.9243115      3327.8022      8.6363278      5002.5593       13.25877
              4      3484.5693       9.175025      2955.4798      8.0362075      4309.9611        11.7361
              5      3033.3663      8.0658295      2571.9481      7.1103387      3703.6285      9.9214216
              6      2654.3847       7.280598      2249.3611      6.4498863      3215.8572      8.6504416
              7      2349.0733      6.9206242       1986.223      6.1180865      2838.4054      8.1283998
              8      2072.8217      6.3110981      1748.9463      5.5412346      2503.7443      7.4994474
              9      1840.2649      5.5946593      1549.8088      4.9618863      2224.2952      6.6173129
             10      1633.6758      5.2081321      1371.8504      4.5887171      1977.9014      6.0984693
             11      1460.5285      5.0304123      1224.7668      4.4809226      1769.0356      5.7404715
             12      1311.4154      4.5442286      1097.4627      4.0212345      1592.1006      5.2771403
             13      1183.2424      4.3490857      988.23784      3.8119777      1438.7468      5.1435432
             14      1064.9107      3.7730112      886.60811      3.3000422      1299.8632      4.4461648
             15      971.06495      3.8173582      808.01673      3.3784159      1184.4546      4.4182439
             16      884.67808      3.8212343      735.30898       3.398559      1080.6199      4.3819911
             17       809.6671      3.7580289      672.01798      3.2977564      990.39283      4.4203524
             18      735.70739      3.3026082       608.8069       2.915641      903.09869      3.8079407
             19      673.50412      2.9589933      556.45554      2.6013349      827.89874       3.460848
             20       617.7581      2.7112511      509.48273      2.3677802      760.94615      3.1903269
             21      568.85513      2.5817057      468.42898      2.1996611      702.64139      3.2053101
             22      526.58608      2.4343327      433.04321      2.1334199       650.7656      2.8570628
             23      487.81206      2.4862874        400.936      2.1431064      603.03075      2.9699954
             24      449.36553      2.3209649      368.97262      1.9842652      556.06766      2.8378138
             25       420.2486       2.352753      344.09154      2.0376624      522.18675      2.8354341
             26      387.76511      2.3559555      317.28068      2.0544653      481.96268      2.7695161
             27      362.02112      2.0428736      295.82302      1.7594249      450.60114      2.4351102
             28      333.78584      1.8244229      272.57254      1.5433433      415.68137      2.2425111
             29      310.16666      1.7242861      253.01112      1.4768165       386.8485      2.0807799
             30      292.22431      1.5273281      237.90061      1.2998103      365.33664      1.8645871
             31      272.46552      1.5668425      221.90828      1.3567459      340.46315       1.886711
             32      259.78001      1.7194535       211.2818      1.4635462       325.1304      2.0855032
             33      240.52302      1.4574508      195.45053       1.255132       301.2324      1.7593245
             34       224.1608      1.3443621      181.86275      1.1214799      281.67578      1.7223605
             35      211.79713      1.2566451      171.56272      1.0539222      266.31018      1.5666231
             36      199.97122      1.4413395      161.65229      1.1655877       252.3621      1.8778844
             37      189.96962      1.2577328      153.42926      1.0566739      239.79037      1.5508549
             38      176.64466      1.2209713      142.92575       1.022503      222.50878      1.5169793
             39      167.49716      1.1193114      135.20046     0.96320925      211.58962      1.3523163
             40      159.11284      1.2557212      128.33821      1.0618486      201.22534      1.5331543
             41      150.84565      1.0717079       121.7133     0.89927912       190.5847      1.3291772
             42      141.62918     0.98760631      114.29842     0.82913843      178.88181      1.2326069
             43      134.26842     0.98268893      107.87197     0.81285088      170.54409      1.2344401
             44      126.30263     0.93142966      101.59169     0.76919082      160.10545      1.1791012
             45      121.52397     0.95008973      97.610937     0.79743115      154.28877      1.1762344
             46      114.96494      1.0054668      92.460307     0.84222383      145.72834      1.2405414
             47      109.87079      1.0387617      88.199469     0.83408775      139.55184      1.3741586
             48      102.42592     0.82191996      82.148398     0.67546748      130.58771      1.1451685
             49      99.887474     0.84071548       80.14168      0.7019449      126.84343      1.0627654
             50      99.887474     0.84071548       80.14168      0.7019449      126.84343      1.0627654
