#pt_bb-mbbZ1000        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       995.8602      2.3178637       804.2943      1.8388678      1689.2293      7.7162963
              5      2093.2732      3.0439575      1706.2303      2.5418911      3397.4683      10.150469
             10      2081.3517      2.9989532      1712.0498      2.5534613      3188.6475      9.1624697
             15      1697.4715      2.6741227      1406.3307      2.3074678       2501.115       7.590877
             20      1308.2129      2.3979436      1091.6641      2.0958596      1835.7773      6.0584013
             25      990.58113      1.9965112      830.38925       1.750199      1355.7227      4.9061296
             30      748.34604      1.6804052      629.87288      1.4850289      999.18399      3.8920265
             35      573.27226      1.4240585      484.12931       1.255698      748.27788      3.2025702
             40       447.6735      1.3037157      379.31148      1.1626895      574.59023       2.678424
             45      350.50501      1.0827552      297.39621     0.96903199       444.2455      2.1326494
             50      277.82172     0.95277298      236.00895     0.85149976      349.60845      1.9344059
             55      223.07454     0.85895855      189.84238     0.77224228      276.91826      1.5902409
             60      178.84288     0.70360192      152.35971     0.62980675      218.46172      1.2962993
             65       147.1587     0.67539616      125.37987     0.60714414      179.00619      1.1656751
             70      121.55192     0.64892596      103.73264     0.60108375       148.3769      1.0100065
             75      102.62065     0.56914928      87.706598     0.52526136      122.69139      0.9222796
             80      85.206785      0.5003721      72.729232      0.4550688      103.23169     0.87261056
             85      71.919383     0.43615456      61.497547     0.39883858      87.188825     0.75290478
             90      60.821171     0.37804834      52.023326     0.33807306      72.639083     0.61253982
             95      51.465129     0.33151146      43.862004     0.29514189      62.067759     0.54541184
            100      44.065001     0.33129348      37.528658     0.30036953      52.859391     0.56875867
            105      38.257037      0.2846463       32.44639     0.25609819      45.898007     0.34651782
            110      33.334655     0.25735239      28.299086     0.23121779      40.024869     0.42503269
            115      29.467915     0.32876939      25.084145     0.32459397      35.222118     0.35204426
            120      25.333895     0.22671999      21.514993     0.20362132      30.265173      0.2909252
            125       22.13857     0.23160914       18.80512     0.21006625      26.360109      0.2867745
            130      19.536084     0.18664968      16.473738     0.16515118      23.510428     0.22559588
            135      17.314698     0.18243346      14.616128     0.16217269      20.829406     0.22196742
            140      15.122246     0.17077679      12.720007       0.152046      18.207442     0.20735986
            145      13.485414     0.16126589      11.376678     0.14193291      16.219946     0.20782365
            150      11.750271     0.14874928      9.9586348      0.1332613      14.002535     0.18403699
            155      10.770772     0.14085375      9.0734676     0.12449607      12.967719     0.17205698
            160        9.43682     0.13321256      7.9612246     0.11792808      11.350121     0.18178256
            165      8.4969714     0.13403393      7.1466969     0.11888481      10.193117     0.18153486
            170      7.8352432     0.11293839      6.5631638     0.09893646      9.5237076     0.15060785
            175      7.0101224     0.10724969      5.9009496    0.097105579      8.4085231     0.13773111
            180      6.2158264     0.10218408      5.2002362    0.089777218      7.5130873     0.12472639
            185      5.6051189     0.12316333      4.7118618     0.10984517      6.7238808     0.14437512
            190      5.1725844    0.099491919      4.3627159    0.086588342      6.1810374      0.1236073
            195      4.7299072    0.089472522      3.9535361    0.078282719      5.7053747     0.10910849
            200      4.2466504     0.08893897      3.5469176    0.076208706      5.1496085     0.11108835
