#   y_j1-ptj200        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5              0              0              0              0              0              0
           -4.9              0              0              0              0              0              0
           -4.8              0              0              0              0              0              0
           -4.7              0              0              0              0              0              0
           -4.6              0              0              0              0              0              0
           -4.5              0              0              0              0              0              0
           -4.4              0              0              0              0              0              0
           -4.3              0              0              0              0              0              0
           -4.2              0              0              0              0              0              0
           -4.1              0              0              0              0              0              0
             -4              0              0              0              0              0              0
           -3.9     0.03828248    0.038280567    0.023382874    0.023381705    0.065377957    0.065374687
           -3.8     0.27436122     0.11700952     0.22208858    0.087374178     0.33365649     0.16728225
           -3.7     0.61731201      0.3437383      0.5196506     0.29667401     0.72924114      0.4001634
           -3.6     0.58787303     0.17974913     0.45365944     0.13447807     0.77286024     0.25166141
           -3.5      1.6015423     0.27465192      1.3070364     0.22077958      1.9702697     0.36807387
           -3.4      2.3692392      0.3218823      1.8256437     0.25390163      3.1325669      0.4357906
           -3.3      3.9068779     0.41208116      2.9756004     0.31847414       5.259503     0.57867625
           -3.2      5.8862362     0.53035449      4.7303187     0.45488472      7.3244321      1.0039957
           -3.1      8.8599915     0.62912751      6.7470038     0.47156208      11.920644     0.89361238
             -3      14.233092     0.82603807      10.867832     0.64261512      19.106634      1.1876377
           -2.9      17.742251     0.90332656      13.603793     0.68800224      23.634565      1.2525461
           -2.8      24.619524      2.2243381      18.797735      1.4511678       33.09135      3.6336058
           -2.7      30.951792      1.2102408      23.808168     0.92528025      41.215327      1.6916252
           -2.6      38.263258      1.3504515      29.395405       1.024854      50.973826      1.9097871
           -2.5      42.800918      1.3897479      32.892882      1.0647908       56.88276      2.0026255
           -2.4      51.865641      1.5750405       40.19714      1.2189188      68.234971      2.1804274
           -2.3      62.382925      1.9475292      48.275503      1.5759506       82.26624      2.5723128
           -2.2      72.316357      1.8766772      56.029181      1.4382393      95.185394      2.6292377
           -2.1      77.703399      2.0689544      60.423086      1.5421911      101.98205      3.0566609
             -2      95.548141      2.5028964      74.014916      1.9978559      125.87412      3.2948759
           -1.9      99.341828      2.2734912      76.603194      1.7630551      131.69974       3.113953
           -1.8      111.49842      2.5973135      85.810217       1.981908      148.13812      3.6306622
           -1.7      120.85276      3.8768282      93.386222      2.7457161      159.73001      5.7789986
           -1.6      125.67427      3.4673063      97.292226      2.8082704      165.82691      4.4671693
           -1.5      128.37226      2.5234448      99.504731      1.9729407      169.10013      3.4532144
           -1.4      144.86904      3.2826235      111.89695      2.7139972      191.66411      4.2253067
           -1.3      140.88136      2.6884915      109.04737      2.0373412      185.88465      3.8014554
           -1.2      146.79807      2.7043495      113.38052      2.0641612      194.07871      3.8209488
           -1.1      155.36269      3.1288511      119.35774      2.4400937      207.00216       4.250752
             -1      158.75038      3.1924971      122.74552      2.3898961      209.74806      4.5943605
           -0.9      162.51981      2.8622946      125.08181      2.1517913      215.89715      4.0593685
           -0.8      165.37021      3.1467164      127.92641       2.435071      218.28124      4.3760947
           -0.7       171.6289      3.2770902      132.13496      2.4951539       227.9505      4.6456389
           -0.6      172.09386      2.8753203      132.63993      2.1799059      228.10139      4.0800631
           -0.5      170.93492      2.8655915      131.47433      2.1805133      227.23807      4.0450011
           -0.4      184.27334      4.2015362      141.48768      3.3408277      245.46361      5.4806881
           -0.3      185.06629      3.9965858       142.6616      2.9474177      245.21212      5.7761274
           -0.2      180.01364      3.2089044       138.5596      2.4071424      239.02527      4.5570015
           -0.1       178.8123      2.9533845      137.35385      2.2516876      238.10287      4.1343696
              0      177.32831      3.0285938      136.71054      2.2993476      234.99459      4.2592113
            0.1      177.37869      3.0874362      136.86287      2.4022933      234.84661      4.3199969
            0.2      185.01905      3.2427425      142.80055      2.4424521      244.69432      4.5980511
            0.3      172.02245      2.9478028      132.64517      2.2509782      227.90912      4.2467126
            0.4      180.53499      3.1309704      140.05416      2.5551793      237.35309      4.9476097
            0.5      173.81505       2.893857      134.32194      2.2138443      229.66278      4.0917601
            0.6      170.97151      3.0999286      131.52965      2.3316137       227.3111       4.402453
            0.7      169.07205      2.8645077      131.11792      2.1905273      222.35795      4.0779783
            0.8      161.98854      3.2849846      125.66255      2.6106364      213.12827      4.4361713
            0.9      158.28995      2.7938549      122.81479      2.1835216      208.15034       3.850993
