#    m_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
            100      846.08645       1.967861      695.34574       1.671028      1395.6443      6.8496524
            105      861.83042      2.0002686      711.79673      1.7142697       1366.272      6.5764809
            110      810.37156      1.8948345      671.50378      1.6293603      1260.4663      6.0543628
            115      738.75251      1.8259155      614.28675      1.5819875      1113.6062      5.5650803
            120      661.17792      1.6928449      550.89257      1.4683854      981.69028      5.0348994
            125      590.55893      1.5734532      492.56874       1.365677      863.49932      4.4861121
            130      524.15449      1.4882864      437.91118      1.2930452      759.09682      4.2102328
            135      468.92749      1.3552237      392.29098      1.1886407      675.47839      3.7594696
            140       420.9461      1.2973435      352.29744      1.1317586      595.13941      3.4490356
            145      378.82996      1.2351187      317.08284      1.0773331      532.08251      3.2592768
            150      342.71441      1.1321856      286.94356     0.98744421       480.9424      2.9874605
            155      311.33641       1.103525      260.66503     0.96623989      428.11635      2.6896173
            160      283.24518      1.0619857      237.26938     0.92765201      388.14045      2.5575303
            165      258.49518     0.98938584       216.4538     0.86310708      354.08572      2.4378203
            170      238.58941     0.93965553      199.85384     0.82210458      316.47534      2.1733488
            175      219.26888     0.90385387       183.6063     0.78673872       295.8672         2.1163
            180      202.31713     0.90058106      169.47965      0.7879715      271.46819       1.984363
            185      187.28022     0.83444553      156.75652     0.72478705      250.84425      1.8604499
            190       174.2257     0.77691694      145.72571      0.6749869      232.55897      1.7516634
            195      160.83887     0.76063966      134.38291      0.6668632      212.99006      1.6860453
            200        150.484     0.72782892      125.82491     0.62500251      199.09773      1.5497509
            205      142.54514     0.76023338        119.174     0.65984362      186.74621      1.5352001
            210      132.83493     0.69978905      110.85424     0.60522168      175.24672      1.4336732
            215      123.82909     0.67681099      103.34989     0.58350142      163.27305      1.4081056
            220      116.77841     0.64373876      97.355752     0.55553191      153.22994      1.2888277
            225      109.61653     0.64368574      91.536695      0.5611599       143.2409      1.2561305
            230       103.5359     0.65771171      86.369196     0.56506151      137.12846      1.3334096
            235      98.403779     0.62314992      81.992036     0.53670112      128.76183      1.1853593
            240       92.95084      0.5831357      77.433262     0.49612114      121.61553      1.1031523
            245      87.352463     0.62407638      72.706077     0.53417097      114.78418      1.1587243
            250      87.352463     0.62407638      72.706077     0.53417097      114.78418      1.1587243
