#          y_em        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      246.39959      8.6601106      200.71512      7.3317718      379.75501      24.151841
           -4.9       327.1837      11.034299      267.16468       9.526209      467.35001      23.945995
           -4.8       391.7993      9.0027247      319.91842      7.5610693      552.78341      22.150401
           -4.7      498.83232      14.689859      408.72355      12.780384        774.368      31.110369
           -4.6      608.15807      13.750234      498.22306      11.896571      850.29244       27.12511
           -4.5      754.81424      16.634391      617.10108      14.027342      1136.3166      36.184281
           -4.4      901.89076      14.929503      735.00733      12.398501      1329.8786      41.636404
           -4.3      1112.3812      19.004813      912.10016      16.583693      1629.3823      45.040686
           -4.2      1337.8925      17.020708      1089.0644      14.000622      2036.0055      54.869419
           -4.1      1614.6731      18.984216      1321.7501      16.099137      2449.4747       58.60037
             -4      1924.0645      22.422632       1578.419      18.880875        2841.93      56.960883
           -3.9      2246.7416      23.502766      1840.8803      19.997982      3489.9974      66.864011
           -3.8       2600.107      22.994237      2132.3255       19.28467      3960.2302      67.389286
           -3.7      3014.1027       27.37378      2475.2595      23.319322      4611.1709      79.287146
           -3.6      3419.0694      26.608518       2810.174      22.536433      5070.1527      80.210639
           -3.5      3905.1188       26.67937       3209.286       22.56775      5942.2769      81.781224
           -3.4      4399.5754      32.591562       3623.683      27.525708      6581.0984         87.748
           -3.3      4818.9478       30.17617       3969.259      25.323029      7087.1056      89.585007
           -3.2      5327.1984      32.627891      4395.0616      27.959789       7841.861       91.38177
           -3.1      5804.2787      32.952108      4788.5767        27.9507      8668.7728      104.19143
             -3      6259.8761      35.153849      5168.9301      29.724561      9339.4685      100.25463
           -2.9      6708.4619      35.557081      5535.5269       29.79558      10022.761      108.17938
           -2.8      7185.6823      39.016471      5946.5044      33.260257      10585.835      112.87638
           -2.7      7557.0853      37.611547      6248.1501      31.801654      11216.086        114.952
           -2.6      7949.6253      37.736081      6582.5542         31.783       11688.68      117.05996
           -2.5      8321.5008      41.078567      6895.5912      35.097262      12102.271      115.43815
           -2.4      8532.2774      40.606187      7076.9042      34.414775      12324.849      120.26063
           -2.3      8913.5368       41.90662      7396.4066      36.297205      13209.863       123.1763
           -2.2      9013.3034       40.62036      7484.0598      34.613599      12837.786      113.11897
           -2.1      9343.8672      42.211399       7764.267      35.799399       13485.58      121.83319
             -2      9529.9134         44.911       7922.301      38.501209      13815.873      123.18166
           -1.9      9669.8109      44.410603      8040.5932      38.141618      14027.443      124.33534
           -1.8      9728.7922      44.434088      8088.2796      38.085497      14157.731      124.59739
           -1.7      9900.4468      45.464091      8248.5883      38.992424      14228.362      124.79872
           -1.6      10007.558      46.950247      8337.7121      40.110555      14530.869      126.14116
           -1.5      10027.682      45.170492      8359.8258      38.650575       14348.53      122.90412
           -1.4      10038.741      45.419004      8373.8745       39.15579      14133.771        123.403
           -1.3      10005.051      44.827477      8339.7964      38.555569      14350.373       125.9071
           -1.2      10129.826      47.298074      8454.7582      41.098586      14252.524      119.30268
           -1.1      10160.067      46.619188      8472.6957      39.969894      14588.186      123.46379
             -1       10102.88      44.982209      8425.3817      38.923855      14442.715      124.16605
           -0.9      10140.259      47.476505      8463.8838      40.877456      14279.287      122.13697
           -0.8      10142.694      47.832195      8469.6338      41.697055      14360.212      121.22469
           -0.7      10057.342      46.467816      8397.5756      40.458004      14360.315      124.50535
           -0.6      10132.965       47.62302      8459.0664       41.42184      14471.497      121.21387
           -0.5      10167.667      48.359468      8495.3936      41.960913      14399.507      124.76932
           -0.4      10104.414      46.676722      8446.1186      40.664576      14250.252      122.60879
           -0.3      10171.801      49.191096      8502.2776      42.402238      14352.522      118.58264
           -0.2      10119.091      45.474206      8455.7838      39.266838      14517.042      126.96076
           -0.1      10121.854      47.791755      8458.6639      41.681395      14355.256      125.95037
              0      10038.358      46.495643      8383.2495       40.31014      14155.187      122.21167
            0.1      10033.407      46.667723      8384.2862      40.080484      14147.806      122.40273
            0.2      10116.286      48.195349      8452.7484       41.81758      14298.099      125.57472
            0.3      10048.592      42.796636      8390.9531      36.705812      14358.834      125.60164
            0.4      10068.961       44.32661      8415.8618      38.095303      14230.441      127.95145
            0.5       10102.24      46.478622      8445.9782       39.86724      14362.312      126.66213
            0.6      10168.408      48.444232       8494.124      41.796739      14518.257      130.53183
            0.7      10137.587       46.07769      8462.4974      39.661592      14458.514      123.84301
            0.8      10146.443      48.427459      8471.2745      42.059197      14431.273      124.85324
            0.9       10182.69      48.994556      8509.6021      42.725726      14535.174      128.13435
              1      10173.872      46.341488      8495.1482      39.992599       14534.92       127.0144
            1.1      10139.461      46.907636      8456.1128      40.199463      14793.505      130.50063
            1.2      10058.614       45.74562       8399.209      39.585657      14196.171      123.37557
            1.3      10048.964      46.248018      8369.7903       39.80342      14547.097      125.57817
            1.4      10019.418      46.682548      8348.5643      40.182219      14492.525      126.06949
            1.5      9963.7753      45.434331      8297.1889      39.135879      14336.077      121.71592
            1.6      9875.2503      42.756691      8216.6641      36.987447      14281.701      121.90337
            1.7      9799.5658      45.296859      8156.7958      39.288773      14021.243      125.65305
            1.8      9665.3878       44.79438       8035.231      38.361283      13896.316      124.05525
            1.9      9408.9452      42.191409       7825.495      36.023937      13489.735      120.28606
              2      9355.9373      41.980048      7770.3613      35.498576      13362.201       118.7316
            2.1      9040.2671      40.135305      7503.7571      34.265551      13149.528       119.7317
            2.2      8869.6997      43.788643      7358.7143      37.502843      13076.125      123.30957
            2.3      8568.8758      41.461686      7101.9846      34.863743      12435.573      120.81674
            2.4       8213.743      40.280578      6798.4825      33.961906      12078.959      116.33595
            2.5      7874.4696      37.281852      6512.9209      31.539043      11713.886      115.28209
            2.6      7573.9782      40.408227      6272.4061      34.607478      11143.938      112.91237
            2.7       7173.183      38.544407      5931.4006       32.99764      10638.112      114.67442
            2.8      6712.1042      36.254646      5543.6509      30.781425      10077.641      108.06238
            2.9      6310.8624      35.681958        5214.92      30.283715      9322.9046      103.65204
              3       5763.184      33.358867      4759.8193      28.227933      8463.1718       94.68109
            3.1      5420.4705      35.516333      4463.0851      30.100935      8185.6916      102.37088
            3.2      4886.7041      32.123892       4026.162      27.561557      7342.1681      94.252722
            3.3      4356.2929      29.598795      3580.5618      25.137397       6464.413      89.336637
            3.4      3915.5264      27.826504      3217.3076      23.563676      5954.1643      86.082143
            3.5      3408.1456      26.025367      2798.8766      21.946057      5091.6565      76.975279
            3.6      2995.0261      22.983514      2453.6791      19.210369      4480.6494      75.470202
            3.7      2610.5202      23.115371      2139.4965      19.323109      3909.9318      69.137381
            3.8      2259.3091      22.398154       1849.505      19.013162      3349.7718      64.078232
            3.9       1908.851      20.328036      1562.2277      17.074965      2908.4757      64.094249
              4      1610.9895      22.409867      1324.2721      19.507532      2382.9852      55.116281
            4.1      1346.4448      17.566367      1098.5086      14.755986      2015.4013      49.015847
            4.2      1127.5266      18.507108      921.80737      15.767128      1674.4592      45.979191
            4.3      891.37703      13.896889      728.03453      11.572035      1347.6595      37.236142
            4.4      728.81683       12.55996      594.16766      10.418407      1076.8229      38.040508
            4.5      592.68349      12.011512      483.75119      10.001531      903.91863      39.254821
            4.6       497.2091      12.764868      405.21097       10.86996      743.10877      30.644256
            4.7      412.89541      12.032332      338.21553      10.241798      574.67174      26.400449
