#    pt_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      221.64404      3.0707703      177.21085      2.1762527      388.40748      9.5714005
              1      650.44411      4.6471155      522.83781      3.5099876      1107.2968      14.753689
              2      1047.4137      5.2768728      844.77968      4.1458219      1780.8941      17.538887
              3      1391.6165       5.943585      1125.4345      4.7927797      2354.6439      20.385941
              4      1675.1545      6.4858991      1357.0436      5.3473846      2824.6506      21.496798
              5      1906.9916       6.798395      1547.9373      5.6128628        3200.38      22.814365
              6       2045.833      6.8934571      1664.8598      5.7302094       3384.552      23.154266
              7      2137.7778      7.0316131      1742.7592      5.8577185      3453.0332      23.008724
              8      2189.4335      7.0958103      1787.7818      5.9694439      3486.5173      22.829227
              9      2206.5195      6.9255023      1804.6369      5.8052835      3489.0538      22.222265
             10      2198.7477      7.0523921      1801.8981      5.9611257      3461.9642      22.116682
             11      2148.9806      6.9642127      1766.0496      5.8924941      3299.7307      20.998317
             12      2096.4136      6.7157116      1724.4518      5.7043851      3209.9939      20.780932
             13      2040.7364      7.0604407      1682.4214       6.055501      3074.2627      19.961607
             14      1943.8234      6.3706319       1603.902      5.4377866      2925.0084      18.950576
             15      1872.5921      6.4010723      1547.9644      5.5143858      2798.3893      18.680411
             16      1780.8496      6.1911205      1472.9948      5.3060436      2640.7955      17.477608
             17      1704.4398      6.0550101      1412.0107      5.2221574      2514.3989      17.034335
             18      1614.3409      5.9480858      1339.3509      5.1452667       2377.311      16.500836
             19       1536.041      5.7788644      1276.9914      4.9881868      2202.1981      15.409533
             20      1451.3441      5.4575743      1207.9609      4.7407056       2070.359      14.834501
             21       1377.703      5.6354349      1148.3499      4.9004692      1951.8476       14.36832
             22      1311.9721       5.613199      1095.3264      4.9061424      1835.4083      13.551431
             23      1242.5364      5.2330672      1038.3019      4.5770691      1721.7585      13.083083
             24      1177.8063      5.2186453      985.46058       4.581071      1625.0754      12.001013
             25      1110.0665      4.9090117      929.02795      4.3079485      1537.9814      12.060794
             26      1045.3562      4.6017268      875.27227      3.9948646      1436.8089      11.323388
             27      991.49457       4.377448      831.60924      3.8368916       1357.127      11.046248
             28      942.87887      4.4437135      791.15001      3.9089441      1283.5395      10.574317
             29      881.68186      4.2321721      740.46255      3.7091156      1186.3624      9.9339241
             30      835.52105      3.9581379      702.57969      3.4761203      1107.3438      9.1528139
             31      785.37299      3.6407961      660.34092       3.165149      1061.3595      9.1358696
             32      753.06669      4.0123366      633.75186      3.5842569      1015.3171      9.2604546
             33      709.34283      3.7024333      597.36906      3.2705832      944.44007       7.807207
             34      674.04611      3.6290405      568.35139      3.2256911      887.06784       8.188438
             35      637.06403      3.5151924      536.83635      3.0854184      849.06519      7.9775741
             36      609.63626      3.3730218       514.7503      2.9683702      790.48633      7.4227718
             37      573.33546      3.2530049      484.55858      2.8850505       746.7786       7.050563
             38      547.23717      2.9770916      462.71128      2.6228589      712.80552      7.0346967
             39      513.23627      2.8832653      433.62148      2.5385477       659.8353      6.3104543
             40      499.65293         3.4154      423.33605      3.0338386      646.05542      6.6613486
             41      468.49552      2.9141818      396.84757      2.5820315      600.15712       6.392862
             42      444.31704      2.8196959       376.1531      2.5546264      569.48343      5.6075541
             43      429.54059      2.7644675      363.94357      2.4392826       549.2824      5.8891086
             44      408.98492      2.7719438      346.83609      2.4719075      523.56033      5.4285204
             45       387.7036      2.4948083      328.60447      2.2305325      493.09017      4.8032783
             46      370.47403       2.565188      314.61132      2.3149476      473.93822      5.1976255
             47        348.389      2.4790705      295.17812      2.1922061       444.7435      4.9713001
             48      332.73487      2.2701621      282.06697      1.9951095      419.63814      4.4853265
             49      323.42229      2.3559726      275.03182      2.1441951      402.50268       4.398852
             50      323.42229      2.3559726      275.03182      2.1441951      402.50268       4.398852
