#     dphi_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      36724.261      44.367961       30934.17      38.879418      49345.439      115.96998
     0.31415927      29174.944      41.212648      24284.524      35.827368      40960.128      112.22341
     0.62831853      23715.047       38.60824      19643.158      33.365404      33981.307      104.73111
      0.9424778      20239.916      36.251113      16744.001      31.383489      29475.409      101.77613
      1.2566371      18006.337      34.141854      14881.075      29.353303      26672.929      99.153912
      1.5707963      16745.715       34.63569      13849.156      29.796009      24889.916      99.069547
      1.8849556      15974.174      33.050719        13214.1      28.210076      23978.166      97.149547
      2.1991149       15671.64      32.867729      12973.439      27.937842      23724.235      97.145053
      2.5132741      15679.589      34.270756      12999.911      28.912462      23552.641      97.449173
      2.8274334      15904.136      35.984643      13181.915      29.666573      24146.865      101.94743
      3.1415927      15904.136      35.984643      13181.915      29.666573      24146.865      101.94743
