# A_Zbb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
              0      3133.2289      21.619051      2683.4746      19.370999       3805.803      38.357315
            0.1      1428.4596      15.835382      1224.2806      14.328805      1752.9641      27.437842
            0.2      708.05774       10.32143      613.27139      9.0411245      836.68839      14.010218
            0.3      400.31552      7.2358871      348.76793      6.4845943      482.51416       10.93885
            0.4      256.80616      7.1061213      226.70482      6.7199051      309.60031       11.54672
            0.5      161.65882      6.5706768      141.42556      5.8583015      194.56925      11.317826
            0.6      94.760896      3.6075875      83.704407      3.2749581      110.29184      4.3064339
            0.7       52.12133      3.0872339      45.925193      2.5645553      60.769487      4.0289917
            0.8      18.659328      1.0821122      16.625663     0.97672639      21.002054      1.2777298
              1      18.659328      1.0821122      16.625663     0.97672639      21.002054      1.2777298
