#    pt_em-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       25.84507     0.81628342      21.404554     0.73586504      37.282391      2.1211656
              1      75.847016      1.1716849      62.546179      1.0025817      111.04539      3.5639905
              2      128.04034      1.7220628      105.58058      1.5074419      185.85277        4.68806
              3      182.96689      2.2764171      151.44227      2.0322513      271.21601      6.1166581
              4      231.10486      2.1760908      191.08185      1.8969918      332.54251      6.3547684
              5      288.92671      2.4207028       238.3345      2.1087049      432.27748      7.2090365
              6      345.82383      3.0750164      285.42011      2.6978079       510.3611      7.7763996
              7      399.69271      3.3925462      330.63155      2.9533577      584.76363       8.445562
              8      452.06666      3.2946177      373.48514      2.9052715       657.8722      8.7627792
              9        507.274       3.441532      418.73077      3.0178435      745.01426      9.5548429
             10      571.68956      4.1187095      473.20975      3.5930007      843.74097      10.287261
             11      633.82572      4.1418683       524.1911      3.6230534      911.34992      10.038826
             12      687.44683      4.1612898      568.28211      3.6295106       994.5609      10.583838
             13      753.35847       4.437766      624.18704      3.9035742      1079.1399      11.251295
             14      817.25475      4.7431227      676.35813       4.154067      1170.8839      11.323606
             15      887.38883      5.1974571      735.05665      4.5508874      1272.3926      12.315857
             16      948.07863      5.0682517      784.67797      4.3778351      1366.6787      12.670807
             17      1008.3023      5.2417308      835.51888      4.5839386      1456.1654      13.121437
             18      1076.8176      5.3525046       891.7984      4.6358877       1557.104      13.232815
             19      1150.6249      5.9388507      954.14724      5.1960338      1649.2216      14.118348
             20      1208.5056      5.6965846      1003.0173      4.9542647      1746.0125      14.894002
             21      1281.8822      6.3816574      1062.2646      5.5246112      1852.9316       14.79432
             22      1334.8423       5.849147      1108.2177      5.0866336      1912.4871      15.018957
             23      1409.4081      6.0208428      1168.2495       5.167665      2046.6998      15.224915
             24      1466.4303      6.1544649      1216.3226        5.34719      2138.5294      15.961488
             25      1522.2397       6.149353       1262.988      5.2989726       2216.906      16.187666
             26      1584.0041       6.342562      1315.2862      5.4346249      2271.8678      16.527059
             27      1634.8288      6.1452764      1356.3134      5.2409709      2407.8693      16.958292
             28      1702.1863      6.2787854      1413.2813      5.4012666      2510.1801      17.521291
             29      1731.7018      6.0682881      1437.0337      5.1662782      2568.9524      17.743752
             30      1786.0508      6.2474456      1481.2017      5.2779497      2647.6474      17.940836
             31      1810.1895      6.1860293      1502.3825      5.2537218      2713.4057      18.443693
             32      1842.1732      6.2364324      1528.1088      5.2921717      2777.1251      18.603739
             33      1860.6412      6.1888725      1542.2758      5.2349293      2851.6766      19.098512
             34      1870.6629      6.4428307      1551.1023      5.4529602      2871.2374      19.349002
             35      1863.1149       6.103762      1543.4581      5.1521143      2865.7147      19.696052
             36      1851.5824      6.3972827      1533.7611      5.3529396      2885.8823      20.257075
