#m_bb-CMS-2bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
             20      5.1465336    0.043961365       4.308999    0.039086719      6.2868287    0.059057578
             50      4.3730937    0.051419323      3.7138449    0.047801123       5.447814     0.09313678
             75      4.2327708    0.055552575       3.650525    0.049246466      5.2337834    0.094869264
            100      3.0818726    0.048256336      2.6774679    0.042848543      3.8134113    0.089787742
            125       1.949382    0.038339129       1.706806    0.033700185       2.276108    0.053519467
            150      1.0859039    0.018929185     0.95685247    0.016970241      1.2688372    0.023875957
            200     0.55731799    0.014533448     0.49721062    0.013801565     0.63667324    0.016528255
            250     0.29942709    0.010239008     0.26586876   0.0091765764     0.35249702    0.016562893
            300     0.14589353    0.005082582     0.13012783   0.0044902055     0.16665769   0.0062261737
            400    0.057044337   0.0028823588    0.050910484   0.0025965842    0.064997766   0.0033864426
            500    0.057044337   0.0028823588    0.050910484   0.0025965842    0.064997766   0.0033864426
