# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj30
              0      3468.3416      8.4946809      2826.1276      7.1563149      4321.5594      10.681831
     0.31415927      3730.8741      8.9466151      3042.2311      7.6533034      4647.8899      11.276674
     0.62831853      3904.7755      9.7044143      3178.6756      8.3151621      4872.5968      11.811144
      0.9424778       4190.489      10.632293      3408.1529      9.1544388      5237.5274      12.791517
      1.2566371      4669.8245       10.83357      3794.5469      9.2758223      5844.8613      13.159549
      1.5707963      5441.9725      11.902656      4419.2228      10.214234      6817.0984       14.43152
      1.8849556      6597.2438      13.699769      5357.0276      11.808363      8262.9818      16.643126
      2.1991149      8155.0932      16.054449      6624.7022      13.636844      10211.017      19.664312
      2.5132741      10139.545      19.105895      8250.0608      16.170125      12668.216      23.618572
      2.8274334      11830.452      21.370667      9644.1186      17.981818      14743.112      26.438373
      3.1415927      11830.452      21.370667      9644.1186      17.981818      14743.112      26.438373
