# dy_bbZ-j1-ptj        central        num_err    min (scale)        num_err    max (scale)        num_err
# 20
             -8      6.5185761      1.0056228      5.3732498     0.83756021      8.1744242      1.2853601
           -7.9      10.063913      2.6910481      8.0867513      2.0355861      12.970642      3.6939292
           -7.8       12.62147       2.360969      10.124333      1.6973227      17.005867      4.2401692
           -7.7      10.290596     0.91877986      8.1930792     0.74694143      13.532344       1.203279
           -7.6      14.160629      1.2016094      11.344801     0.97061403      18.501476      1.5910095
           -7.5      15.114304      1.4398927      12.117877      1.2148322       19.63963      1.7726929
           -7.4      19.729972      1.9772021       16.00419      1.5954544      25.057886       2.539423
           -7.3      20.199323      1.3778026      16.350105      1.1180572      25.792594      1.8071216
           -7.2      22.716743      1.6066259      18.162992      1.3111427      29.663277      2.0607052
           -7.1      29.080733      2.0487165      23.581297      1.6029827      37.266493       2.794137
             -7      35.332295      2.7136625      28.532799      2.2251385      45.286449      3.4268184
           -6.9      39.367007      2.5435123      31.790966      2.1292356      50.414425      3.1489921
           -6.8      41.467762      2.8673226      32.950722      2.3069039      54.219473      3.6950135
           -6.7      45.687005      2.9915141      36.915761      2.2055287      58.507696      4.3666641
           -6.6      56.362691      2.7774522      45.353863      2.2565143      72.660397      3.6383541
           -6.5       68.05434      3.3528635      54.357282      2.7404155      88.024563      4.2486289
           -6.4      71.819647      2.9307743      57.740229       2.379375       92.02277      3.7536166
           -6.3      78.121557      3.3847765      62.412558      2.7949153      101.87385      4.3902627
           -6.2      97.677089      5.5797534      78.908378      4.5782893      124.80057      7.0191597
           -6.1      102.17531      3.7492067       82.58553      3.0153342      130.20921       4.949235
             -6      117.90293      5.4933683      95.680736      5.3079299      149.70305      5.6137838
           -5.9      132.83276      5.6939138      106.41166      4.3747983      171.42452      7.8719336
           -5.8       155.4552      4.6505774      124.93294      3.8819426      200.26886      5.8948355
           -5.7       156.4564      4.0253122      125.08561      3.2057392       201.5887      5.4275698
           -5.6      186.73747      6.5837197      150.11087      5.3350171      239.72852      8.7718025
           -5.5      204.29701       4.732136      164.08099      3.9037942      261.78842      6.1213847
           -5.4      250.12323       9.702978      200.44597      7.2736306      321.09127      13.752157
           -5.3      255.56611      7.3819668      206.11282      5.5339279      324.85283      10.580819
           -5.2      300.16709      7.1859984      241.14309      5.6948183      384.27733      9.5256115
           -5.1      325.05649      7.6936124      261.70744      6.4766818       414.1459      9.4640304
             -5      362.28337      8.8963077      290.30345      7.4079054      464.73875      10.988042
           -4.9      413.71074      7.7808312      331.73078      6.2823992      528.68786      10.090018
           -4.8      451.97407       10.59827      363.69589      9.4269851      576.64708      12.250982
           -4.7      485.50175        7.06493      391.06289       5.925436      617.86381      8.8136201
           -4.6      531.32049      7.0095825      428.23884      5.7571084      675.54356      8.9420167
           -4.5      590.43335       8.748241      474.36985      7.1291399      753.31225      11.250641
           -4.4      657.38941       8.464936      529.92951       7.014129      834.58591      10.661322
           -4.3      716.30165      9.1046675       578.1747      7.4917931      909.31105      11.614252
           -4.2      790.98554      9.7584932      640.48393      8.1610904      998.29935      12.080847
