# eta_bjet1-CMS        central        num_err    min (scale)        num_err    max (scale)        num_err
# -1bjet
              0      2337.1412      8.3161695      1989.6873      7.4456484      2906.8372      17.617717
            0.4      2263.3956      8.5950171      1928.2106      7.6899061      2814.6897      17.555761
            0.8      2084.3544      8.0306728      1776.9535      7.1329085      2576.8242      16.383811
            1.2      1823.6068      8.4295288      1555.8326      7.5031083      2275.7649      16.982311
            1.6      1513.4103      7.1784304      1294.2587      6.3673826      1872.8265       14.77822
              2      1209.9519       6.732273      1035.7416      5.9978212      1511.1215      13.207519
            2.4      1209.9519       6.732273      1035.7416      5.9978212      1511.1215      13.207519
