# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj60
              0      1384.1397      4.9730164      1111.5177      4.0066529      1751.9335        6.51835
     0.31415927      1494.0222      5.1339429      1202.8482      4.2823852      1885.0979      6.7362335
     0.62831853      1564.5272      5.3384185      1256.2839      4.3783634       1980.325      6.8778013
      0.9424778      1668.3222      5.9143544      1336.4804      4.9402388      2118.0371      7.4485667
      1.2566371      1861.5173      6.1439484      1488.7001      5.0439038      2368.6488       7.900617
      1.5707963      2209.5922      6.3000371      1763.9476      5.1229149      2818.2693      8.2303343
      1.8849556      2764.8686      7.8893075      2206.0414      6.4616399      3526.8667       10.34735
      2.1991149      3617.2811      9.7941532      2890.0198      7.9907128      4605.1985      12.642238
      2.5132741      4811.2706      11.371488      3854.6091      9.4006121      6099.4986      14.696093
      2.8274334      6014.2339      12.888335      4833.4821      10.451694      7586.9088      16.792329
      3.1415927      6014.2339      12.888335      4833.4821      10.451694      7586.9088      16.792329
