#           m_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
             50       34.99332     0.24218799      28.761688     0.20522651      52.718707     0.76817947
             60      102.94601     0.44405163      85.062412     0.38096474       150.6388      1.3194892
             70       2348.757       2.095488      1950.3617      1.8027126      3414.5791       6.115899
             80      3808.4019      2.5736388      3166.3204      2.2232901      5495.5422       7.607964
             90      111.76702     0.50983376      93.272761      0.4378274      159.73382      1.2859387
            100      35.077816     0.27478589      29.324362     0.23461735       49.88605     0.72703371
            110      17.172619     0.20114631      14.393653     0.17329437       24.00424     0.48732995
            120      9.8281378     0.17651086      8.2619669     0.15106981      13.969603     0.39964609
            130      6.2422267      0.1226583      5.2647865      0.1086351      8.2580071     0.23870163
            140      4.1515303    0.095265392      3.4998545    0.082310025      5.3636799     0.21645351
            150      4.1515303    0.095265392      3.4998545    0.082310025      5.3636799     0.21645351
