# total-CMS-1bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
              0      4492.7441      7.6439444      3832.2737      6.8212285      5583.2256      15.760313
              1      4492.7441      7.6439444      3832.2737      6.8212285      5583.2256      15.760313
