# dR_Z_bjet1-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
              0      80.162156     0.73000386      64.579987     0.61104471       101.3899     0.96058244
              1      254.19913      1.7165019      206.56677      1.4132504       317.7874      2.2341495
            1.6      453.57825      2.9978377      372.70014      2.5600717       561.5371      4.8157962
              2      785.91368       4.134293      653.60261      3.6043926      966.50301      5.6480633
            2.4      1273.5809      7.9468599      1074.2523      7.0356684      1551.3653      12.508481
            2.6      1929.4501      10.716052      1650.1736      9.5820539      2344.8062       19.09787
            2.8      3034.8937      14.128613      2625.3605      12.787668       3682.774      26.329711
              3      4409.4457      17.480173      3844.1313      15.792207       5461.191      43.047247
            3.2      2471.3021      14.142312      2137.7544      12.811645      3119.9471      33.558133
            3.4      1580.7686      11.320631      1356.9217      10.146629      1982.3741      23.499574
            3.6      967.00027      6.5383798      822.21021      5.7698522        1225.83      12.757567
              4      528.21112      4.2953944      444.45736      3.7563872      681.93109      9.0552256
            4.4      253.97962      2.9118584      212.44925      2.5342455       326.5135      4.7939436
              5        89.1486      1.6017688      73.997842      1.3956987      111.58654      2.3481641
            5.6        89.1486      1.6017688      73.997842      1.3956987      111.58654      2.3481641
