#          y_bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      881.24312      15.933078      721.60334      12.797061      1382.8903      46.970981
           -4.9      1006.6039      14.908589      826.57915      12.035483       1603.872      44.837518
           -4.8      1178.2292      18.138079       968.3374      14.511709      1793.6663      54.248591
           -4.7      1335.6573      18.077481      1101.3047      15.034574      2168.5699      54.538511
           -4.6      1542.7513      20.369126      1267.5508      16.238908      2440.2909      59.013211
           -4.5      1757.5252      21.020634      1450.0091      17.083651      2728.7721      61.550911
           -4.4      2021.8932      21.569278      1667.7437      17.615635      3139.0387      65.176588
           -4.3      2213.2169      22.199859      1825.6335      17.925364      3521.3962      67.435992
           -4.2      2449.6521      22.354499      2028.1452      18.419174      3674.4675      68.320744
           -4.1      2681.7775      25.245775      2221.6517      20.502308      4129.7288       71.44013
             -4      2929.5498      25.750688      2427.0429      20.938611      4443.7005      76.931567
           -3.9      3226.7441      26.121764      2674.8133      21.424185      5036.1774      83.372886
           -3.8      3565.2924      27.897648      2959.2681      23.391289      5510.1888      86.802808
           -3.7      3858.2401      28.461882      3206.1701      23.469493      5768.5975      86.479212
           -3.6      4113.4117      30.353499      3426.7774      25.830867      6300.5953      93.138248
           -3.5       4377.046      30.510216      3643.7738      25.051728      6544.7167      88.596477
           -3.4       4683.754      30.434338      3896.2881      25.470349      7067.6022      92.129555
           -3.3      4968.9183      30.783003       4135.486      25.740836      7451.4444      94.528711
           -3.2      5257.6799      34.595164      4377.4199      29.281376      7941.9766      102.72687
           -3.1       5553.025      36.946446      4626.9864      31.708663      8110.5054      97.681347
             -3      5875.3732      35.443469      4892.9114      29.961266      8602.8293      100.95089
           -2.9      6172.2518      38.923241      5144.8682      33.409383      9104.9175      109.97635
           -2.8      6403.0737      37.185839      5334.3768      31.990464       9533.281      110.19786
           -2.7      6639.4853      37.311404      5532.3483      31.685543      9803.0776      109.18705
           -2.6      6926.3344      37.432452      5772.5964      31.766935      9936.8958      105.68322
           -2.5      7262.7658      39.518236      6052.0596      34.143562      10574.827      112.82149
           -2.4        7429.87      39.321818      6191.8868      33.745725      10810.632      110.74507
