#y_bbZ-mbbZ1000        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      1.3104754     0.61066473     0.97070274     0.43371042      3.2496624      2.9184144
           -4.9      2.1643374      1.0482133      1.6364807     0.74519133      12.508132      10.826939
           -4.8      7.7546674      1.2909262      5.9206058     0.93862987      16.150428       5.344649
           -4.7      35.187655      4.1129082      27.393812      3.3462085      84.536681      13.433493
           -4.6      71.170632      4.2904585      55.930749      3.3778602      156.64695      20.559631
           -4.5      145.04997      6.5756978      115.93977       5.274905      277.98481      23.246982
           -4.4      269.44853      7.7933484      215.08099      5.9493768      543.19602        32.7504
           -4.3      456.40903      9.9140064      366.24792      7.9257264      845.24141      42.379281
           -4.2      724.42452      12.264223      583.39771      9.7257558      1387.1053      52.991671
           -4.1      1069.5793      15.780199      864.34877       12.83174      2007.4938      64.539407
             -4      1456.8821      15.671784      1184.6929      12.560926      2557.2157      65.718211
           -3.9      1925.2565      19.523995      1572.9003      15.674988        3230.81      74.994999
           -3.8      2402.3463      21.835039      1968.1511      17.777873      4093.8123      82.050442
           -3.7      2900.7104      23.811799      2383.6319      19.361822      4790.0187      90.071799
           -3.6      3450.9685      25.485409      2842.2713      20.881238      5636.8934       89.88497
           -3.5      4027.3767      26.594839      3323.7015      21.719086       6610.878      99.521658
           -3.4       4584.454      27.952122      3787.4906      23.056288       7262.981      103.11837
           -3.3      5119.1209      30.080542      4232.9987      24.749007      8016.3873      102.85858
           -3.2      5635.1998       32.43109       4667.971      27.222492      8724.9272      111.64815
           -3.1      6166.2186      35.138792      5116.4766      29.625437      9486.6261      109.25166
             -3      6577.0523      33.471919       5455.274      28.128825      9965.2562      111.97469
           -2.9      6950.4408      34.882618      5771.8254      29.182114       10409.19       113.7961
           -2.8      7386.5027      39.078914      6136.6122      33.052285      11032.646      115.57007
           -2.7      7757.8909      40.267845      6445.4932      33.473862      11575.967      120.69391
           -2.6      8063.9495      37.962658      6700.3523      32.463011      11832.918      115.85818
           -2.5      8455.5509      43.736783      7034.4662       37.61346       12310.79      116.00095
           -2.4      8648.8686        42.0994       7189.749      35.522634      12603.667       117.0335
           -2.3      8932.8104      42.898981      7423.3668      36.474268      12927.188      121.19533
           -2.2      9093.7992      44.625316      7566.3315      38.477006      13151.829      119.45361
           -2.1      9323.8173      44.877051      7750.9805      38.790771      13403.145      124.94673
             -2       9456.151      44.032137      7871.0031      37.992386      13580.586      118.82168
           -1.9      9608.0039      47.232412      7989.6469      41.085762      13608.327      113.80354
           -1.8      9847.8165      45.419875      8195.8186      39.437148      14083.278      127.05666
           -1.7      9808.4355      44.092614      8160.0565        38.1199      13883.989      115.95748
           -1.6      10011.146        47.0928      8337.4161      40.954688      14187.866      120.07979
           -1.5      10070.059      47.607289      8392.3538      41.201897      14101.496      123.24852
           -1.4      10147.765      45.716558      8443.0715      39.113784      14334.383       120.6059
           -1.3      10238.743       47.02964      8523.0646      40.558042      14327.586      122.71575
           -1.2      10256.018      46.573417       8540.538      40.148145      14318.146      119.23228
           -1.1      10142.651       44.48366       8438.019      38.195648      14280.858      113.51015
             -1      10274.191      45.569317      8555.2524      39.512647       14265.46      115.55906
           -0.9      10370.952       48.66675      8634.9699      41.594001      14410.224      115.40533
           -0.8      10273.864      45.502697        8542.38      39.506337       14397.94      115.67532
           -0.7      10346.612      46.344193      8608.5041      40.189781      14564.631      119.21765
           -0.6      10429.673      48.643426      8683.6067      42.402141      14418.974      118.07628
           -0.5      10450.063      46.727612      8694.3989      40.837575      14657.864       122.1231
           -0.4      10469.903      51.069426      8726.3157      44.553429      14560.019      118.20889
           -0.3       10410.05      47.933118       8666.836      41.756859      14494.681      116.82544
           -0.2      10455.071      48.862316      8701.5795      42.547229      14676.862      122.26185
           -0.1      10420.596       47.91353      8674.3689      41.417089      14542.565      116.85848
              0      10432.921      48.136634      8687.3602      42.068189      14461.769      116.23225
            0.1      10329.373      45.222005      8593.8553      38.856103      14468.882      120.48697
            0.2      10422.016      51.170172      8674.6864      44.739707       14565.33      122.13408
            0.3      10385.979      47.238631      8638.9134      40.800189      14450.682       121.8876
            0.4        10414.1      48.378979      8671.3085      42.000321      14421.349      120.19019
            0.5       10343.97      47.652646      8620.3877      41.528472      14430.265      113.42632
            0.6      10415.578      49.754583      8685.2938      43.393816      14393.791      118.91293
            0.7      10424.749        49.3688      8677.8083      43.093205      14582.176      122.44236
            0.8      10333.843      47.289476      8597.9789      40.694229      14303.669      115.49325
            0.9      10184.224      45.505302      8478.6119      39.391715      14299.576      119.85103
              1      10261.469      46.594129      8537.5439      40.320933      14277.753      123.34548
            1.1      10193.911      46.340101      8483.6346      40.353188      14354.005      119.31481
            1.2      10126.703       46.09646       8427.758      39.935643      14153.683      116.96538
            1.3      10109.394      46.271617      8414.7853      39.609586      14140.941      117.66603
            1.4      10048.819      45.689615      8359.9554      39.071947      14297.034      123.35729
            1.5      9965.4718      45.633405      8296.9525      39.264542      14327.718      124.08273
            1.6      9887.2981      47.192414      8230.3844      40.826196      13990.557       118.5332
            1.7      9681.8361      43.371866      8041.2304      36.972202      13926.241      121.51038
            1.8      9572.3011      44.343341      7961.0568      37.837303      13680.146        120.304
            1.9      9477.5901      44.942982      7886.5251      38.859211      13629.607      119.61434
              2      9311.3485      44.513721      7750.0215      38.042944      13263.552      119.78482
            2.1      9132.1451      42.911759      7596.2167      36.868132      13102.706      121.22502
            2.2      8926.9108      44.206682       7428.012      38.126349      12918.021       120.8616
            2.3      8602.3675      41.232035      7149.4838      35.351703      12453.813      115.91533
            2.4      8344.4419      40.358096      6927.8866      34.038556      12320.128      121.61799
            2.5      8094.6132       39.99562      6727.6135      34.398529      11990.834      119.42619
            2.6      7766.6271      39.748886      6453.7902      34.322016       11503.97      114.12337
            2.7      7452.2559      38.802883      6191.8296       32.94377      11093.887      118.30221
            2.8      6996.6014      37.812547      5804.9356       31.62939      10481.394      117.51169
            2.9      6517.2923       35.18022      5408.8393      29.666019      9767.0156      110.66448
              3      6109.2724      36.239178      5069.3618      31.058059      9387.7927      112.98805
            3.1      5686.3046      32.803443      4705.7512      27.548034      8928.1462      113.01567
            3.2      5102.9441      30.441732      4219.1373      25.236375      7957.0532      102.53679
            3.3        4619.78      29.637284      3819.4162      24.722074      7352.0946      109.16661
            3.4      4006.9018      26.884189      3305.1404      22.263427      6510.6493      101.80459
            3.5      3531.1022      26.740255      2909.0928      22.710252      5882.3824      97.511292
            3.6      2936.2941      24.474856      2409.1359      20.117555      4888.9745      87.310557
            3.7      2396.9283       21.33694      1961.8727      17.292268      4152.9138      87.745137
            3.8      1891.5675      19.459571      1543.9556       15.67937      3315.9696      74.326087
            3.9      1437.4878      16.859541      1166.1968      13.644207      2550.9571      68.158874
              4      1083.0903      16.077353      875.87268      12.763587      1994.9983      64.354918
            4.1      742.42225      12.124177      598.56565      9.6347816      1351.0398      49.745328
            4.2      453.97681      9.7801697      364.29822       7.426867      899.28111      43.616954
            4.3      279.92347      9.1169211      223.70083      7.5504792      526.10915      35.983797
            4.4      153.64496      7.3228629      123.02236      5.9830949      282.68542      21.237837
            4.5      68.654842      3.4947019      53.909079      2.7071233      142.98046      17.020334
            4.6      28.830707      2.8460176      22.669397      2.2173938      43.698704      11.029989
            4.7      7.4373625      1.2469448      5.8216149     0.94314727      15.092485        3.89133
            4.8      2.2329344     0.57316244      1.6622612     0.39291203      8.9308814      5.0777297
            4.9     0.71671653     0.49579036     0.60187391     0.32032935      1.9036809      7.0158092
              5     0.71671653     0.49579036     0.60187391     0.32032935      1.9036809      7.0158092
