#   pt_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      672.13925      4.8989865      503.96868      3.6542691      3093.5475      51.149564
              1      2455.6526      9.4649157      1875.2981      7.2273829      10368.246      66.996104
              2       2935.481      10.372021      2359.4785      8.4258223      6459.3849      35.432309
              3      2929.2661      10.074098      2411.8632      8.3884827      4781.8261      21.149312
              4      2765.7502      9.3798461      2308.2119      8.0078907       3943.038      15.402583
              5      2590.7683      9.1529822      2179.0188      7.8922128      3461.4977      13.251089
              6      2384.3657      8.4241824      2014.0928      7.2902028      3066.3032       11.42305
              7      2233.4796       7.679201      1893.3014      6.7271881      2802.5011      9.8918327
              8      2078.8062      7.4040729      1766.0714       6.512787      2564.3415      9.3637598
              9      1929.2619      6.7663883      1641.0774      5.9423272      2359.5675      8.3512011
             10       1815.981       6.344748      1546.3643      5.6159366      2206.7376      7.6867039
             11      1714.2754      6.1746975      1460.8467      5.4676265      2070.1823      7.4064743
             12      1607.5931      5.9584136      1370.4252      5.3019004      1934.9659      7.1113289
             13      1528.1062      5.8975866      1303.8967       5.262264      1825.2502      6.8563138
             14      1445.1894      5.8876412      1234.4509      5.2810735      1723.1248      6.8154816
             15      1376.5539      5.3771507      1176.0214      4.8074155      1637.2864      6.2069492
             16       1305.885      5.1739193      1115.0372      4.6242096      1552.4087      5.9821255
             17      1243.4093      4.8113429      1061.1535      4.3136328      1477.8999      5.5306117
             18      1185.0488      4.7260681      1010.9278      4.2173831      1406.5053      5.4348608
             19      1125.7331      4.7376137      960.51459      4.2668908      1334.0481      5.3769577
             20      1067.6961      4.3437434      909.26517       3.869434      1267.4672      4.9852939
             21      1005.8113      4.1507941       854.3718      3.6926559      1196.8094       4.794315
             22      959.97728      4.1333988      815.13749      3.6811438      1142.1873      4.7509835
             23       909.3508      3.8746835      769.98167      3.4729466      1086.4018      4.4065523
             24      857.29396      3.7339442      724.28465      3.3246318      1027.0581      4.2860446
             25      813.72091      3.6537205      686.63804      3.2499689      975.64592      4.2715045
             26       774.2098      3.4119871      651.61504      3.0355786      930.76657       3.888044
             27       732.7118      3.3566357      614.75912      2.9601174      884.56817      3.9089761
             28      694.70933      3.3070012      581.44618      2.9317839      840.64708      3.8213118
             29      668.21827      3.2861818       558.1284      2.8994729      809.91791      3.8096776
             30      634.07256      2.9559802      528.45063      2.5359327      770.65136       3.590468
             31      606.77524       2.944537      504.98503      2.6165241      739.32828      3.3828799
             32      579.17039      2.8397643      481.21706       2.481555       706.8915      3.3710877
             33      553.08758      3.1066942       458.6504      2.7502116      676.81896       3.631929
             34      533.06871      2.8703031      441.27311      2.5046132      653.06579      3.3822861
             35      510.13865      2.5653021      421.58557      2.2399564      626.44316      3.0213386
             36      484.92427      2.3204397       399.8078      1.9630139      596.90266      2.8695019
             37       467.4519       2.439191      384.72294      2.1103632      576.78421      2.9106712
             38      449.77591       2.312673      370.42337      1.9987898      554.29193      2.7803634
             39      433.74761      2.2557318      356.51669      1.9983356      535.46597      2.6111088
             40      418.52339      2.4317716      343.56158      2.0614048      517.55226      2.9613364
             41       403.9852      2.4204463      331.27606      2.1105588      499.95193      2.8232367
             42      385.09454      2.0973392      315.59245      1.8574307      476.86397      2.4248655
             43      369.24391      1.9712127      301.92317      1.6903807      458.40991      2.3861987
             44      358.96498      1.9548969       293.3848      1.6658569      445.95985      2.3710484
             45      347.13852      1.8585488      283.64585      1.5864069      431.37763      2.3016881
             46      333.94508      1.8092186      272.46177      1.5365781      415.61724      2.1958997
             47      321.53057      1.7351296      262.48892      1.4943188      399.81751      2.0795009
             48      309.23738      1.7655552      251.96452      1.5358708       385.6837      2.0864134
             49      298.05148      1.5109413      242.57268      1.2631864      371.92391      1.8833487
             50      298.05148      1.5109413      242.57268      1.2631864      371.92391      1.8833487
