#    pt_bx-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      748.71964      4.4336418      608.93247      3.5018179      1217.5278      14.448915
              1      2077.1185      6.9692146      1696.0845      5.7224227      3373.5398       23.12753
              2      3042.1188      8.1769278      2485.4092      6.7542614      4862.4417      27.320662
              3      3592.6077      8.6620574      2938.6596      7.2093143      5688.2403      28.636806
              4      3829.2372      9.0415581      3138.3946      7.6132084      5981.4733      29.183072
              5      3839.6032       9.042097      3150.1632      7.6031727      5943.7419      28.632009
              6      3686.6417      8.9603571       3030.725      7.5693627      5648.2449      27.473234
              7      3483.1653       8.736382      2869.2653      7.4334394      5254.9578      25.812075
              8      3202.2955       8.091022      2641.5379      6.8779728      4816.4434      24.116381
              9      2938.7583      8.2018982      2428.0385      7.0550271      4359.0308      22.684784
             10       2676.171      7.6364722      2214.1381      6.5611118      3901.4927      21.052071
             11      2431.8258      7.1881038      2015.4495      6.1599623      3539.6742      19.977092
             12      2220.0757      7.0345221      1842.5154       6.014438      3186.4179      18.486491
             13      2014.6289      6.6403627      1675.2187      5.7628341      2886.2044      17.272947
             14      1835.8031      6.3184446      1529.6564      5.4732062      2586.3118      15.914146
             15        1670.14       6.006247      1393.0042      5.2247154      2363.5589      15.037316
             16      1516.9016      5.7451844      1267.3268       5.020571       2112.628      14.070007
             17      1383.7374      5.6873914      1157.2312      4.9705474      1915.5891      13.874615
             18      1261.7335      5.2965107      1056.5161      4.6285748      1746.0446       13.13079
             19      1158.6288      4.9289714       971.2731      4.2857623      1585.9436      11.417816
             20      1053.2154      4.6627276      883.51327      4.0972156      1436.7939      11.154612
             21      972.23928      4.4574303      816.33422      3.9047464      1317.1058      10.293725
             22      901.01583      4.6957366      758.26162      4.1492397      1226.6546      10.466985
             23      816.58012      3.9159674      687.50587       3.450296      1086.4004      8.5739029
             24      757.44553      3.8161369      638.14218      3.3309359      1017.3633      8.9714129
             25      694.64918      3.6350486      586.21044      3.2665463      910.34936      7.7579564
             26      643.95168       3.505244      543.12985       3.091075        860.417      8.2398658
             27       596.3378      3.3492076      503.34195      2.9399795      787.05912      7.9120726
             28      551.73101      3.2848642      466.55204      2.9131089      724.32509      6.9417418
             29      518.06747      3.3410218      438.01768      2.9795678       672.4318      7.0689667
             30      477.10441      3.0635173      403.40748      2.6815041      618.27559      6.2373044
             31        447.709      2.8301247      379.09067      2.4918283      582.14974      6.2860815
             32      423.11974      3.0722859      358.52912        2.73284      553.39796      6.1671149
             33      386.27009      2.5755654      327.93047      2.3013592      495.74791      5.7541287
             34      367.63102      2.5365747      312.12224      2.2383192      474.14691      5.6586231
             35      342.54897       2.416197      290.52093      2.1312305      435.55557      4.9140157
             36      317.70472      2.4274716      269.93051      2.1612486      405.92882      4.8835058
             37      295.98306      2.3280887       251.3915      2.0809084      378.72572       4.504292
             38      279.32588      2.1560379      236.89044      1.9132669      355.89577      4.7470459
             39        260.057      2.0570108      220.81595      1.8162919      332.79447      4.3148091
             40      248.07505      2.0748436      211.08161      1.8636251      314.73969      4.4742278
             41      236.91941      1.9898661      201.98068      1.7697671      298.54854      3.9164056
             42      221.84791      1.9137734      189.17312      1.7512986        282.226      3.6494548
             43      207.49803      1.7279286      176.65034      1.5224813      259.81587       3.599301
             44      196.08556      1.9475595      167.31817      1.7499773      244.40844      3.3654308
             45      182.16824      1.5523968      155.29298      1.3673821      226.94813      3.1651782
             46      175.80851      1.7795264      150.09079      1.5888669       220.1528      3.3543208
             47       165.6577      1.6730792      141.08609      1.5054493      208.70928       3.486858
             48      156.37759      1.5798428      133.49727      1.4494636      194.65591      3.1879485
             49      147.84262      1.3878012      126.12219      1.2412253      184.82988      2.5293882
             50      147.84262      1.3878012      126.12219      1.2412253      184.82988      2.5293882
