#  n_light_jets        central        num_err    min (scale)        num_err    max (scale)        num_err
           -0.5      1123.8242      5.1685155      911.24244      4.1536255      2654.4482      30.377564
            0.5      11676.853      15.962011      9664.7044      13.456069      19752.311      63.364859
            1.5      52492.852      28.469128       43681.07      24.846635      72069.425      71.039618
            2.5              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
