#       dy_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      36.664086      1.9923818       29.73878       1.637821      47.055404      2.9536374
           -4.9      44.909142      2.0673329      38.081045       2.699186      53.554564      4.3013932
           -4.8      51.967419      1.9552197      41.734619      1.5446576      66.692973      2.7005581
           -4.7      55.625181      2.2259512      44.946445      1.8128616      71.874383      3.0525299
           -4.6      73.722709       3.308268      59.857457      2.7597106      100.86329       7.760089
           -4.5      79.036583      2.6986582      63.749464      2.1567393      105.26207      6.2140915
           -4.4      99.696099      4.9372624      80.154649      3.6816303      127.24941      7.2895888
           -4.3      108.67131      3.1226812       87.99357      2.5516513      146.30259      11.443065
           -4.2       132.0671      4.5568772      106.17242      3.5021834      172.76905      7.7773742
           -4.1      150.62451      4.2136358      121.71816      3.3239598      204.38855      12.664042
             -4      172.58253      5.8266406      141.16248        5.08485      222.42039      7.8167756
           -3.9      190.57743       4.848598      155.79458      3.8201004      251.92878      11.205528
           -3.8      223.49315      4.9668658       182.0031      4.0614653      308.12115      15.052192
           -3.7      248.98433      6.1115739      202.92165      5.0567342      332.75268      16.509818
           -3.6      288.70669      7.9220942      234.02982      5.5909135      386.96691      17.584935
           -3.5      331.63597      6.9839421      270.08663      5.6774894      460.79909      17.648689
           -3.4      372.99361       7.845074      304.41512        6.22004       503.8205      19.097243
           -3.3      412.70356       7.545586      336.60923      5.8047632      589.31364      20.956661
           -3.2      478.47395      7.5932269      390.31342      6.2366105      672.50954      18.031541
           -3.1      550.39866      8.6032623      448.99035      6.6829284      766.85027      26.207233
             -3      625.03117      9.7551061      509.11023      7.8929335      900.60607      27.673767
           -2.9      702.82204      9.4106446      573.58977      7.6500229      989.14573      26.476714
           -2.8      802.94635      10.963999      658.66472      8.7870684      1100.5891      26.763223
           -2.7      945.45629      14.525519      770.49712      11.236745      1350.0969       35.58487
           -2.6      1069.8759      12.599929      872.88998      10.108361      1577.4977       38.99277
           -2.5      1229.3902      15.382286      1007.8067      12.711325      1736.7089      40.967768
           -2.4      1375.0599      14.858445      1125.5899      11.980083      1952.9582      41.218593
           -2.3      1636.9255      18.974691      1340.6382      15.184575      2419.2821      49.955337
           -2.2      1853.6262      17.690906      1518.8371      14.397387      2713.9145      51.151336
           -2.1      2174.5326      20.016019       1786.561      16.616533      3218.9697      60.230293
             -2      2548.7014      24.139653      2097.2906      19.908171      3683.7006      67.827917
           -1.9      3023.6643      27.700644       2486.329      22.666415      4398.3344      73.426954
           -1.8      3461.1257      27.358257      2850.4437      22.431824       5094.092      81.893275
           -1.7       4106.468      28.210355      3383.3971      23.277101      6013.4767      83.507649
           -1.6      4856.5272      31.134896      3996.0373       25.77607       7127.398      93.472696
           -1.5      5763.3594       38.23526      4752.6568      32.175967      8558.0686      100.93046
           -1.4      6720.4067      37.942245       5549.563      32.131959      9926.6852        108.217
           -1.3      8050.6515       42.99326      6650.9353      36.424618      11873.912       115.9743
           -1.2      9411.7789      47.201327      7782.1653      40.028156       14036.38      135.11972
           -1.1      11017.282      48.876808      9112.4233      41.706645      16278.249      142.83039
             -1      12883.747       52.77494      10670.282      45.215094      18958.065       147.3046
           -0.9      15064.216      55.164219      12459.249      46.861211      22341.457      160.94352
           -0.8       17444.31      58.846821       14461.14      50.178769      25551.433      172.66349
           -0.7      20084.656       63.44363       16655.74      54.405198      29572.297      183.14454
           -0.6      22996.471      69.849019      19087.572      60.091619      33670.602      201.31082
           -0.5       26093.02       74.58645      21700.294      64.271046      37712.934      205.57087
           -0.4      29582.642      79.491747      24656.678      69.071574      42377.046      215.05829
           -0.3      32771.026      83.423497      27357.943      73.084331      46738.236      224.32528
           -0.2       35868.32      86.736708      30044.187      76.217341      50663.359      227.49603
           -0.1      37946.361      88.035553      31879.134      76.794307      53465.071      237.40627
              0      37845.562      86.585094      31813.347      75.709627      52959.357       231.9738
            0.1      35895.109      87.186181      30046.796      76.051425      50718.935      229.55853
            0.2      32652.922      81.908974      27264.958      71.399001      46404.961      219.55906
            0.3      29327.105      77.823451      24412.716      67.376694      42424.686      216.24065
            0.4      26246.861      74.562101      21812.621      64.459651      38228.219      208.22544
            0.5      22978.298       69.46411      19081.734      59.669947      33376.497      190.03562
            0.6      20141.037      63.794134      16697.232      54.350809      29495.521      183.20783
            0.7      17564.375      61.238651      14544.202      52.044497      26078.033      178.08183
            0.8       15181.25      58.698845      12559.602      50.028501      22569.686      165.23797
            0.9      12904.154      52.859571      10676.226       44.90813       19026.15      152.57304
