# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj20
              0      5203.5716      11.413648      4287.6033      9.8315429      6408.6123      13.981659
     0.31415927      5585.2482      12.437252      4606.9817      10.929505      6870.5178      14.990917
     0.62831853      5856.1693       13.71099      4825.2733      12.084905      7210.2622      15.998913
      0.9424778      6263.0182      13.931299      5158.1121      12.203355      7719.6979      16.339576
      1.2566371      6918.4859      15.026704       5694.578      13.170436      8535.8562      17.715392
      1.5707963      7975.2062       16.40097      6561.6262      14.411409       9846.672      19.261572
      1.8849556      9473.6786      18.356214      7790.2901      16.171276      11701.887      21.507913
      2.1991149      11433.854      20.867863       9397.029      18.018874      14134.242      25.111144
      2.5132741      13766.402      24.570846      11322.444       21.21553      17000.568      29.551647
      2.8274334      15654.933      26.816747      12883.114      23.016319      19312.229      32.338853
      3.1415927      15654.933      26.816747      12883.114      23.016319      19312.229      32.338853
