#     pt_b-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       746.0932      4.0664868      606.26561      3.3324081      1222.4581      14.028405
              1      2079.9698      6.8465953       1698.265       5.673958      3323.0118      22.682424
              2      3058.7014      8.3395773      2500.5229      6.9789623      4898.8294      27.579578
              3      3599.3401       8.744826      2946.0627      7.3647123      5705.5459      29.257696
              4      3851.0666      9.1065896      3155.4036      7.6952763      6060.8316      29.222726
              5      3827.3393       9.065604       3140.068      7.6329534      5935.8666      28.288537
              6      3686.1809        9.07997      3030.0017      7.6800577       5661.605      27.532419
              7       3464.746      8.7566789      2852.1715      7.4116686      5243.6441      25.881403
              8      3185.5681      8.0512807      2626.5313      6.8112179      4747.8407      23.756366
              9      2943.9423      8.0759087      2431.9084      6.8763086      4374.0256      22.574049
             10      2676.7207      7.5080826      2214.9281      6.4428526      3930.6244      21.195849
             11      2440.1703      7.1620436      2022.8397      6.1170914      3535.5601      19.482053
             12      2212.6705      7.0575892      1837.5711      6.0453155      3201.4236      19.070223
             13      2014.9313      6.6337041      1675.1439      5.7035333      2888.5074      17.510931
             14      1832.8374      6.1659029      1527.2075      5.3150528      2611.9893       16.55913
             15      1660.2084       5.914292      1384.7312      5.1063507      2349.2509      15.164492
             16      1514.8067      6.0330299      1265.2142      5.2554032      2113.3669      14.729627
             17      1384.8879      5.3696352      1157.8712      4.6449191      1921.2047      13.608769
             18      1257.0379      5.1067508      1052.1343      4.4012637      1730.9302      12.602658
             19      1166.4242      5.0062901      977.65824      4.3392113      1592.7407      11.777615
             20      1061.5789      4.8156818      890.83435      4.2092975      1461.7088      11.411021
             21      973.50057      4.5722739        817.229      4.0083951       1315.353      10.390589
             22      898.36301      4.6475515      755.72728      4.0877795      1207.8638      9.8397143
             23      826.91671      4.1923175      696.17069      3.6924988      1104.1175      9.2002967
             24      754.70758       3.740723      636.19176      3.3025082      988.16392      8.5207879
             25      693.13112      3.4919373      583.95792      3.0398116      919.24108      8.3511434
             26      645.74389       3.755462      545.39793       3.367141      841.93847      7.6813815
             27      590.22268      3.1476639      498.52826      2.7669063      766.24484      7.2137151
             28      556.90559      3.2671215      470.39553      2.8611408        724.741      6.8186387
             29      514.84718      3.0837393      435.45398      2.7461008      671.43506      6.5349864
             30      479.32515        3.05093      406.04024      2.7168395      623.62453      6.5644223
             31       445.6051      2.9162106      377.67255      2.5886975       579.7308      6.3333481
             32      413.42498      3.0678141      350.79536      2.7406802      524.73681       5.966444
             33      387.61118      2.7224434      329.19089      2.4590342      497.08676      5.6569782
             34      363.22336      2.5094553      308.16551      2.2325221      462.12887      5.0751786
             35      340.84496      2.5555866      289.16278      2.2840338       448.0064      5.5864274
             36      317.28146      2.4288184      269.27255      2.1319061      402.88194      4.7140345
             37      297.53527      2.2799454      252.94875        2.03895      376.63526      4.4871354
             38      278.94632        2.18488      236.70199       1.919146      355.23827      4.3091215
             39      264.23887      2.1606623      224.85477      1.9260399      338.33331      4.4328176
             40      248.53757      2.0842596      211.29645      1.8442127      314.23344      3.9752859
             41      235.56782      1.9455874      200.38188      1.7297565      295.09256      3.8283887
             42      221.99377      1.7905054      189.16188      1.6093836      276.09613      3.6523257
             43      212.16769      2.0458491       180.8582      1.8161021      267.05777      3.5849709
             44      193.63563      1.6284133      164.62145      1.4251246      243.05277      3.4235226
             45      188.17012      1.7964118      160.71497      1.5966233      232.45433      3.4296494
             46      175.35741        1.64808      149.40506      1.4735226      219.50666      3.3765854
             47      167.35213      1.6149328      142.68448      1.4320178      207.44397      2.9373992
             48      158.48548      1.5562154      135.48932      1.3859025      195.93342      3.1157993
             49      150.24992      1.5259038      128.08834       1.356849      188.40665      2.8277329
             50      150.24992      1.5259038      128.08834       1.356849      188.40665      2.8277329
