#          y_ep        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      1501.6693      17.417111      1230.7628      14.513481       2432.513      58.776726
           -4.9      1781.1443      18.764927      1460.2561       15.61933      2804.7382       64.63315
           -4.8      2016.2863      19.043265      1654.2223      15.835995      3134.1833      62.774672
           -4.7      2288.9161      23.187076      1881.0584      19.598299      3539.5055      65.902466
           -4.6      2541.3137      21.621043      2085.8138      17.815775      4106.6442      75.673924
           -4.5      2945.9325      26.742396      2419.6417      22.616187      4708.9852      81.372631
           -4.4      3163.2634      22.880417      2600.6688      19.112451      4954.3747      77.165237
           -4.3      3538.3027      26.035609      2918.7645      21.906302      5447.5814      85.088075
           -4.2      3881.5073      28.817622      3196.7698      24.251669      5982.4311      88.020514
           -4.1       4248.252      28.929689      3503.5683      24.411479      6440.1223      89.734421
             -4      4523.3065      29.936158      3731.9221      25.183847      6745.0275      86.545579
           -3.9      4805.0616      28.888955      3972.3441      24.281995       7193.281      89.288724
           -3.8      5102.9728      31.866843      4217.5454      27.054849      7660.2457      100.18217
           -3.7      5365.6246      32.172875      4440.6851      26.945178      7978.5556      95.658681
           -3.6      5701.6415      34.491433      4723.9873       29.53945      8548.5175       100.5311
           -3.5      5943.6011      35.263617      4926.3774      30.220285       8749.426      97.112219
           -3.4      6143.2822      34.661266      5096.7554      29.564693      8992.9791      98.131958
           -3.3      6378.5243      36.424759      5289.6329      31.153723      9386.4445      102.48747
           -3.2      6508.6756      35.739779      5401.8138      30.796104      9482.0905      103.47403
           -3.1      6735.8248      36.137957      5596.8072      30.951226      9732.6928      103.04712
             -3      6863.4352      36.428723      5694.8434      31.115093      10185.669      107.64511
           -2.9      6949.1546       34.49943      5764.4621      29.258593      10172.832      103.05068
           -2.8      7114.2883      37.281753      5908.1077      31.590624      10260.516      106.24379
           -2.7      7165.8405      35.114638      5947.5914      29.607451        10393.3      106.68938
           -2.6      7302.3854      42.165464      6084.5033      37.101492      10351.359      102.02027
           -2.5      7318.7408       35.99262      6084.4511       30.31034      10432.445      104.78981
           -2.4      7384.5031      37.470466      6140.5006      32.226272      10599.547       103.8042
           -2.3      7473.4845       38.39934      6229.0551      33.453514      10560.492       103.8096
           -2.2        7491.46      37.194817      6231.0819      31.939794      10746.239      108.37516
           -2.1      7664.9235      39.744845      6385.4382      34.278344      10931.116      109.51063
             -2      7651.6342      38.067628      6370.0561      32.180072      10915.148      108.82914
           -1.9      7747.5473      40.928677      6453.1031      35.653318      10970.485      110.24212
           -1.8      7774.9676      39.369263       6471.514      33.714833      11061.563      107.88911
           -1.7      7825.8641       42.33712      6515.6957      36.454305      11140.844      111.19724
           -1.6      7919.2257      40.150245      6598.8444      34.683956      11292.448        105.272
           -1.5      7916.1642       40.51041      6596.1596      34.731138      11101.702      109.50942
           -1.4      7958.7433      41.049047      6631.7266      35.434204      11267.966      111.39169
           -1.3      7993.3194      42.303068      6670.1259      36.574821      11238.251      105.93408
           -1.2      8116.1097      42.728925      6765.7492      37.194541      11492.374      106.79845
           -1.1      8055.9779      41.752339      6720.1955      36.215753      11368.095      106.36471
             -1      8080.4086      41.745493      6732.7246      35.814073      11339.358      109.49309
           -0.9      8090.0083      42.778713      6751.7703      37.064584      11325.594      107.35379
           -0.8      8168.2965      42.569617      6824.9768      36.804059      11646.923      113.75285
           -0.7      8166.5198      42.094599      6809.4695      36.403406      11550.961      110.31267
           -0.6      8140.0776      43.636718      6797.7695      38.019432      11492.582      111.91674
           -0.5      8144.1881      43.357309      6790.7938      37.568305      11587.064      114.24055
           -0.4       8219.037      46.047517      6861.0988      40.115094      11510.479      107.88224
           -0.3       8222.608      42.999666       6864.901      37.115273      11451.644      107.87379
           -0.2      8266.0226      47.776319      6903.6534      41.190851      11735.574      115.26706
           -0.1      8207.8213      42.871492      6848.8855      37.146365      11491.646      106.77391
              0      8164.9207      44.296767      6812.8163      38.463805      11521.589       113.9202
            0.1      8163.0161      42.937646      6807.7914       37.20723       11546.54      111.36555
            0.2      8244.9214      44.273084       6881.455      38.244301      11416.875      108.61824
            0.3      8142.3935      42.485393      6795.5493      36.648886      11438.069      110.73283
            0.4      8221.6777      42.932256      6861.4371      37.167126      11487.359      107.94815
            0.5      8218.9187      44.349169      6853.3266      37.782689      11564.509      112.63159
            0.6      8177.3838       42.69794      6824.3099       36.82958      11408.925      106.88845
            0.7      8042.1699       41.13281      6709.4844      35.741948      11174.139      106.72274
            0.8      8106.0962      44.602223      6767.3644      38.397808      11241.567      109.63348
            0.9      8124.1448       44.86359      6783.0533      39.312882      11540.251      114.34627
              1      8084.9374      45.801402      6747.6266      39.527166      11345.567      111.38825
            1.1      8072.2963      43.966401      6737.3297      37.943521      11283.255      108.33172
            1.2      8001.9837      42.460541      6676.4823      36.677616      11292.026      108.14682
            1.3      7959.6421      42.169971       6630.244      36.189214        11279.9      112.36073
            1.4      7897.0517      41.092344      6578.9127      35.000916      11189.243      107.63087
            1.5      7886.9768      41.047346       6564.679      34.967748       11216.29      107.47482
            1.6      7787.0174      40.523718      6492.5253      35.139549      11032.654      107.96621
            1.7      7793.5327      40.306334      6498.7906       35.07551      11064.804       108.0413
            1.8      7749.9109      38.817365      6454.0879      33.347196      11085.971      108.94348
            1.9      7681.1121      39.894884      6394.1743       34.68348      10838.805      106.69686
              2      7628.4052      39.415055      6352.3047      33.670136      10838.646      105.78485
            2.1      7510.1306      39.338068      6243.8104      34.090349      10740.846      103.10568
            2.2      7555.3176       39.17473      6288.9434      33.832182       10743.64      101.07163
            2.3       7399.811      38.444808      6151.9873      32.493602      10524.285      107.05501
            2.4      7409.3925       37.64936       6157.596       32.14011      10706.492      108.20867
            2.5      7276.9529      37.380179       6044.172      31.905361      10494.331      106.77759
            2.6      7193.6033      36.298425      5980.1238      31.207443      10342.367      105.69671
            2.7      7133.7646       38.25805      5935.7974      32.904142      10353.205      111.48389
            2.8      6944.3998      37.020683      5767.3417      32.082591      10096.125      104.69051
            2.9      6751.4234       34.30865      5602.3852      29.026656      9715.3032      97.261034
              3      6676.2814      35.531563      5535.4668      29.786374      9843.2572      105.18708
            3.1      6489.1046      35.679504      5384.3624      30.895045      9419.2221      103.42116
            3.2      6416.5344      39.347422      5326.7915      33.982164       9508.155      104.29824
            3.3      6127.1157      33.329199      5073.8663      28.309955      9022.7383        100.734
            3.4      5864.0662      32.403094      4858.8011      27.664194      8534.8767      98.332311
            3.5      5684.9441      32.698959      4708.4361        27.7203      8408.9428      97.557656
            3.6      5423.0604      31.044681      4489.2628       26.29504      8181.3086      97.799139
            3.7      5116.1887        33.6865      4233.6286       28.79024      7525.5107      95.324381
            3.8      4815.5152      31.488093       3977.556      26.803733      7367.5677      98.446195
            3.9      4529.5279      30.534033      3736.1374      25.777997      6861.1413      93.002365
              4      4209.7966      28.345378      3470.3157      24.362752      6563.5262       89.79761
            4.1      3868.9389      28.100857      3189.4511      23.539599      5902.1073      94.338242
            4.2      3531.1462      27.138322      2912.4138      23.020512      5350.5308      83.462428
            4.3      3237.3734      25.659907      2659.8527      21.921599       5178.628      89.560367
            4.4      2895.5415      23.333108      2379.1823      19.369952      4520.7187      78.365493
            4.5      2570.0925      22.495088       2112.093       18.80538      4006.3017      73.087476
            4.6       2292.495       22.14766      1878.4288      18.622828      3688.4737      74.019053
            4.7      1992.7489      20.037305      1632.4741      16.762924      3156.1998      65.810165
            4.8      1738.8066      16.921308      1423.7105      13.978354      2798.2902      60.105983
            4.9       1498.785      16.799204       1224.168       13.55421      2451.8103      60.441674
              5       1498.785      16.799204       1224.168       13.55421      2451.8103      60.441674
