qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

independent    1              0.5                 NLO.CS.32                                                             23490.2513 +-          1.9833

independent    1              1                   NLO.CS.32                                                             23911.5703 +-          2.0985

independent    1              2                   NLO.CS.32                                                             24120.7203 +-          2.2121

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

independent    1              0.5                 NLO.CS.32                                                             23490.2513 +-          1.9833
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              0.5                 VA.QCD                                                                 8271.8968 +-          1.0609
independent    1              0.5                 CA.QCD                                                                 2124.9729 +-          0.3685
independent    1              0.5                 RA.QCD                                                                13093.3816 +-          1.6348

independent    1              1                   NLO.CS.32                                                             23911.5703 +-          2.0985
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   VA.QCD                                                                 8996.4974 +-          1.1492
independent    1              1                   CA.QCD                                                                 1429.2383 +-          0.4251
independent    1              1                   RA.QCD                                                                13485.8346 +-          1.7036

independent    1              2                   NLO.CS.32                                                             24120.7203 +-          2.2121
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              2                   VA.QCD                                                                 9637.4754 +-          1.2295
independent    1              2                   CA.QCD                                                                  724.8701 +-          0.5301
independent    1              2                   RA.QCD                                                                13758.3748 +-          1.7610

=====================================================================================================================================================

