qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

independent    0.5            0.5                 LO                                                                          -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            0.5                 LO.22                                                                       -nan +-            -nan

independent    0.5            1                   LO                                                                          -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            1                   LO.22                                                                       -nan +-            -nan

independent    1              0.5                 LO                                                                          -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              0.5                 LO.22                                                                       -nan +-            -nan

independent    1              1                   LO                                                                          -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   LO.22                                                                       -nan +-            -nan

independent    1              2                   LO                                                                          -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              2                   LO.22                                                                       -nan +-            -nan

independent    2              1                   LO                                                                          -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              1                   LO.22                                                                       -nan +-            -nan

independent    2              2                   LO                                                                          -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              2                   LO.22                                                                       -nan +-            -nan

=====================================================================================================================================================

