#    pt_bx-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      385.49944      1.3517827      309.08518      1.0603907      501.17327      2.0204588
              1      1075.6658      2.2751368      862.62341      1.7709976      1398.1043      3.3644309
              2      1570.4633      2.6773216      1257.2218      2.0692378      2045.9852      3.9122992
              3      1839.5457      2.8774235      1473.5258      2.2307168      2392.7564      4.1904418
              4      1939.6177      2.9381061      1555.4532      2.2805365      2517.1047      4.2558744
              5      1926.8014      2.9346482      1546.6346      2.2826051      2495.6932      4.2331619
              6      1835.8131      2.8609515      1475.6302      2.2358243      2372.2923      4.1178017
              7        1725.22      2.7574624      1388.0946      2.1830729      2224.9489      3.9996367
              8      1588.4764      2.6345994      1279.3756      2.0654692      2045.6566      3.7434791
              9      1454.4768      2.5231635      1171.8332      1.9838583      1871.5899       3.578197
             10      1327.2891      2.4293463      1070.2932      1.9053393       1704.915      3.4189737
             11      1207.8045      2.2934489      974.91077       1.805803       1548.946      3.2153442
             12      1100.2871      2.1937395      889.15982      1.7281498      1408.2747       3.059852
             13      1002.3532      2.0852178      810.52707      1.6496696      1281.4512      2.9100208
             14      912.89241      2.0063887      738.98463      1.5859491      1165.3653      2.7885839
             15      831.48975       1.900005      673.75468      1.5148937      1059.5981      2.6646157
             16      759.33202      1.8139867      615.31479      1.4432684       967.5454      2.5184566
             17      693.88682      1.7339223      562.61859      1.3733979      883.24636      2.3828561
             18       636.5269      1.6620128      516.39166       1.321157      809.34881      2.2954162
             19      586.75438       1.597331      476.42288       1.267877      745.06752      2.1914704
             20      535.57995      1.5217435      435.21319      1.2147181       679.4594      2.0975313
             21      495.60052      1.4644494      402.78281      1.1672905      628.49075      2.0084194
             22      457.77962      1.4119635       372.5889      1.1275795      579.24864      1.9372675
             23      421.26468      1.3484437      342.92134      1.0757074      532.73871      1.8399876
             24      390.97857      1.2982576       318.3142      1.0370815      494.43176      1.7684494
             25      361.29688      1.2488218      294.33829      1.0077928      456.22708      1.7354392
             26      337.03541      1.2053201       274.4908     0.96106904      425.92424      1.6293499
             27      312.12697      1.1603063       254.5633     0.93063756      393.54191      1.5789485
             28       289.2257      1.1231418      236.10228     0.90308511      364.28283      1.5376168
             29      271.38799      1.0817283       221.4922      0.8645612      342.00849      1.4637062
             30      253.37341      1.0412213      206.62979      0.8352263      319.39552      1.4101061
             31       238.5591        1.01228      194.83912     0.81115078      300.10931      1.3595308
             32      223.35364     0.97970295      182.63991     0.78934927      280.67681      1.3284156
             33       207.3789     0.94541008      169.78926     0.77671435      260.04209      1.3137002
             34      195.98726     0.91722883      160.32515     0.73917734      245.93921       1.240398
             35      184.81092     0.89061507      151.12718     0.71562478      232.08534      1.1927088
             36      172.77787     0.86079654      141.39828     0.69338329      216.67187      1.1646884
             37      162.04745     0.83305606      132.77838     0.67135928      202.91225      1.1225343
             38      153.28279     0.81154298      125.33512     0.65020067      192.48226      1.0807964
             39      143.45082     0.78942393      117.47123     0.63282911      179.79292      1.0515952
             40      137.02116     0.76524795      112.28054     0.62010923      171.56017      1.0288538
             41      129.81697     0.74603106      106.61281     0.60733103       161.9498      1.0160748
             42      121.82912     0.72178778      99.982164     0.58577751      152.20178     0.97013443
             43      115.22891     0.70282483      94.525374     0.56667208      143.94008      0.9364642
             44       108.8131     0.68357736      89.429968     0.56105732      135.48955     0.94256753
             45      102.86186      0.6633662      84.401749     0.53474461      128.40086     0.88240356
             46      97.155763     0.64775157      79.849647     0.52168206      121.08621     0.85874484
             47       92.45068      0.6423889      75.957712     0.51883236      115.34466     0.85443312
             48      88.580501     0.61518963      72.847404      0.4989773      110.30558     0.82225913
             49      84.197378     0.60023499      69.155012     0.48416909       105.0026     0.79416316
             50      84.197378     0.60023499      69.155012     0.48416909       105.0026     0.79416316
