#pt_Z-CMS-1bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      12.684572    0.051405326      10.355153     0.04135815      15.821145    0.068651152
             20      28.034536     0.10910123      22.994871    0.088109262       34.87602     0.14763419
             30      31.484491      0.1171182      25.892446    0.094520778      39.292045     0.15978603
             40       27.57057      0.1090969      22.677971    0.087998318      34.412735     0.14768885
             50      22.656634    0.080208327      18.612055    0.065098711      28.241908      0.1088823
             65      18.186897    0.071414475      14.902261     0.05773276      22.695801    0.095302173
             80      13.986833    0.062729877      11.454146    0.050601344      17.432356    0.082974219
             95      10.660119    0.054918444      8.7092458    0.044326085      13.313274    0.072771203
            110      7.7659549    0.040602159      6.3470249    0.032649027      9.6862276    0.053340188
            130      4.8308078    0.024169759      3.9367504    0.019430132      6.0274579     0.03218418
            165      2.6908798    0.017910716      2.1763138      0.0143413      3.3819473    0.023952018
            200       1.535926     0.01295072      1.2328621    0.010233754      1.9454263    0.017525188
            240      0.7586985   0.0075185177     0.60582821   0.0058607277     0.96623031    0.010245968
            300     0.13854902     0.00145623     0.11041435    0.001168537     0.17603162   0.0021647388
            600     0.13854902     0.00145623     0.11041435    0.001168537     0.17603162   0.0021647388
