# dR_Zbb-CMS-2b        central        num_err    min (scale)        num_err    max (scale)        num_err
# jet
              0      13.327176     0.30837321      10.820792      0.2471055      16.830204     0.40711862
            0.6      44.916534     0.56080844      36.502163     0.45087394      56.697856     0.74239898
            1.2      84.529071     0.78885096      69.085479     0.63448885      106.07996      1.0441441
            1.8        127.549      0.9563127      104.11871     0.77020375      160.46957      1.2547035
            2.4      157.79163      1.4840679      128.83461      1.2002485      198.45635      1.9444362
            2.7      173.75436       1.547627      142.60714      1.2614677      217.61039      2.0235975
              3      110.91115      1.2414025      91.121755      1.0089009      138.82361       1.612214
            3.3      40.460933      0.4847145      32.946336     0.39322442      50.969391      0.6294738
              4      9.4095766     0.20115207      7.5684161     0.15967712      11.986152     0.26493758
              5      9.4095766     0.20115207      7.5684161     0.15967712      11.986152     0.26493758
