#         pt_ep        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      61.104452     0.23516743      49.431073     0.18689789      78.439717       0.340466
              5      185.20795      0.4072012      149.71688     0.32263389      237.79462     0.58406723
             10      317.58522     0.52854389      256.84805     0.41598006      407.34931     0.74958292
             15      460.00202     0.62798271      372.11093       0.498902      589.63614     0.90170536
             20      600.50583     0.71380933      485.59049      0.5620746      770.55738      1.0170453
             25      722.40979     0.78538775      584.02585     0.61599852      928.51108      1.1209207
             30      799.38611     0.82271722      646.58632     0.64315131      1029.2029      1.1805728
             35      777.57045     0.81802333      629.30556     0.63893089      1001.9233      1.1827945
             40      639.25892     0.74389435      517.34999     0.58409269      820.21394       1.064642
             45      470.13005     0.63144864      380.22282     0.50257481       599.5928     0.89151448
             50      344.22845     0.53686647      278.17079     0.42518161      437.60654     0.73644837
             55      256.42199     0.46315108      207.31941     0.36967671      324.89045      0.6346525
             60      195.28437     0.40595883      157.87541     0.32303583      246.98722     0.54995908
             65      151.15437     0.35601642      122.25025     0.28568684       190.8836      0.4856303
             70      119.22322     0.31514367      96.377224     0.25101655      150.54897     0.42099449
             75      95.188887     0.28239812      76.936607     0.22530002      120.16604     0.37750119
             80      76.471921     0.25134439      61.861074     0.20089467      96.390654     0.33424842
             85      62.760367     0.22835855      50.819143     0.18280632      78.974362     0.30437989
             90      51.535264     0.20793112      41.721866     0.16604526      64.847277     0.27587022
             95      42.445378     0.18746502      34.366505     0.15022332      53.391739     0.24838923
            100      35.426324     0.17187578        28.6457     0.13725763      44.643357      0.2266466
            105      29.724676     0.15706284       24.04007     0.12615331      37.382166     0.21082853
            110      25.131542     0.14529418      20.267055     0.11584923      31.711337     0.19483465
            115      21.210736     0.13265932      17.135964     0.11212377      26.688645     0.19278648
            120      18.346561     0.12380116      14.775093    0.098474647      23.155687     0.16571222
            125       15.69958     0.11487208      12.624806    0.091423809      19.855991     0.15458944
            130      13.383411     0.10712404      10.741824    0.086295238      16.947336     0.15167181
            135      11.637712    0.098406131      9.3703286    0.078425982      14.681424     0.13347565
            140      10.182865     0.09184287      8.1918525    0.073263774      12.849523     0.12467516
            145      8.9114177     0.10155102      7.1346569    0.077763067      11.315678     0.14266963
            150      7.9035322    0.082076339      6.3290048    0.065217407      10.026544     0.11233351
            155      6.8345157    0.075582307      5.4583811    0.059559934      8.6996281     0.10186387
            160      5.9927886    0.070569164      4.8024041     0.05605553       7.589665    0.097091601
            165      5.1495753    0.065697716      4.1089693    0.051685465      6.5573987    0.088370312
            170      4.6766304    0.065598429      3.7358988    0.050949709      5.9431624    0.090307922
            175      4.0530829    0.059317421      3.2405436    0.046660065      5.1456177    0.080802958
            180      3.6280565    0.055030223       2.914305    0.047612776      4.5690445    0.088186167
            185      3.3218856     0.05290035      2.6765299    0.042642842      4.1756162    0.073314122
            190      2.9284496    0.051065424      2.3546108    0.041883899      3.6865028    0.076632376
            195      2.6358195    0.046720375       2.102329    0.036701352      3.3540375    0.062978721
            200      2.3900453    0.044539522      1.9049097    0.035027847      3.0418896    0.060676568
            205       2.092729    0.042356938      1.6675495     0.03323035      2.6651236    0.057862939
            210       1.906667    0.041120092      1.5193537    0.032275231      2.4253627    0.055771104
            215      1.7340396    0.038926164      1.3809401    0.030300979      2.2083253    0.053709069
            220      1.5778305    0.037100429      1.2511219    0.028719031       2.019715    0.050835338
            225       1.373185    0.033905041        1.08977    0.026358912      1.7555038    0.046572172
            230       1.335976    0.034738519      1.0528608    0.026701315      1.7244805    0.047698134
            235      1.1933561    0.031453614     0.94631538    0.024632788      1.5262955    0.042182433
            240      1.0816393    0.030868849      0.8559227    0.023975795      1.3870317    0.041973565
            245     0.99432952    0.030042181     0.78846117    0.023113506      1.2718683    0.041554395
            250     0.85123135    0.026924623     0.67793388    0.021001211      1.0817445    0.037104527
            255     0.80947517    0.026740326     0.65105693    0.021033326      1.0150678    0.038108197
            260     0.77847373    0.025541144     0.61686331    0.020225799     0.99631454    0.036794576
            265      0.6965183    0.024649507     0.55246595    0.018953179     0.88982935    0.034309016
            270     0.65641035    0.027966219     0.51705032    0.021014478     0.84659734    0.039342652
            275     0.58434358    0.026125021     0.46163234    0.019476882      0.7496023    0.037825118
            280     0.56722567    0.021681281     0.44992281    0.016976095     0.72283387    0.029450909
            285     0.48883366    0.021080918      0.3853803    0.016130886      0.6292982    0.029615851
            290     0.43827956    0.028447374     0.35281716    0.024299266     0.54746938     0.03391217
            295     0.39174789     0.01831757     0.30767584    0.014128747     0.50695631    0.025231055
            300     0.37335523    0.018137951     0.29362321    0.013932026     0.48223029    0.025147462
            305     0.33841937    0.016873758     0.26525878    0.013023418     0.43846812    0.023078233
            310     0.32265413    0.016638958     0.25874805    0.013126797     0.40514957    0.022444397
            315     0.27732409     0.01538279     0.22037111    0.011962208     0.35271901    0.020798114
            320     0.30100328    0.016310607     0.24289156    0.012861763     0.37608665    0.024629533
            325     0.22752228    0.013850049     0.18333681    0.010917686     0.28346699    0.019096773
            330     0.21544506    0.013745006     0.17061171    0.010542267     0.27467026    0.019335572
            335      0.2274189    0.014481897     0.17888181     0.01096204     0.29296152    0.020400936
            340     0.20537429    0.013402136     0.16036468    0.010149193     0.26726447    0.019056109
            345     0.20351691    0.023598568     0.16659175     0.01911953     0.24490352    0.044024596
            350     0.15661437     0.01179625     0.12526429   0.0090656268     0.19758773    0.016291287
            355     0.17581311    0.011971531     0.13741203    0.009236648     0.22904043    0.016320885
            360     0.15097457     0.01151493     0.12053124   0.0089852105     0.19057494      0.0161003
            365     0.15612281    0.011339915     0.12206248   0.0087541275      0.2026508    0.015408879
            370     0.13765012    0.010585406     0.10801974   0.0082067341     0.17765679    0.014434072
            375      0.1087037   0.0094850507    0.084640711   0.0072548112     0.14161652     0.01303679
            380     0.12940301    0.010620902     0.10088978   0.0081400945     0.16896209    0.014691542
            385     0.11273864   0.0099690604    0.089591116   0.0075976497     0.14314738    0.014061232
            390     0.11087488    0.019550706    0.084566654    0.013446128      0.1485049    0.029587697
            395     0.11332197    0.009805071    0.088047776   0.0074990633     0.14828035     0.01345961
            400    0.086272578   0.0085189636    0.066618248   0.0065350457     0.11380553    0.011552081
            405      0.1037111   0.0092544188    0.084985954   0.0081235955     0.12643635    0.013942723
            410    0.082300786   0.0086016141    0.065639742   0.0065824303     0.10381493    0.012184293
            415    0.073506141   0.0078828116    0.057660976   0.0059518738    0.094742166    0.011124379
            420     0.06678059   0.0074814096    0.052989567   0.0057349838    0.084457776     0.01082866
            425    0.063710196   0.0073220835    0.050100059   0.0056402256    0.081882582    0.010050253
            430    0.071663346   0.0081223375    0.056206988   0.0061724621    0.092195649     0.01117965
            435    0.055895295   0.0068052349    0.044593484   0.0054134005    0.070290197    0.009147844
            440    0.051301161   0.0065416775      0.0400075   0.0050046922    0.066801102   0.0090453922
