#         pt_j2        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1306.8027        1.06783      1074.4706     0.83618434       1682.229      1.5995947
              5      1216.4049     0.97110943      983.96849     0.76403828      1542.8085      1.3658482
             10       811.3174     0.79440786       653.6714     0.62867348       1028.915      1.0925333
             15      548.02076     0.65885877      440.47227     0.52335794      695.98996     0.90002427
             20      381.83936     0.55136216      306.19814     0.43735153      485.95588     0.75008488
             25      273.61079     0.46981326      218.92647     0.37286164       349.0911     0.63785376
             30      201.72555     0.40314006       161.1455     0.31967837      257.85423     0.54685202
             35      152.07822     0.35063465      121.14717     0.27638388      195.09476     0.47186996
             40      117.16059     0.30806041      93.233531     0.24272454      150.48675     0.41524546
             45      91.302429     0.27268362      72.570338     0.21521306      117.45367     0.37029465
             50      72.481747      0.2439549      57.520324     0.19202008       93.43315     0.33022562
             55      58.584412      0.2200801      46.382362     0.17321257       75.56763     0.30060656
             60      47.952523     0.20032046      37.746328       0.156181      62.289396     0.27425542
             65      38.951604     0.17993343      30.583206     0.14041365      50.749966     0.24854434
             70      32.717318     0.16446713      25.619248     0.12746915      42.756525     0.22542318
             75      27.538512     0.15163897      21.495462     0.11717738      36.129939     0.20953453
             80      23.149199     0.14971454      18.004508     0.11356117        30.5081     0.20928529
             85      19.645302      0.1279759      15.236885    0.098299738      25.978221     0.17665628
             90      17.019762     0.12067497       13.17923    0.092229304      22.542289     0.16745232
             95      14.594974     0.11000545      11.292217    0.084900188      19.354994     0.15480686
            100      12.443697     0.10399241      9.6043536    0.079546286      16.544838     0.14670444
            105      11.054422    0.097496222      8.4918007      0.0743676      14.789038     0.13698759
            110      9.5637159     0.09354179      7.3580169    0.070877623      12.765969     0.13236731
            115      8.5586047    0.085412624      6.5613024    0.064915782      11.476129     0.11986441
            120      7.5316218    0.080824453      5.7616762    0.060986531      10.125541     0.11457133
            125      6.6278263    0.077473716       5.063095    0.058747768       8.922087     0.11134474
            130         5.8652    0.074669108      4.4740609    0.055823841      7.9089941     0.10784531
            135      5.3758102     0.10989798      4.0661936     0.07790718      7.3266975     0.16267919
            140      4.6715985    0.064941987      3.5614817     0.04889439      6.3041591    0.093112203
            145       4.246716    0.064141171      3.2171561    0.047582333      5.7748966    0.092399128
            150      3.8207162    0.056547059       2.902154    0.046190515      5.1743319      0.0935808
            155      3.4948903    0.058535487      2.6305176    0.043243187      4.7908659    0.084460124
            160      3.0880677    0.052521548       2.340027    0.039106243      4.1968367    0.074983448
            165       2.806654    0.048815779      2.1169711    0.036521664      3.8381384    0.070373238
            170      2.6089609    0.047564838      1.9620849    0.035370826       3.580163    0.068207479
            175      2.4160006     0.04834477      1.8079352    0.035787135      3.3346067    0.069530977
            180      2.1053338    0.049221076      1.5777548     0.03602642      2.9014637    0.071911306
            185      2.0260213     0.04823077      1.5153435    0.035575581      2.7975253    0.070244582
            190      1.7705938    0.039176383      1.3301713     0.02970628      2.4325132    0.057630076
            195      1.6388273    0.039235752      1.2276924    0.029007319      2.2594858    0.056888822
            200       1.518787     0.05191093      1.1305795    0.037085619      2.1088557    0.076448592
            205        1.33564     0.03405925      1.0003397    0.025447331       1.842624    0.049042331
            210      1.2923081    0.034397393      0.9555353    0.025111091      1.8094927    0.049897251
