#    total_rate        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      33462.056      6.4022377      27068.776      4.7281867      42795.837      10.879173
              1      33462.056      6.4022377      27068.776      4.7281867      42795.837      10.879173
