# dR_Z_bjet1-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
              0      71.510475     0.55417262      56.819237      0.4413526       91.58902     0.77889982
              1      223.96456      1.2582335      179.02683     0.99321664      284.73799      1.7131963
            1.6      378.55322      1.9804285      304.28556      1.5838712      478.45185      2.7074454
              2       594.9268       2.496136      480.50576      2.0033225      749.16953       3.374843
            2.4      862.65881      4.2416277      700.42316      3.3970265      1081.6089      5.6335414
            2.6      1173.3563      4.9750955      958.82679      4.0270205      1462.8191      6.6672667
            2.8      1669.0524      5.9512352      1371.6783       4.823986      2073.8965      7.9704624
              3      2265.8608      7.0248665      1877.4915      5.6821932      2805.0724      9.4285043
            3.2      1288.8597      5.3042212      1066.1535      4.2901558      1599.1386      7.0910432
            3.4      843.26033      4.2752824      697.68678      3.4649352      1043.8849      5.6679741
            3.6      524.23768      2.3653886       433.5932       1.930078      649.09585      3.1550134
              4      297.61943      1.7771176      246.45892      1.4451919      367.90924      2.3262439
            4.4      145.02041      1.0210589      120.66579     0.83683074      178.09162      1.3330178
              5      53.543049     0.60988718       44.75648     0.50314606      65.312702     0.79247032
            5.6      53.543049     0.60988718       44.75648     0.50314606      65.312702     0.79247032
