#         pt_bx        central        num_err    min (scale)        num_err    max (scale)        num_err
            285     0.25891441    0.015218176     0.21145246     0.01209481      0.3178052    0.020688589
            290     0.22578374    0.014561307     0.18164257    0.011209477     0.28366943    0.020046123
            295     0.21760354    0.014014789     0.17795673    0.011171038     0.26719823    0.019505406
            300     0.18851978     0.01305566     0.15588115    0.010488253     0.22807148    0.018311373
            305     0.18710016     0.01305383     0.15209152    0.010224948     0.23165947    0.017716272
            310     0.17146147    0.012946863     0.14082696    0.010066121     0.20984565     0.01787689
            315     0.16500331    0.013109427     0.13454291    0.010030284     0.20334452     0.01819413
            320     0.16174248    0.012135731     0.13194174     0.00948736     0.19942153    0.016492183
            325     0.15973427     0.01190519     0.12938071   0.0092151325      0.1983014    0.017170584
            330     0.13055144    0.011524661     0.10792301   0.0088837571     0.15812992    0.016541124
            335     0.14325691    0.012754026     0.11330957   0.0096227813     0.18484354    0.017856077
            340      0.1169037    0.010494492    0.096402272   0.0087963597     0.14075484    0.015905366
            345     0.10017037   0.0095005458    0.081652165   0.0074585457     0.12361035    0.012986587
            350    0.094212046   0.0094399877    0.080380177   0.0082787134     0.10853015     0.01375776
            355    0.087628779    0.009287905    0.071939882   0.0073463594     0.10656337     0.01290114
            360    0.090351298   0.0086623215    0.074651792   0.0072175053     0.10858764    0.012244402
            365    0.088496417   0.0097301344    0.071798413   0.0073415958      0.1098989    0.013787748
            370    0.078757578   0.0084815694    0.062123386   0.0065288127     0.10146411    0.011519045
            375    0.081342637   0.0083443352    0.065661929   0.0066817526     0.10170191    0.011095272
            380     0.06669933   0.0079285106    0.056578919   0.0064708365    0.076853327    0.010808401
            385    0.065815668   0.0075728111    0.052608703   0.0059687683    0.083622776    0.010444041
            390    0.073291377   0.0077688057     0.05883939   0.0061187252      0.0919833    0.010408182
            395    0.066435196   0.0080257225    0.056816654   0.0064528057    0.076117519    0.010810707
            400    0.056073307   0.0074471157    0.044949213   0.0056565298    0.070442126    0.010643529
            405    0.056156299   0.0070088344    0.045264311   0.0055743849    0.070637874   0.0092865095
            410    0.059723739   0.0074232588    0.046931988   0.0057422192     0.07719426    0.010187075
            415    0.048950334   0.0072260652    0.038658878   0.0054838728    0.062981778    0.010083448
            420    0.035221692   0.0058310219    0.030503445   0.0049671868    0.039583957   0.0079465787
            425    0.032924626   0.0057805359    0.026389646   0.0044427924    0.041237854   0.0078988817
            430    0.049731496   0.0077490288    0.038828248   0.0057564593    0.064588622    0.011116951
            435    0.034757165   0.0063103661    0.027552795   0.0047386901    0.044428051   0.0088706203
            440    0.040581515   0.0059799034    0.033833012   0.0049272071    0.048427775   0.0081943473
            445    0.026804271   0.0049033525    0.021705748   0.0038617134    0.033163484   0.0065121674
            450    0.025512657   0.0052903225    0.020966626   0.0041071028    0.030887618   0.0074832165
            455    0.039140334   0.0061080192    0.030522106   0.0046057405    0.051189331   0.0084628008
            460    0.035102047   0.0059688521    0.026946594   0.0043935286    0.046758878   0.0085875696
            465    0.053947597     0.02893153    0.039695108    0.019037831    0.075405668    0.045578636
            470    0.017027126   0.0040897348    0.013847677   0.0030951364    0.021220472   0.0057559929
            475    0.020308582   0.0045503348    0.017724252   0.0037869556    0.022278642   0.0060686264
            480    0.019142224    0.004398315    0.014864547   0.0032449803    0.025153032   0.0063168951
            485    0.024221929   0.0050014214    0.019229154    0.003750038    0.030958425   0.0071061039
            490    0.021439291   0.0048424001    0.017474685   0.0037055185    0.026363386   0.0066872327
            495    0.019142224    0.004398315    0.016342382   0.0033466093    0.021587697   0.0066046801
            500    0.019142224    0.004398315    0.016342382   0.0033466093    0.021587697   0.0066046801
