#  total-ptj200        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      648.35774       1.778116      500.20857       1.341382      858.51599      2.5929579
              1      648.35774       1.778116      500.20857       1.341382      858.51599      2.5929579
