#total-mbbZ1000        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      33254.697      6.4202415      26887.177      4.7419999      42554.868      10.896149
              1      33254.697      6.4202415      26887.177      4.7419999      42554.868      10.896149
