# pt_bbZ-zoom-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj120
              0    0.047060432    0.013626682    0.035429232    0.010287898    0.065204331        0.01911
              1    0.091882675    0.018754535    0.073936811    0.015143485     0.11573327    0.023806371
              2     0.18759379    0.027870052     0.14904085    0.021967742     0.24093593    0.036625945
              3     0.31776092    0.036115589     0.24999508       0.028114     0.41458189    0.048443425
              4     0.32541781    0.037313041     0.25463819    0.028884061     0.43069488    0.051623127
              5     0.44792804    0.042110543     0.35590482    0.033245545     0.57649331    0.055563911
              6     0.59336377    0.048527757     0.46200344    0.038614746       0.791094    0.069182368
              7     0.65915658    0.051981671     0.51474636    0.040312514     0.87433406    0.072018745
              8       0.859874    0.075925444     0.65160088    0.054996516      1.1770839     0.11052629
              9     0.97505323    0.062153071     0.75695974    0.048245458      1.2933341    0.084475023
             10      1.0888688    0.073796473     0.83552717    0.055059489      1.4700259      0.1055638
             11      1.1994644    0.073472823     0.94471732    0.056385171      1.5637077     0.10405542
             12      1.3470639    0.076147825      1.0438164    0.058580427      1.7947746     0.10498738
             13      1.4423001    0.078693944      1.1139327    0.060119604      1.9271496     0.11083328
             14      1.5290765    0.080956426      1.1846362    0.062566652      2.0396291      0.1143959
             15      1.5755845    0.081703557      1.2112922     0.06240045      2.1211048     0.11771833
             16      1.7888772    0.086192954       1.376115    0.065319069      2.4076272     0.12332709
             17      1.8568619    0.087796059      1.4329613    0.066723681       2.490039     0.12678654
             18      2.0447729    0.093417531      1.5608659    0.071036795      2.7742505     0.13005645
             19      2.3108231     0.10147834      1.7688134    0.077320898      3.1180921     0.14056503
             20      2.4465836     0.10263444      1.8846246    0.080966159      3.2826483     0.14931563
             21      2.3659244    0.098303542      1.8018812    0.074402664      3.2190942     0.13831659
             22      2.5399171     0.10166744       1.930482    0.077366321      3.4659377     0.14412042
             23       2.802594     0.10897326      2.1519602    0.082802051      3.7751794     0.15425182
             24      2.9907363     0.11091491      2.2710737    0.084225974      4.0827041     0.15644725
             25      2.9941906     0.11271893      2.2855178    0.084651151      4.0597703      0.1615671
             26      2.9106473     0.11045746      2.2193678    0.083432034      3.9448323     0.15630125
             27      3.0863444     0.11285867      2.3467348    0.085027243      4.2007224     0.15930364
             28      3.4019105     0.11730467      2.5820703    0.088918296      4.6454395      0.1670131
             29      3.5337424     0.12192549      2.6880476    0.091817861      4.8052465     0.17343933
             30      3.6175878     0.12417426      2.7634546    0.093762112       4.887218     0.17511999
             31       3.672625     0.12299141      2.7846707    0.092822377       5.007718     0.17281517
             32      3.8504394     0.12877349      2.9330877    0.096328763      5.2251158     0.18473934
             33       4.160319     0.13168585      3.1682407    0.099408077      5.6493003     0.18586627
             34      4.4039806     0.23969089       3.354514     0.17103586      5.9690567     0.35140776
             35       4.220315       0.132168      3.2159334     0.10038039      5.7202981     0.19194679
             36      4.2782299     0.13494363      3.2680023     0.10362746      5.7887981     0.19502613
             37      4.5141293     0.14287104      3.4555643     0.10797039      6.0869271     0.20230708
             38      4.5818104     0.14030834      3.4959121     0.10854599      6.2026088     0.20303068
             39      4.8296775     0.14218331      3.6685786      0.1078874      6.5709881     0.20132534
             40       4.889702     0.14253507      3.6919584     0.10691122      6.7028578     0.20251361
             41      4.8252312     0.13942754      3.7308819     0.11578643      6.4292585     0.21281209
             42      5.1285281     0.16006756      3.9261201     0.12099656       6.913028     0.23043976
             43      4.9220316     0.14462924      3.7629953     0.10917503      6.6465994     0.20953152
             44      5.3760692     0.18327932      4.1069012      0.1397606      7.2676549     0.27178993
             45       5.548048     0.15360123      4.1916117     0.11476352      7.5957645     0.21832538
             46       5.543392      0.1530766      4.2315671     0.11580023       7.485412     0.21541447
             47      5.3814747      0.1489877      4.1125335     0.11310115      7.2660207     0.21297755
             48      5.6941109     0.17337304      4.3040642     0.12876628       7.785517     0.24621172
             49       6.050553     0.15708944      4.6052035     0.11916092      8.2107368     0.21973649
             50       6.050553     0.15708944      4.6052035     0.11916092      8.2107368     0.21973649
