# total-mbbZ250        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      26780.783      7.1400659      21517.628      5.3737076      34563.663      11.406182
              1      26780.783      7.1400659      21517.628      5.3737076      34563.663      11.406182
