#   pt_Z-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
            410     0.21607319    0.013476052     0.17174202    0.010785149     0.27319736    0.019373848
            415     0.22027557    0.014124293     0.17262368    0.010750103     0.28406533    0.019510319
            420      0.1773527    0.012631526      0.1422761   0.0096797692     0.22060631    0.017865973
            425      0.1836713    0.012684704     0.14463614   0.0098135277     0.23472812    0.017450283
            430     0.18656986    0.012406081     0.14754874   0.0096668181     0.23737255    0.016922206
            435      0.1515388    0.011520266     0.11900248   0.0088076594     0.19462364    0.016099036
            440     0.14697972    0.011290818     0.11400732   0.0085367422     0.19201205    0.015681956
            445      0.1318964    0.010789447     0.12281434    0.020382482      0.1340588    0.012614565
            450     0.13036665    0.010838132     0.10233411   0.0081990478     0.16782939    0.015226344
            455     0.13001315    0.010587963      0.1028835    0.008000905     0.16477083    0.015444007
            460     0.12530681    0.010228324    0.096485197    0.007769111     0.16496527    0.014062049
            465     0.10755951   0.0099844465    0.083725315   0.0075107594     0.13999154    0.013953738
            470     0.10336801   0.0094084233    0.085908638   0.0083565228     0.12224451    0.014630772
            475    0.088522223   0.0092856586    0.071387282   0.0070466583     0.10906619    0.013224725
            480     0.10260232   0.0094395383    0.080239016   0.0071012942     0.13232453    0.013285967
            485    0.089164546   0.0086267748    0.068928972   0.0065555439     0.11677463     0.01206084
            490    0.092452086   0.0088574229    0.073042772   0.0067941155     0.11755241     0.01229879
            495    0.078865964   0.0080666014    0.061546653   0.0062364184     0.10213846    0.010990691
            500    0.075324369   0.0082778068    0.060270295   0.0062430817    0.093881339     0.01222625
            505    0.080759645   0.0083639831    0.064354941   0.0065409277     0.10109881    0.011303225
            510    0.076728759   0.0081194991    0.060555788   0.0062693549    0.097678007    0.011135587
            515    0.059723739    0.007017271    0.046306142   0.0053931668    0.077912701   0.0096547292
            520    0.060489428   0.0068908306    0.048227264   0.0059708323     0.07604815     0.01043172
            525    0.073506141   0.0075795086    0.056100118   0.0057808578    0.098273043      0.0103619
            530    0.062990413   0.0078484257    0.049654587   0.0058874961     0.08008439    0.011029088
            535    0.050589763   0.0065097712    0.037589941   0.0047984609    0.069745492   0.0091765338
            540    0.047943129   0.0063878112    0.037794862   0.0048932348    0.061437823   0.0089727352
            545    0.053408779   0.0067212662    0.040706417   0.0050961078    0.071162658   0.0094447207
            550    0.046707027   0.0064514691    0.037744892   0.0049402423    0.057514901   0.0091250083
            555      0.0573037   0.0077685335    0.044108327   0.0057609254    0.075599212     0.01092388
            560    0.044523543   0.0062490778    0.035597736   0.0048472773     0.05557128   0.0084243634
            565    0.043736791   0.0058938228    0.033636299   0.0045761184    0.057672421   0.0080971339
            570    0.041347204   0.0058309917    0.032316535   0.0044726466     0.05322063   0.0079065932
            575    0.045941338    0.006313708    0.035202283   0.0047193926     0.06097313   0.0088300771
            580     0.02986187   0.0053595438    0.022685177    0.003870637    0.040010315   0.0079049737
            585    0.043207874   0.0065372583    0.032328917   0.0047678188    0.059031398   0.0093493931
            590    0.035221692   0.0055211856    0.028916437   0.0041838891    0.042152539    0.008623686
            595    0.031393248   0.0052490254    0.024612785   0.0039014602     0.04045813   0.0075182453
            600    0.023736358   0.0047814747    0.019093898   0.0036807419    0.029433051   0.0065236488
            605    0.026033425   0.0047197878    0.019685807   0.0035130742    0.035175039   0.0066867472
            610    0.027063169   0.0045816787    0.020465217   0.0034800564    0.036550393   0.0062562136
            615    0.025267736   0.0046572587    0.020012854   0.0036200314    0.031942815   0.0062700263
            620    0.027564803   0.0047197878    0.021419803   0.0036712168    0.035965703   0.0064254862
            625    0.018595531   0.0042784633    0.015098268   0.0031438227    0.022659823   0.0065742336
            630    0.021439291   0.0041936415     0.01611124   0.0031238648    0.029105177   0.0058713888
            635    0.022970669   0.0044644723     0.01791565    0.003444121    0.029753445   0.0060810792
            640    0.025600984   0.0051816159    0.020172126   0.0039083273    0.032407775   0.0073156384
            645    0.016079468   0.0041231551    0.013451634   0.0029871785    0.018603406   0.0065757847
            650    0.017610846   0.0038282534    0.013466299    0.002868453    0.023524134   0.0053781034
            655    0.012251023   0.0034240939   0.0092200788   0.0024047536    0.016642539   0.0052006011
            660    0.022087283   0.0044912297    0.017055197   0.0033461998    0.028856476   0.0063036967
            665    0.034303779    0.014954412    0.025682599    0.010152312    0.046674349    0.022856611
            670    0.015496535   0.0040899173    0.012177894   0.0028981468     0.01982565   0.0061833918
            675    0.016845157   0.0039040377    0.013154626   0.0029032111    0.021669016   0.0055995027
            680    0.011485335   0.0031568401   0.0086563976   0.0023172953    0.015468917   0.0045610371
            685    0.013111378   0.0038483034    0.010183561   0.0026273769    0.017140728   0.0060661737
            690    0.017610846   0.0036719317    0.013825335   0.0029100251     0.02255313   0.0047989527
            695    0.015313779     0.00359122    0.011282933    0.002624063    0.021437106    0.005139773
            700    0.013016712   0.0031568586    0.009838386   0.0024023273    0.017567795   0.0043138569
            705    0.011485335   0.0029653128   0.0092341535   0.0024561111    0.013846693   0.0039621873
            710    0.010719646   0.0032483807    0.009096063   0.0025057476    0.012070768   0.0045865025
            715     0.01166187   0.0042521698   0.0090435748   0.0029259485    0.015042225   0.0068318019
            720   0.0076568897      0.0024212    0.005828189   0.0018576632    0.010218268   0.0032790688
            725    0.012251023   0.0032483807   0.0096161418   0.0024831585    0.015761653   0.0044426584
            730    0.013782401   0.0032483627    0.010858681   0.0025945144    0.017396453   0.0042281669
            735    0.010719646   0.0028648025   0.0083948622   0.0022634502    0.013791142   0.0037512664
            740   0.0061255118   0.0026522697   0.0051712992    0.001905612   0.0068918898    0.004024307
            745   0.0091882676   0.0028648025   0.0072314764   0.0020178487    0.011685984   0.0045715049
            750    0.010719646   0.0030626027   0.0087826968   0.0024769843    0.012740838   0.0040929393
            755    0.013016712   0.0031568586   0.0098138976   0.0023918378    0.017487421   0.0042813927
            760    0.013016712   0.0031568586    0.010418681   0.0025609217    0.016135197   0.0040481976
            765   0.0072235039   0.0026585101   0.0065386811   0.0022942152    0.007381437   0.0028157435
            770   0.0076568897      0.0024212   0.0057217323    0.001814234    0.010468248   0.0033249188
            775   0.0068912007    0.002539376   0.0054087007   0.0019059821   0.0087782479   0.0035090676
            780    0.010808012   0.0034839851   0.0077588583   0.0024466761    0.015553484   0.0051927944
            785   0.0045941338   0.0021655871   0.0035066929   0.0015794779   0.0061591338   0.0031736482
            790   0.0056728543   0.0024193572   0.0042187795   0.0016791882   0.0077500394   0.0037246579
            795   0.0061255117   0.0021655871   0.0046671654   0.0016566194   0.0082212402   0.0029244809
            800   0.0076601574   0.0024222353   0.0054460826   0.0017318886       0.011155   0.0035565477
            805   0.0084225786   0.0027605928   0.0071261614   0.0022021942    0.009386112   0.0038356772
            810   0.0038284448   0.0020257213   0.0029775985   0.0014692908   0.0049293898   0.0029466313
            815    0.004668248   0.0021928852   0.0035302953   0.0015539643   0.0062284055   0.0032403894
            820   0.0022970669    0.001712047   0.0018783268   0.0011176108   0.0027748032   0.0028454654
            825   0.0061255117      0.0024212   0.0047346653   0.0017834011   0.0079024607   0.0034305738
            830   0.0091882676   0.0026522918   0.0065190945   0.0018904094     0.01342998   0.0038995381
            835   0.0075392715   0.0042275767    0.006192059   0.0029598622   0.0088602969   0.0066221927
            840   0.0015313779   0.0010827936    0.001207185  0.00085414188   0.0019218307   0.0013610805
            845   0.0065123228   0.0023305944   0.0048358268   0.0017221916   0.0089445275   0.0032395727
            850   0.0030627559   0.0015313014   0.0022711024   0.0011371984   0.0042379527   0.0021234571
            855   0.0038284448    0.002539376   0.0010012796   0.0048745702   0.0046358465   0.0018856301
            860   0.0038284448   0.0020257213   0.0024855315   0.0017323792   0.0060821338   0.0025682618
